depth,station,insitu,GLDAS,residual,WY
2.5,19,75.655406,12.950304,-62.705102,2007
2.5,19,53.204508,39.212868,-13.99164,2008
2.5,19,22.555889,155.362522,132.806633,2009
2.5,19,41.956674,19.531415,-22.425259,2010
2.5,19,132.999971,10.006391,-122.99358,2012
2.5,19,50.147512,22.826362,-27.32115,2017
2.5,19,14.150359,10.818401,-3.331958,2018
2.5,19,21.2615,9.536667,-11.724833,2019
2.5,20,77.77221,7.172541,-70.599669,2007
2.5,20,60.79707,26.859753,-33.937317,2008
2.5,20,37.179233,51.459867,14.280634,2009
2.5,20,42.577822,23.631927,-18.945895,2010
2.5,20,19.754031,16.907209,-2.846822,2011
2.5,20,13.456765,24.368994,10.912229,2012
2.5,20,106.576686,25.038735,-81.537951,2013
2.5,20,151.73703,146.338625,-5.398405,2014
2.5,20,174.898467,145.144326,-29.754141,2016
2.5,20,71.532606,26.271833,-45.260773,2017
2.5,20,13.996874,6.731985,-7.264889,2018
2.5,20,93.510772,84.466284,-9.044488,2019
2.5,23,75.697953,60.875747,-14.822206,2007
2.5,23,53.000013,31.828384,-21.171629,2008
2.5,23,36.372723,51.999882,15.627159,2009
2.5,23,180.828892,130.725105,-50.103787,2010
2.5,24,73.818442,25.705919,-48.112523,2007
2.5,24,102.000022,43.384055,-58.615967,2008
2.5,24,89.202871,42.271454,-46.931417,2009
2.5,24,105.084397,90.963267,-14.12113,2010
2.5,26,72.063605,63.943492,-8.120113,2007
2.5,26,59.618007,26.561986,-33.056021,2007
2.5,26,38.804258,48.473261,9.669003,2008
2.5,27,69.515651,18.851517,-50.664134,2007
2.5,27,19.752919,55.89081,36.137891,2009
2.5,27,167.757477,38.207059,-129.550418,2010
2.5,27,89.157197,51.440208,-37.716989,2014
2.5,27,38.298896,154.427343,116.128447,2016
2.5,28,34.309481,41.713095,7.403614,2007
2.5,28,21.52082,31.105776,9.584956,2009
2.5,28,23.407829,26.303232,2.895403,2011
2.5,28,60.131742,35.387967,-24.743775,2012
2.5,28,28.074961,7.733968,-20.340993,2013
2.5,28,42.764367,19.805494,-22.958873,2014
2.5,30,92.768017,13.636491,-79.131526,2008
2.5,30,19.596956,46.6553,27.058344,2009
2.5,30,68.999999,12.547352,-56.452647,2011
2.5,30,33.900655,19.068711,-14.831944,2014
2.5,30,33.275763,25.920468,-7.355295,2016
2.5,31,90.607576,6.4357,-84.171876,2008
2.5,32,77.895919,93.362621,15.466702,2007
2.5,32,50.684961,14.857455,-35.827506,2007
2.5,32,97.999795,13.520418,-84.479377,2008
2.5,32,226.585267,167.39112,-59.194147,2010
2.5,32,28.492373,4.94937,-23.543003,2011
2.5,32,136.907503,22.447075,-114.460428,2012
2.5,32,48.560584,41.954071,-6.606513,2014
2.5,32,43.459789,16.301183,-27.158606,2016
2.5,34,83.823348,5.639215,-78.184133,2007
2.5,34,92.437005,26.706802,-65.730203,2008
2.5,34,45.826681,18.326163,-27.500518,2009
2.5,34,93.35144,26.552872,-66.798568,2013
2.5,34,46.463592,21.442572,-25.02102,2017
2.5,35,51.400019,10.301097,-41.098922,2008
2.5,35,88.455173,6.266708,-82.188465,2009
2.5,35,7.224175,6.757639,-0.466536,2010
2.5,35,130.676565,4.807285,-125.86928,2012
2.5,35,57.516213,14.369991,-43.146222,2013
2.5,35,57.671368,14.499024,-43.172344,2014
2.5,35,48.79085,37.330668,-11.460182,2015
2.5,35,39.813326,75.159777,35.346451,2017
2.5,35,27.615604,45.037428,17.421824,2018
2.5,37,42.525151,43.555108,1.029957,2008
2.5,37,4.739506,16.447603,11.708097,2009
2.5,37,23.980532,129.661759,105.681227,2010
2.5,37,23.694948,5.707362,-17.987586,2011
2.5,37,60.505124,11.464021,-49.041103,2013
2.5,38,43.785021,12.154538,-31.630483,2007
2.5,38,87.893539,11.592095,-76.301444,2008
2.5,38,9.999975,13.933071,3.933096,2009
2.5,38,77.999998,6.286024,-71.713974,2011
2.5,38,103.126537,28.79316,-74.333377,2012
2.5,38,59.427951,8.486995,-50.940956,2013
4,1,57.923217,79.272338,21.349121,2007
4,1,94.865108,55.732582,-39.132526,2007
4,1,116.013659,14.999806,-101.013853,2007
4,1,80.837261,19.724885,-61.112376,2007
4,1,69.914152,17.810165,-52.103987,2008
4,1,142.897948,11.310451,-131.587497,2009
4,2,40.593351,36.026591,-4.56676,2007
4,2,16.688921,145.620987,128.932066,2007
4,2,60.18998,21.420355,-38.769625,2007
4,2,5.792134,6.119495,0.327361,2009
4,2,9.000109,11.50842,2.508311,2011
4,3,35.363112,23.056615,-12.306497,2007
4,3,5.645738,10.564312,4.918574,2007
4,3,15.170734,29.863027,14.692293,2007
4,3,42.120533,51.997234,9.876701,2007
4,3,3.962711,13.513755,9.551044,2009
4,3,11.77489,71.000106,59.225216,2011
4,4,20.214682,33.656293,13.441611,2007
4,4,37.130805,29.194161,-7.936644,2007
4,4,19.417003,55.28863,35.871627,2007
4,4,19.855615,43.839455,23.98384,2007
4,4,75.209701,60.940614,-14.269087,2007
4,4,95.517678,8.143634,-87.374044,2009
4,4,21.622386,43.635074,22.012688,2010
4,5,27.270911,75.746796,48.475885,2007
4,5,86.362605,17.469984,-68.892621,2007
4,5,25.589469,30.621339,5.03187,2008
4,5,14.811088,15.603653,0.792565,2009
4,6,38.668032,22.511011,-16.157021,2007
4,6,84.91685,10.667701,-74.249149,2007
4,6,7.656705,21.469264,13.812559,2007
4,6,156.764477,21.146749,-135.617728,2007
4,6,75.334099,84.205885,8.871786,2007
4,6,35.5694,22.384363,-13.185037,2008
4,6,9.106014,18.679476,9.573462,2009
4,7,84.799763,78.124662,-6.675101,2007
4,7,20.099779,17.51965,-2.580129,2007
4,7,81.918317,44.023507,-37.89481,2007
4,7,71.339003,74.811822,3.472819,2007
4,7,42.327919,87.036262,44.708343,2009
4,8,41.309193,142.625573,101.31638,2007
4,8,65,43.29427,-21.70573,2007
4,8,121.894764,80.350343,-41.544421,2007
4,8,41.992349,45.967253,3.974904,2007
4,8,62.148816,64.039483,1.89066700000001,2008
4,8,30.138491,95.975724,65.837233,2009
4,9,19.205408,85.640126,66.434718,2007
4,9,40.892901,46.33914,5.446239,2007
4,10,44.930209,119.476205,74.545996,2007
4,10,41.340902,47.224904,5.884002,2007
4,10,7.239377,9.676268,2.436891,2007
4,10,119.429886,54.48466,-64.945226,2007
