depth,station,insitu,GLDAS,residual,WY
2.5,19,-210,-220,-10,2009
2.5,19,-285,-361,-76,2011
2.5,19,-331,-245,86,2013
2.5,19,-338,-329,9,2014
2.5,19,-219,-194,25,2017
2.5,19,-201,-227,-26,2019
2.5,20,-193,-206,-13,2009
2.5,20,-331,-364,-33,2013
2.5,20,-204,-202,2,2017
2.5,20,-191,-228,-37,2019
2.5,23,-198,-189,9,2009
2.5,23,-401,-390,11,2013
2.5,23,-376,-390,-14,2015
2.5,23,-401,-390,11,2016
2.5,24,9,-32,-41,2010
2.5,24,-54,-49,5,2013
2.5,24,-62,-50,12,2014
2.5,24,-51,-48,3,2015
2.5,24,167,184,17,2018
2.5,26,219,143,-76,2008
2.5,27,226,140,-86,2008
2.5,27,9,46,37,2010
2.5,27,119,34,-85,2014
2.5,27,142,96,-46,2016
2.5,27,101,89,-12,2017
2.5,27,100,100,0,2018
2.5,28,48,9,-39,2010
2.5,28,83,59,-24,2014
2.5,28,81,81,0,2015
2.5,30,182,212,30,2007
2.5,30,122,125,3,2010
2.5,30,9,-16,-25,2011
2.5,30,33,33,0,2012
2.5,30,-21,-20,1,2015
2.5,30,145,153,8,2016
2.5,30,96,117,21,2017
2.5,32,230,140,-90,2007
2.5,32,44,88,44,2009
2.5,32,96,120,24,2010
2.5,32,30,31,1,2012
2.5,32,77,-1,-78,2014
2.5,32,17,-18,-35,2015
2.5,32,144,161,17,2016
2.5,32,105,56,-49,2017
2.5,32,100,100,0,2018
2.5,34,-149,-224,-75,2008
2.5,34,-200,-274,-74,2009
2.5,34,-270,-277,-7,2010
2.5,34,-251,-239,12,2011
2.5,34,-198,-230,-32,2014
2.5,34,-272,-238,34,2015
2.5,34,-348,-384,-36,2016
2.5,34,-222,-245,-23,2017
2.5,34,-242,-251,-9,2018
2.5,34,-265,-265,0,2019
2.5,35,-154,-233,-79,2008
2.5,35,-216,-201,15,2009
2.5,35,-321,-322,-1,2010
2.5,35,-238,-231,7,2011
2.5,35,-357,-249,108,2012
2.5,35,-332,-335,-3,2013
2.5,35,-227,-243,-16,2015
2.5,35,-348,-385,-37,2016
2.5,35,-216,-209,7,2017
2.5,35,-241,-126,115,2018
2.5,35,-259,-239,20,2019
2.5,37,148,-274,-422,2008
2.5,37,87,-274,-361,2009
2.5,37,8,-234,-242,2011
2.5,38,249,91,-158,2007
2.5,38,163,135,-28,2008
2.5,38,44,89,45,2009
2.5,38,32,25,-7,2012
4,1,-1453,-1259,194,2007
4,1,-959,-966,-7,2007
4,1,-562,-495,67,2007
4,1,-227,-214,13,2007
4,1,-162,-221,-59,2008
4,1,-167,-286,-119,2010
4,2,-580,-475,105,2007
4,2,-252,-239,13,2007
4,2,-195,-251,-56,2008
4,2,-208,-201,7,2010
4,3,-602,-586,16,2007
4,3,-223,-230,-7,2007
4,3,-241,-287,-46,2010
4,4,-1449,-1404,45,2007
4,4,-598,-611,-13,2007
4,4,-352,-236,116,2008
4,4,-180,-124,56,2009
4,5,-1404,-1403,1,2007
4,5,-615,-601,14,2007
4,5,-281,-192,89,2007
4,5,-255,-275,-20,2008
4,5,-256,-228,28,2009
4,5,-194,-273,-79,2010
4,6,-1466,-1328,138,2007
4,6,-215,-180,35,2007
4,6,-244,-238,6,2008
4,6,-248,-273,-25,2009
4,6,-213,-238,-25,2010
4,7,-1448,-1339,109,2007
4,7,-605,-570,35,2007
4,7,-146,-207,-61,2007
4,7,-183,-253,-70,2008
4,7,-192,-219,-27,2009
4,7,-198,-233,-35,2010
4,8,-1405,-1348,57,2007
4,8,-597,-581,16,2007
4,8,-212,-221,-9,2008
4,8,-167,-181,-14,2009
4,8,-191,-180,11,2010
4,9,-1403,-1348,55,2007
4,10,-1452,-1325,127,2007
4,10,-598,-594,4,2007
4,10,-225,-150,75,2007
4,10,-185,-147,38,2010
4,10,-187,-174,13,2011
4,10,-183,-179,4,2012
4,11,-1405,-1349,56,2007
4,11,-596,-600,-4,2007
4,11,-245,-159,86,2007
4,11,-214,-274,-60,2008
4,11,-190,-173,17,2011
4,12,-1453,-1327,126,2007
4,12,-597,-592,5,2007
4,13,-1456,-1320,136,2007
4,13,-605,-559,46,2007
4,13,-250,-317,-67,2007
4,13,-146,-271,-125,2008
4,13,-182,-164,18,2009
4,14,-603,-565,38,2007
4,14,-176,-187,-11,2009
4,15,-1454,-1453,1,2007
4,15,-602,-549,53,2007
4,15,-248,-121,127,2007
4,15,-185,-133,52,2010
4,16,-1455,-1287,168,2007
4,16,-602,-494,108,2007
4,16,-246,-160,86,2007
4,16,-170,-214,-44,2009
4,16,-357,-196,161,2012
4,17,-1455,-1262,193,2007
4,17,-604,-523,81,2007
4,17,-252,-198,54,2007
4,17,-134,-231,-97,2008
4,17,-159,-177,-18,2009
4,18,-612,-612,0,2007
4,18,-130,-220,-90,2007
4,18,-138,-243,-105,2008
4,18,-173,-220,-47,2009
4,18,-184,-276,-92,2010
10,1,-169,-179,-10,2011
10,1,-331,-332,-1,2013
10,1,-257,-274,-17,2015
10,1,-284,-384,-100,2016
10,1,-219,-228,-9,2017
10,1,-245,-91,154,2018
10,1,-231,-265,-34,2019
