depth,station,insitu,GLDAS,residual,WY
2.5,19,-180.000027,-207,-26.999973,2008
2.5,19,-271.426312,-194.697174,76.729138,2009
2.5,19,-117.076767,-190.712724,-73.635957,2010
2.5,19,-236.000001,-237.564028,-1.56402700000001,2013
2.5,19,-309.563322,-328.785145,-19.221823,2014
2.5,19,-296.835103,-292.206597,4.62850600000002,2015
2.5,19,-217.396871,-215,2.396871,2017
2.5,19,-243.298867,-158.698642,84.600225,2018
2.5,19,-219.346802,-226.628036,-7.28123400000001,2019
2.5,20,-204.04313,-309.563875,-105.520745,2008
2.5,20,-210.999911,-208,2.999911,2009
2.5,20,-181.00012,-204,-22.99988,2010
2.5,20,-192.357795,-176.48462,15.873175,2011
2.5,20,-331.772003,-332.783186,-1.01118300000002,2013
2.5,20,-185.691543,-303.000001,-117.308458,2014
2.5,20,-219.000001,-204.51246,14.487541,2017
2.5,20,-235.564498,-157.908873,77.655625,2018
2.5,20,-202.477579,-222,-19.522421,2019
2.5,23,-310.657158,-202,108.657158,2008
2.5,23,-271.293194,-192.180284,79.11291,2009
2.5,23,-206.292322,-276,-69.707678,2010
2.5,23,-245.961616,-159,86.961616,2018
2.5,24,152,22.613992,-129.386008,2007
2.5,24,157.000135,91,-66.000135,2009
2.5,24,39,10.548785,-28.451215,2010
2.5,24,107.677996,48.202992,-59.475004,2011
2.5,24,145.526105,153.323522,7.797417,2017
2.5,24,197.266856,124.994091,-72.272765,2018
2.5,26,160.112304,125.203835,-34.908469,2007
2.5,26,159.999998,169.391264,9.391266,2008
2.5,26,90,140.328527,50.328527,2009
2.5,27,148.83457,186.011434,37.176864,2007
2.5,27,145,92,-53,2008
2.5,27,148,130,-18,2009
2.5,27,69,39,-30,2014
2.5,27,126.738983,88.886607,-37.852376,2015
2.5,27,132,102.427381,-29.572619,2016
2.5,27,88,89.193683,1.19368299999999,2017
2.5,28,147.000001,125.999999,-21.000002,2007
2.5,28,166.107694,171.575232,5.46753799999999,2008
2.5,28,154,149.982289,-4.01771099999999,2009
2.5,28,32.094194,35,2.905806,2012
2.5,28,176,61.142342,-114.857658,2013
2.5,28,68.376739,63.187604,-5.189135,2014
2.5,28,81.163384,82,0.836616000000006,2015
