depth,station,insitu,GLDAS,residual,WY
2.5,19,-275,-297,-22,2007
2.5,19,-281,-290,-9,2008
2.5,19,-238,-296,-58,2010
2.5,19,-218,-260,-42,2012
2.5,19,-221,-258,-37,2017
2.5,19,-143,-172,-29,2018
2.5,19,-113,-186,-73,2019
2.5,20,-272,-228,44,2007
2.5,20,-279,-321,-42,2008
2.5,20,-229,-296,-67,2010
2.5,20,-208,-201,7,2011
2.5,20,-201,-304,-103,2012
2.5,20,-201,-288,-87,2013
2.5,20,-218,-208,10,2016
2.5,20,-186,-240,-54,2017
2.5,20,-151,-200,-49,2018
2.5,20,-137,-280,-143,2019
2.5,23,-275,-283,-8,2007
2.5,23,-281,-298,-17,2008
2.5,24,88,68,-20,2007
2.5,24,134,96,-38,2008
2.5,24,157,85,-72,2009
2.5,26,85,77,-8,2007
2.5,26,88,65,-23,2007
2.5,26,94,103,9,2008
2.5,27,81,36,-45,2007
2.5,27,123,65,-58,2009
2.5,27,96,48,-48,2014
2.5,28,56,49,-7,2007
2.5,28,129,41,-88,2009
2.5,28,117,99,-18,2011
2.5,28,167,84,-83,2012
2.5,28,96,47,-49,2013
2.5,28,96,4,-92,2014
2.5,30,95,175,80,2008
2.5,30,58,52,-6,2009
2.5,30,121,59,-62,2011
2.5,30,92,24,-68,2014
2.5,30,121,116,-5,2016
2.5,30,70,165,95,2018
2.5,31,93,-288,-381,2008
2.5,32,40,76,36,2007
2.5,32,70,36,-34,2007
2.5,32,171,176,5,2009
2.5,32,99,51,-48,2011
2.5,32,102,14,-88,2014
2.5,32,129,103,-26,2016
2.5,34,-314,-230,84,2007
2.5,34,-223,-317,-94,2008
2.5,34,-235,-259,-24,2017
2.5,35,-296,-333,-37,2008
2.5,35,-273,-197,76,2009
2.5,35,-264,-190,74,2010
2.5,35,-247,-222,25,2012
2.5,35,-216,-307,-91,2013
2.5,35,-235,-317,-82,2014
2.5,35,-257,-342,-85,2015
2.5,35,-236,-188,48,2017
2.5,35,-301,-143,158,2018
2.5,37,183,-190,-373,2009
2.5,37,133,-190,-323,2013
2.5,38,68,28,-40,2007
2.5,38,92,170,78,2008
2.5,38,140,147,7,2011
2.5,38,155,76,-79,2012
2.5,38,134,83,-51,2013
4,1,-1322,-1348,-26,2007
4,1,-221,-284,-63,2007
4,1,-277,-307,-30,2008
4,1,-203,-308,-105,2011
4,2,-845,-896,-51,2007
4,2,-247,-252,-5,2007
4,2,-191,-141,50,2009
4,3,-201,-252,-51,2007
4,3,-270,-299,-29,2007
4,3,-193,-186,7,2009
4,3,-199,-204,-5,2011
4,4,-1688,-1727,-39,2007
4,4,-980,-952,28,2007
4,4,-271,-278,-7,2007
4,4,-277,-189,88,2009
4,4,-312,-300,12,2010
4,5,-232,-174,58,2007
4,5,-267,-331,-64,2007
4,5,-317,-137,180,2008
4,5,-276,-191,85,2009
4,6,-1688,-1691,-3,2007
4,6,-642,-492,150,2007
4,6,-277,-260,17,2007
4,6,-306,-131,175,2008
4,6,-187,-173,14,2009
4,7,-486,-660,-174,2007
4,7,-281,-262,19,2007
4,7,-203,-197,6,2011
4,8,-898,-877,21,2007
4,8,-506,-530,-24,2007
4,8,-184,-208,-24,2007
4,8,-274,-265,9,2007
4,8,-290,-278,12,2008
4,9,-1367,-1340,27,2007
4,9,-889,-839,50,2007
4,10,-1360,-1335,25,2007
4,10,-899,-887,12,2007
4,10,-492,-590,-98,2007
4,10,-284,-283,1,2007
4,11,-1367,-1331,36,2007
4,11,-897,-864,33,2007
4,11,-507,-647,-140,2007
4,11,-157,-227,-70,2007
4,11,-273,-302,-29,2007
4,12,-1365,-1359,6,2007
4,12,-898,-904,-6,2007
4,12,-506,-573,-67,2007
4,12,-184,-219,-35,2007
4,12,-274,-289,-15,2007
4,13,-466,-637,-171,2007
4,13,-176,-220,-44,2007
4,13,-279,-301,-22,2008
4,13,-224,-255,-31,2010
4,14,-935,-892,43,2007
4,14,-175,-123,52,2007
4,14,-278,-298,-20,2007
4,14,-279,-296,-17,2008
4,15,-963,-971,-8,2007
4,15,-184,-213,-29,2007
4,15,-273,-293,-20,2007
4,15,-287,-278,9,2008
4,15,-188,-261,-73,2012
4,16,-901,-899,2,2007
4,16,-181,-209,-28,2007
4,16,-284,-198,86,2007
4,16,-271,-280,-9,2009
4,16,-227,-263,-36,2010
4,16,-116,-240,-124,2011
4,17,-935,-909,26,2007
4,17,-466,-585,-119,2007
4,17,-179,-204,-25,2007
4,17,-275,-282,-7,2007
4,17,-279,-294,-15,2008
4,18,-1007,-967,40,2007
4,18,-643,-652,-9,2007
4,18,-168,-165,3,2007
4,18,-286,-290,-4,2007
4,18,-270,-274,-4,2009
4,18,-309,-306,3,2010
10,1,-275,-269,6,2007
10,1,-282,-299,-17,2008
10,1,-216,-267,-51,2010
10,1,-166,-192,-26,2011
10,1,-237,-254,-17,2012
10,1,-211,-186,25,2013
10,1,-254,-313,-59,2014
10,1,-267,-338,-71,2015
10,1,-227,-228,-1,2017
10,1,-140,-169,-29,2018
