depth,station,insitu,GLDAS,residual,WY
2.5,19,-279.344594,-333.249693,-53.905099,2007
2.5,19,-278.795393,-290.787132,-11.991739,2008
2.5,19,-271.444111,-183.970949,87.473162,2009
2.5,19,-242.910533,-296.873815,-53.963282,2010
2.5,19,-194,-296.486312,-102.486312,2012
2.5,19,-224.396359,-258.290429,-33.89407,2017
2.5,19,-198.727466,-172.000007,26.727459,2018
2.5,19,-168.21847,-186.426558,-18.208088,2019
2.5,20,-277,-227.8283,49.1717,2007
2.5,20,-277.000001,-315,-37.999999,2008
2.5,20,-268.99032,-304.173352,-35.183032,2009
2.5,20,-240.00629,-298.549689,-58.543399,2010
2.5,20,-291.470108,-283.365051,8.10505699999999,2011
2.5,20,-261.416115,-301.045033,-39.628918,2012
2.5,20,-203.633781,-287.418852,-83.785071,2013
2.5,20,-113.404323,-136.324798,-22.920475,2014
2.5,20,-226.606175,-253.107053,-26.500878,2016
2.5,20,-208.577468,-242.760875,-34.183407,2017
2.5,20,-197.996538,-199.902467,-1.90592900000001,2018
2.5,20,-139.489228,-290.533718,-151.04449,2019
2.5,23,-279.302047,-288,-8.69795299999998,2007
2.5,23,-279,-298.171617,-19.171617,2008
2.5,23,-268.999696,-264.000099,4.99959699999999,2009
2.5,23,-115.99992,-101.628004,14.371916,2010
2.5,24,84.018687,39.705919,-44.312768,2007
2.5,24,99,96.461835,-2.53816500000001,2008
2.5,24,125.079596,82.271454,-42.808142,2009
2.5,24,206.754951,160.584568,-46.170383,2010
2.5,26,81.190745,74.943492,-6.247253,2007
2.5,26,87.999964,62.344251,-25.655713,2007
2.5,26,93.804258,98,4.195742,2008
2.5,27,81.072368,35.385644,-45.686724,2007
2.5,27,55.510238,61.890738,6.3805,2009
2.5,27,226.473266,136.819471,-89.653795,2010
2.5,27,95.609694,49.39068,-46.219014,2014
2.5,27,119.076659,208.284969,89.20831,2016
2.5,28,56.352054,50.283284,-6.06877,2007
2.5,28,56.71972,36.10577,-20.61395,2009
2.5,28,66.564972,71.751877,5.186905,2011
2.5,28,104.727814,83.387967,-21.339847,2012
2.5,28,98,-3.520435,-101.520435,2013
2.5,28,93.764279,3.944489,-89.81979,2014
2.5,30,91,175.636491,84.636491,2008
2.5,30,56.889766,52.6553,-4.234466,2009
