depth,station,insitu,GLDAS,residual,WY
2.5,19,-143,-41,102,2009
2.5,19,-210,-183,27,2011
2.5,19,-167,-65,102,2013
2.5,19,-157,-155,2,2014
2.5,19,-131,-155,-24,2017
2.5,19,-120,-101,19,2019
2.5,20,-143,-153,-10,2009
2.5,20,-163,-193,-30,2013
2.5,20,-147,-94,53,2017
2.5,20,-115,-53,62,2019
2.5,23,-143,-70,73,2009
2.5,23,-234,-223,11,2013
2.5,23,-213,-223,-10,2015
2.5,23,-234,-223,11,2016
2.5,24,190,149,-41,2010
2.5,24,111,118,7,2013
2.5,24,105,117,12,2014
2.5,24,113,119,6,2015
2.5,24,259,149,-110,2018
2.5,26,222,228,6,2008
2.5,27,221,200,-21,2008
2.5,27,189,185,-4,2010
2.5,27,184,162,-22,2014
2.5,27,243,277,34,2016
2.5,27,213,213,0,2017
2.5,27,280,281,1,2018
2.5,28,166,190,24,2010
2.5,28,184,240,56,2014
2.5,28,262,262,0,2015
2.5,30,184,176,-8,2007
2.5,30,165,278,113,2010
2.5,30,162,166,4,2011
2.5,30,212,209,-3,2012
2.5,30,160,161,1,2015
2.5,30,244,259,15,2016
2.5,30,212,212,0,2017
2.5,32,184,205,21,2007
2.5,32,226,269,43,2009
2.5,32,166,299,133,2010
2.5,32,202,212,10,2012
2.5,32,194,180,-14,2014
2.5,32,198,162,-36,2015
2.5,32,233,247,14,2016
2.5,32,225,236,11,2017
2.5,32,280,281,1,2018
2.5,34,-181,-171,10,2008
2.5,34,-144,-93,51,2009
2.5,34,-179,-96,83,2010
2.5,34,-199,-86,113,2011
2.5,34,-181,-183,-2,2014
2.5,34,-181,-138,43,2015
2.5,34,-167,-204,-37,2016
2.5,34,-131,-104,27,2017
2.5,34,-146,-150,-4,2018
2.5,34,-85,-84,1,2019
2.5,35,-182,-107,75,2008
2.5,35,-144,-53,91,2009
2.5,35,-139,-141,-2,2010
2.5,35,-199,-98,101,2011
2.5,35,-176,-68,108,2012
2.5,35,-163,-163,0,2013
2.5,35,-202,-66,136,2015
2.5,35,-167,-203,-36,2016
2.5,35,-146,-111,35,2017
2.5,35,-146,-143,3,2018
2.5,35,-88,-100,-12,2019
2.5,37,221,-93,-314,2008
2.5,37,268,-92,-360,2009
2.5,37,189,-91,-280,2011
2.5,38,183,272,89,2007
2.5,38,221,234,13,2008
2.5,38,226,270,44,2009
2.5,38,202,206,4,2012
4,1,-1662,-1673,-11,2007
4,1,-1284,-1284,0,2007
4,1,-870,-863,7,2007
4,1,-147,-100,47,2007
4,1,-190,-102,88,2008
4,1,-193,-120,73,2010
4,2,-856,-823,33,2007
4,2,-73,-58,15,2007
4,2,-170,-110,60,2008
4,2,-182,-153,29,2010
4,3,-815,-802,13,2007
4,3,-82,-50,32,2007
4,3,-182,-110,72,2010
4,4,-1652,-1673,-21,2007
4,4,-870,-796,74,2007
4,4,-237,-161,76,2008
4,4,-143,-145,-2,2009
4,5,-1588,-1587,1,2007
4,5,-806,-793,13,2007
4,5,-151,-155,-4,2007
4,5,-160,-93,67,2008
4,5,-75,-87,-12,2009
4,5,-181,-95,86,2010
4,6,-1651,-1603,48,2007
4,6,-174,-137,37,2007
4,6,-114,-118,-4,2008
4,6,-144,-93,51,2009
4,6,-140,-57,83,2010
4,7,-1652,-1573,79,2007
4,7,-811,-862,-51,2007
4,7,-174,-57,117,2007
4,7,-181,-74,107,2008
4,7,-144,-54,90,2009
4,7,-155,-82,73,2010
4,8,-1589,-1537,52,2007
4,8,-827,-824,3,2007
4,8,-122,-116,6,2008
4,8,-143,-114,29,2009
4,8,-181,-154,27,2010
4,9,-1587,-1536,51,2007
4,10,-1650,-1597,53,2007
4,10,-825,-821,4,2007
4,10,-143,-211,-68,2007
4,10,-181,-133,48,2010
4,10,-143,-149,-6,2011
4,10,-84,-166,-82,2012
4,11,-1589,-1536,53,2007
4,11,-827,-807,20,2007
4,11,-141,-152,-11,2007
4,11,-109,-93,16,2008
4,11,-139,-152,-13,2011
4,12,-1646,-1587,59,2007
4,12,-827,-813,14,2007
4,13,-1658,-1592,66,2007
4,13,-818,-856,-38,2007
4,13,-141,-136,5,2007
4,13,-186,-180,6,2008
4,13,-143,-104,39,2009
4,14,-819,-840,-21,2007
4,14,-143,-66,77,2009
4,15,-1659,-1637,22,2007
4,15,-820,-839,-19,2007
4,15,-141,-152,-11,2007
4,15,-181,-155,26,2010
4,16,-1659,-1625,34,2007
4,16,-820,-866,-46,2007
4,16,-141,-152,-11,2007
4,16,-143,-146,-3,2009
4,16,-176,-61,115,2012
4,17,-1658,-1650,8,2007
4,17,-818,-865,-47,2007
4,17,-141,-154,-13,2007
4,17,-186,-113,73,2008
4,17,-143,-72,71,2009
4,18,-806,-796,10,2007
4,18,-174,-53,121,2007
4,18,-181,-170,11,2008
4,18,-144,-40,104,2009
4,18,-169,-95,74,2010
10,1,-199,-150,49,2011
10,1,-163,-152,11,2013
10,1,-181,-201,-20,2015
10,1,-103,-203,-100,2016
10,1,-130,-121,9,2017
10,1,-153,-152,1,2018
10,1,-110,-84,26,2019
