depth,station,insitu,GLDAS,residual,WY
2.5,19,-236.009588,-231.263876,4.745712,2008
2.5,19,-96,-70.525079,25.474921,2009
2.5,19,-172.832105,-149.976208,22.855897,2010
2.5,19,-179,-69.504742,109.495258,2013
2.5,19,-131.677033,-156.005973,-24.32894,2014
2.5,19,-123.761283,-148.867002,-25.105719,2015
2.5,19,-145.00006,-111.553286,33.446774,2017
2.5,19,-137.586953,-145.36134,-7.77438700000002,2018
2.5,19,-99.979955,-61,38.979955,2019
2.5,20,-178.999999,-168.790033,10.209966,2008
2.5,20,-142.99229,-95.381032,47.611258,2009
2.5,20,-173.000029,-146.543283,26.456746,2010
2.5,20,-196.997873,-72,124.997873,2011
2.5,20,-163.186133,-155,8.18613300000001,2013
2.5,20,-172.000044,-198.999996,-26.999952,2014
2.5,20,-114.337075,-97.709458,16.627617,2017
2.5,20,-140.620439,-145.980466,-5.360027,2018
2.5,20,-108.000037,-79.092916,28.907121,2019
2.5,23,-137.139042,-167.018673,-29.879631,2008
2.5,23,-96,-73.780233,22.219767,2009
2.5,23,-172.111105,-101.100679,71.010426,2010
2.5,23,-139.178297,-134.10154,5.07675699999999,2018
2.5,24,121.013682,193.383101,72.369419,2007
2.5,24,191.00001,249.999884,58.999874,2009
2.5,24,210.994478,187,-23.994478,2010
2.5,24,278.63987,217.462552,-61.177318,2011
2.5,24,138.291499,119.706424,-18.585075,2017
2.5,24,259.999982,273.594285,13.594303,2018
2.5,26,127.78228,145,17.21772,2007
2.5,26,222,259.817728,37.817728,2008
2.5,26,209.355691,258,48.644309,2009
2.5,27,185.000031,191.000028,5.99999699999998,2007
2.5,27,270,267.362958,-2.63704200000001,2008
2.5,27,259.000364,300.816395,41.816031,2009
2.5,27,239,193.606058,-45.393942,2014
2.5,27,230.021733,233.38905,3.36731699999999,2015
2.5,27,257.194536,274,16.805464,2016
2.5,27,262.015827,265.961083,3.94525599999997,2017
2.5,28,146.058422,188.000526,41.942104,2007
2.5,28,133.841671,120.527318,-13.314353,2008
2.5,28,221.254982,248.668521,27.413539,2009
2.5,28,202,204.681708,2.68170799999999,2012
2.5,28,184.520594,233.981206,49.460612,2013
2.5,28,196.000015,231.520825,35.52081,2014
2.5,28,255.598014,258.329335,2.73132100000001,2015
2.5,30,196,183.000079,-12.999921,2007
2.5,30,271,305.020082,34.020082,2008
2.5,30,222.474801,260.400597,37.925796,2009
2.5,30,176.776377,180.003415,3.22703799999999,2010
2.5,30,205.657162,204.999999,-0.657162999999997,2012
2.5,30,257.990954,263.776686,5.785732,2016
2.5,30,264,264.88374,0.883739999999989,2017
2.5,31,269.65325,-113.446108,-383.099358,2008
2.5,32,227.744136,200.891993,-26.852143,2007
2.5,32,266.943834,258.000716,-8.94311799999997,2008
2.5,32,222.297652,260.393002,38.09535,2009
2.5,32,165.999935,267.89722,101.897285,2010
2.5,32,199.00019,199.271105,0.270915000000002,2014
2.5,32,254.141347,263.030137,8.88879000000003,2016
2.5,32,260.521849,228.561043,-31.960806,2017
2.5,32,276.377046,273.946132,-2.43091400000003,2018
2.5,34,-180.000525,-175.208826,4.79169900000002,2008
2.5,34,-97.906483,-103,-5.09351700000001,2009
2.5,34,-101.12992,-103.414659,-2.284739,2010
2.5,34,-188.140742,-152.554125,35.586617,2011
2.5,34,-179,-89.232602,89.767398,2012
2.5,34,-163.151221,-153.202415,9.94880599999999,2013
2.5,34,-132.209454,-182.000026,-49.790572,2014
2.5,34,-169,-132.990636,36.009364,2015
2.5,34,-110.97268,-104.068665,6.904015,2017
