depth,station,insitu,GLDAS,residual,WY
2.5,19,-169,-176,-7,2007
2.5,19,-149,-151,-2,2008
2.5,19,-108,-133,-25,2010
2.5,19,-41,-162,-121,2012
2.5,19,-93,-99,-6,2017
2.5,19,-23,2,25,2018
2.5,19,-57,-12,45,2019
2.5,20,-168,-51,117,2007
2.5,20,-154,-145,9,2008
2.5,20,-110,-140,-30,2010
2.5,20,-160,-146,14,2011
2.5,20,-134,-141,-7,2012
2.5,20,-128,-128,0,2013
2.5,20,-225,-232,-7,2016
2.5,20,-119,-88,31,2017
2.5,20,-24,-23,1,2018
2.5,20,-57,-198,-141,2019
2.5,23,-169,-167,2,2007
2.5,23,-149,-149,0,2008
2.5,24,195,186,-9,2007
2.5,24,150,240,90,2008
2.5,24,215,220,5,2009
2.5,26,192,187,-5,2007
2.5,26,211,215,4,2007
2.5,26,241,229,-12,2008
2.5,27,195,200,5,2007
2.5,27,159,189,30,2009
2.5,27,194,184,-10,2014
2.5,28,206,192,-14,2007
2.5,28,161,184,23,2009
2.5,28,213,273,60,2011
2.5,28,175,230,55,2012
2.5,28,261,220,-41,2013
2.5,28,226,168,-58,2014
2.5,30,176,346,170,2008
2.5,30,221,188,-33,2009
2.5,30,223,231,8,2011
2.5,30,227,182,-45,2014
2.5,30,269,276,7,2016
2.5,30,140,343,203,2018
2.5,31,175,-111,-286,2008
2.5,32,144,146,2,2007
2.5,32,205,198,-7,2007
2.5,32,267,358,91,2009
2.5,32,272,230,-42,2011
2.5,32,227,162,-65,2014
2.5,32,261,271,10,2016
2.5,34,-219,-51,168,2007
2.5,34,-206,-168,38,2008
2.5,34,-104,-96,8,2017
2.5,35,-160,-161,-1,2008
2.5,35,-132,-19,113,2009
2.5,35,-87,-12,75,2010
2.5,35,-194,-42,152,2012
2.5,35,-128,-139,-11,2013
2.5,35,-117,-148,-31,2014
2.5,35,-125,-195,-70,2015
2.5,35,-101,-85,16,2017
2.5,35,-143,-7,136,2018
2.5,37,244,-20,-264,2009
2.5,37,247,-18,-265,2013
2.5,38,205,197,-8,2007
2.5,38,233,343,110,2008
2.5,38,204,323,119,2011
2.5,38,230,231,1,2012
2.5,38,247,260,13,2013
4,1,-1215,-1265,-50,2007
4,1,-128,-121,7,2007
4,1,-169,-147,22,2008
4,1,-22,-140,-118,2011
4,2,-903,-902,1,2007
4,2,-155,-167,-12,2007
4,2,-14,-28,-14,2009
4,3,-56,-109,-53,2007
4,3,-146,-172,-26,2007
4,3,-13,-15,-2,2009
4,3,-23,-147,-124,2011
4,4,-1526,-1580,-54,2007
4,4,-893,-902,-9,2007
4,4,-176,-166,10,2007
4,4,-129,-13,116,2009
4,4,-155,-169,-14,2010
4,5,-64,-85,-21,2007
4,5,-184,-164,20,2007
4,5,-157,21,178,2008
4,5,-106,-22,84,2009
4,6,-1551,-1527,24,2007
4,6,-466,-324,142,2007
4,6,-165,-162,3,2007
4,6,-155,30,185,2008
4,6,-19,-8,11,2009
4,7,-505,-493,12,2007
4,7,-165,-166,-1,2007
4,7,-23,-23,0,2011
4,8,-876,-872,4,2007
4,8,-488,-539,-51,2007
4,8,-74,-101,-27,2007
4,8,-156,-143,13,2007
4,8,-161,-162,-1,2008
4,9,-1209,-1243,-34,2007
4,9,-875,-902,-27,2007
4,10,-1229,-1288,-59,2007
4,10,-876,-886,-10,2007
4,10,-499,-530,-31,2007
4,10,-132,-162,-30,2007
4,11,-1209,-1287,-78,2007
4,11,-876,-716,160,2007
4,11,-487,-490,-3,2007
4,11,-82,-106,-24,2007
4,11,-156,-166,-10,2007
4,12,-1209,-1206,3,2007
4,12,-876,-874,2,2007
4,12,-488,-517,-29,2007
4,12,-74,-107,-33,2007
4,12,-155,-154,1,2007
4,13,-517,-487,30,2007
4,13,-77,-118,-41,2007
4,13,-148,-154,-6,2008
4,13,-118,-148,-30,2010
4,14,-866,-897,-31,2007
4,14,-77,-154,-77,2007
4,14,-152,-127,25,2007
4,14,-148,-151,-3,2008
4,15,-837,-830,7,2007
4,15,-73,-98,-25,2007
4,15,-159,-123,36,2007
4,15,-152,-146,6,2008
4,15,-124,-112,12,2012
4,16,-887,-874,13,2007
4,16,-75,-91,-16,2007
4,16,-139,-40,99,2007
4,16,-113,-143,-30,2009
4,16,-112,-84,28,2010
4,16,-160,-115,45,2011
4,17,-866,-865,1,2007
4,17,-517,-512,5,2007
4,17,-76,-104,-28,2007
4,17,-159,-171,-12,2007
4,17,-148,-156,-8,2008
4,18,-876,-856,20,2007
4,18,-465,-484,-19,2007
4,18,-124,-156,-32,2007
4,18,-173,-175,-2,2007
4,18,-190,-145,45,2009
4,18,-146,-191,-45,2010
10,1,-172,-176,-4,2007
10,1,-160,-163,-3,2008
10,1,-171,-177,-6,2010
10,1,-137,-153,-16,2011
10,1,-152,-154,-2,2012
10,1,-146,-180,-34,2013
10,1,-112,-150,-38,2014
10,1,-136,-195,-59,2015
10,1,-105,-111,-6,2017
10,1,-32,-8,24,2018
