depth,station,insitu,GLDAS,residual,WY
2.5,19,-172,-163.199996,8.800004,2007
2.5,19,-148.999901,-147,1.99990099999999,2008
2.5,19,-111,-156.333471,-45.333471,2009
2.5,19,-101.867207,-133.405231,-31.538024,2010
2.5,19,-143.999971,-123.492703,20.507268,2012
2.5,19,-91.543871,-98.116791,-6.57292000000001,2017
2.5,19,-29.877824,0.181592,30.059416,2018
2.5,19,-6.479971,-12.963225,-6.483254,2019
2.5,20,-171.77221,-52.000841,119.771369,2007
2.5,20,-154.797071,-158.859753,-4.06268200000002,2008
2.5,20,-123.169552,-172.633219,-49.463667,2009
2.5,20,-99.584111,-139.181616,-39.597505,2010
2.5,20,-128.224139,-117.27226,10.951879,2011
2.5,20,-91.87288,-142.414026,-50.541146,2012
2.5,20,-127.210467,-129.457587,-2.24712,2013
2.5,20,-82.141354,-99.663424,-17.52207,2014
2.5,20,-218.504642,-215.251379,3.253263,2016
2.5,20,-97.110074,-86.032708,11.077366,2017
2.5,20,-28.993413,-23.634452,5.358961,2018
2.5,20,-50,-192.000001,-142.000001,2019
2.5,23,-172,-165.875747,6.12425300000001,2007
2.5,23,-149.000013,-147,2.000013,2008
2.5,23,-122.37242,-132.999981,-10.627561,2009
2.5,23,-113.828812,-49.353109,64.475703,2010
2.5,24,193.200246,197,3.79975400000001,2007
2.5,24,179.999978,236.07778,56.077802,2008
2.5,24,218.876725,223,4.12327500000001,2009
2.5,24,284.670553,252.621301,-32.049252,2010
2.5,26,192.12714,194,1.87286,2007
2.5,26,211.381957,218.782265,7.400308,2007
2.5,26,238,232.526739,-5.47326100000001,2008
2.5,27,194.556717,199.534126,4.97740899999999,2007
2.5,27,218.757319,188.999928,-29.757391,2009
2.5,27,241.715789,281.612413,39.896624,2010
2.5,27,189.452497,180.950472,-8.502025,2014
2.5,27,263.777763,236.857626,-26.920137,2016
2.5,28,205.042572,191.570188,-13.472384,2007
2.5,28,218.1989,187.999993,-30.198907,2009
2.5,28,226.157143,228.448645,2.29150200000001,2011
2.5,28,227.596072,231,3.40392800000001,2012
2.5,28,252.925039,171.745597,-81.179442,2013
2.5,28,233.999912,167.138995,-66.860917,2014
2.5,30,181.231983,345,163.768017,2008
2.5,30,220.292811,189,-31.292811,2009
2.5,30,224,229.999982,5.99998199999999,2011
2.5,30,234.136899,185.433518,-48.703381,2014
2.5,30,268.264288,272.921164,4.65687599999995,2016
2.5,31,182.392424,-112,-294.392424,2008
2.5,32,144.049277,147.999999,3.95072200000001,2007
2.5,32,204.144993,200.62728,-3.51771299999999,2007
2.5,32,185.000205,344,158.999795,2008
2.5,32,150.99906,241.109421,90.110361,2010
2.5,32,227.476117,229.452391,1.97627400000002,2011
2.5,32,264.720572,314.15037,49.429798,2012
2.5,32,233.921711,160.461817,-73.459894,2014
2.5,32,263.791346,269.907833,6.11648700000001,2016
2.5,34,-218.999997,-52.344921,166.655076,2007
2.5,34,-165.844569,-164,1.84456900000001,2008
2.5,34,-131.99943,-110,21.99943,2009
2.5,34,-139.351135,-136,3.351135,2013
2.5,34,-102,-96.932542,5.067458,2017
2.5,35,-161.000005,-161.000025,-2.00000000063483e-05,2008
2.5,35,-173.455178,-19.828787,153.626391,2009
2.5,35,-87.997441,-13.21257,74.784871,2010
2.5,35,-204.851959,-43.350251,161.501708,2012
2.5,35,-107.935048,-139,-31.064952,2013
2.5,35,-112.781509,-148,-35.218491,2014
2.5,35,-125.790851,-195.999998,-70.209147,2015
2.5,35,-98.382423,-80.841534,17.540889,2017
2.5,35,-144,-7.910866,136.089134,2018
2.5,37,235.474849,-181.281552,-416.756401,2008
2.5,37,297,-21.482155,-318.482155,2009
2.5,37,235,-196.690508,-431.690508,2010
2.5,37,135.833201,-112.529563,-248.362764,2011
2.5,37,251.494592,-40,-291.494592,2013
2.5,38,205.000089,197.285055,-7.715034,2007
2.5,38,191.106999,341.932291,150.825292,2008
2.5,38,370.999757,369.654759,-1.34499799999998,2009
2.5,38,220.000002,275.228712,55.22871,2011
2.5,38,230.57539,230.999984,0.424594000000013,2012
2.5,38,252.679796,258.375078,5.69528199999996,2013
4,1,-1206.999954,-1250.935655,-43.9357010000001,2007
4,1,-784.865108,-865.515451,-80.650343,2007
4,1,-65.01366,-102.980672,-37.967012,2007
4,1,-120.563123,-121,-0.436876999999996,2007
4,1,-162.999941,-144.470755,18.529186,2008
4,1,-113.897859,-108.897799,5.00005999999999,2009
4,2,-829.593259,-830.902311,-1.30905200000007,2007
4,2,-177.4022,-154.240837,23.161363,2007
4,2,-140.677994,-125.525602,15.152392,2007
4,2,-14.30412,15.326319,29.630439,2009
4,2,-22.000109,-117.558645,-95.558536,2011
4,3,-831.950127,-831.758946,0.191180999999915,2007
4,3,-486.678535,-485.939869,0.738666000000023,2007
4,3,-174.441081,-104.999915,69.441166,2007
4,3,-138.445598,-168.126647,-29.681049,2007
4,3,-13.566161,-15.999823,-2.433662,2009
4,3,-124.217447,-124,0.217447000000007,2011
4,4,-1525.540685,-1578.946412,-53.4057270000001,2007
4,4,-872,-865.612549,6.38745100000006,2007
4,4,-491.110891,-499.525209,-8.41431800000004,2007
4,4,-177.59672,-118,59.59672,2007
4,4,-171.215147,-160.986895,10.228252,2007
4,4,-180.517678,-14.304169,166.213509,2009
4,4,-153.456828,-164.179717,-10.722889,2010
4,5,-866.002682,-875.999778,-9.99709599999994,2007
4,5,-176,-165.042731,10.957269,2007
4,5,-158.663707,18.582504,177.246211,2008
4,5,-107,-23,84,2009
4,6,-1546,-1529,17,2007
4,6,-867,-868,-1,2007
4,6,-466.834237,-327.000305,139.833932,2007
4,6,-130.253463,-129.57768,0.675783000000024,2007
4,6,-168.835817,-163.000001,5.83581599999999,2007
4,6,-158,29.457247,187.457247,2008
4,6,-105.455709,-8.891654,96.564055,2009
4,7,-875,-865.999986,9.00001399999996,2007
4,7,-467.000034,-494.529395,-27.529361,2007
4,7,-85.447106,-145.238785,-59.791679,2007
4,7,-168.951641,-161.267923,7.683718,2007
4,7,-132.327919,-65.040986,67.286933,2009
4,8,-829.903418,-850.999986,-21.096568,2007
4,8,-469,-488.893872,-19.893872,2007
4,8,-79.999973,-105,-25.000027,2007
4,8,-141,-135.530148,5.469852,2007
4,8,-162,-159,3,2008
4,8,-114.138491,-149.998917,-35.860426,2009
4,9,-1206.000004,-1248.227653,-42.2276489999999,2007
4,9,-828.892901,-831.424964,-2.53206299999999,2007
4,10,-1225.032765,-1282.001331,-56.968566,2007
4,10,-830.000238,-834.621542,-4.62130400000001,2007
4,10,-446.239377,-467.63409,-21.394713,2007
4,10,-80.210845,-106.841275,-26.63043,2007
4,10,-132.235662,-162.988608,-30.752946,2007
4,10,-20.861713,-98.390514,-77.528801,2009
4,10,-123.000286,-93.410962,29.589324,2012
4,11,-1206.000064,-1284.000001,-77.999937,2007
4,11,-829.875655,-718,111.875655,2007
4,11,-448.842477,-515.999794,-67.157317,2007
4,11,-74.999903,-96.431126,-21.431223,2007
4,11,-141,-163.000542,-22.000542,2007
4,11,-117.579751,-132.623519,-15.043768,2009
4,11,-123.624233,-52.329018,71.295215,2011
4,12,-1206.062112,-1206.292038,-0.229925999999978,2007
4,12,-829.896651,-846.049665,-16.153014,2007
4,12,-469,-487.191586,-18.191586,2007
4,12,-79.999951,-96.832657,-16.832706,2007
4,12,-141,-155.671141,-14.671141,2007
4,13,-833,-831.000004,1.99999600000001,2007
4,13,-468.000002,-487.000105,-19.000103,2007
4,13,-78.99952,-96.78061,-17.78109,2007
4,13,-148.748635,-148.100612,0.648022999999995,2008
4,13,-116.328917,-11.211603,105.117314,2009
4,13,-97.908147,-138.173894,-40.265747,2010
4,14,-832.999995,-833.034597,-0.0346019999999498,2007
4,14,-468.000009,-490.000001,-21.999992,2007
4,14,-78.755515,-105,-26.244485,2007
4,14,-162.826141,-126.825567,36.000574,2007
4,14,-148.373625,-148,0.373625000000004,2008
4,14,-115.385978,-133.308278,-17.9223,2009
4,15,-832.617276,-827.321351,5.2959249999999,2007
4,15,-526.104607,-473.190478,52.914129,2007
4,15,-67,-83.630281,-16.630281,2007
4,15,-169.339806,-123.148381,46.191425,2007
4,15,-152.826022,-145.789007,7.037015,2008
4,15,-110.673878,-129.039886,-18.366008,2009
4,15,-124.000225,-118.369108,5.631117,2011
4,15,-143.999841,-100.923578,43.076263,2012
4,16,-832.64999,-824.850241,7.79974900000002,2007
4,16,-468.000002,-467.845525,0.154476999999986,2007
4,16,-67.57892,-93.131183,-25.552263,2007
4,16,-135.998965,-41.554976,94.443989,2007
4,16,-148.448978,-157.057309,-8.60833099999999,2008
4,16,-117.699154,-141.248367,-23.549213,2009
4,16,-98.330308,-85,13.330308,2010
4,16,-123.999588,-115.905802,8.09378600000001,2011
4,17,-832.999912,-825.210429,7.78948300000002,2007
4,17,-468.000003,-483.608868,-15.608865,2007
4,17,-78.999803,-103.913618,-24.913815,2007
4,17,-141.099262,-162.000088,-20.900826,2007
4,17,-148.475719,-149.547356,-1.07163700000001,2008
4,17,-109.999706,-140.281248,-30.281542,2009
4,18,-867.095788,-831.871095,35.224693,2007
4,18,-488.16875,-483.756267,4.41248300000001,2007
4,18,-180.890648,-129.986848,50.9038,2007
4,18,-172,-164.616816,7.383184,2007
4,18,-183.984059,-148.108214,35.875845,2009
4,18,-146.001257,-186.8892,-40.887943,2010
10,1,-171.999993,-169,2.99999299999999,2007
10,1,-159.570521,-164.208283,-4.63776199999998,2008
10,1,-173.116135,-133.000001,40.116134,2009
10,1,-154.950433,-180.005458,-25.055025,2010
10,1,-121.238902,-114.456965,6.781937,2011
10,1,-140.521781,-139.75281,0.768970999999993,2012
10,1,-135.185122,-140.948311,-5.76318899999998,2013
