depth,station,sig_type,insitu,GLDAS,residual
3,19,seasontrans_sdate_wet2dry_p,-172,-163.199996,8.800004
3,19,seasontrans_sdate_wet2dry_p,-148.999901,-147,1.999901
3,19,seasontrans_sdate_wet2dry_p,-111,-156.333471,-45.333471
3,19,seasontrans_sdate_wet2dry_p,-101.867207,-133.405231,-31.538024
3,19,seasontrans_sdate_wet2dry_p,NaN,NaN,NaN
3,19,seasontrans_sdate_wet2dry_p,-143.999971,-123.492703,20.507268
3,19,seasontrans_sdate_wet2dry_p,-93.999298,NaN,NaN
3,19,seasontrans_sdate_wet2dry_p,-16.509362,NaN,NaN
3,19,seasontrans_sdate_wet2dry_p,9.999823,NaN,NaN
3,19,seasontrans_sdate_wet2dry_p,NaN,NaN,NaN
3,19,seasontrans_sdate_wet2dry_p,-91.543871,-98.116791,-6.57292
3,19,seasontrans_sdate_wet2dry_p,-29.877824,0.181592,30.059416
3,19,seasontrans_sdate_wet2dry_p,-6.479971,-12.963225,-6.483254
3,19,seasontrans_sdate_wet2dry_l,-169,-176,-7
3,19,seasontrans_sdate_wet2dry_l,-149,-151,-2
3,19,seasontrans_sdate_wet2dry_l,NaN,-184,NaN
3,19,seasontrans_sdate_wet2dry_l,-108,-133,-25
3,19,seasontrans_sdate_wet2dry_l,NaN,NaN,NaN
3,19,seasontrans_sdate_wet2dry_l,-41,-162,-121
3,19,seasontrans_sdate_wet2dry_l,-99,NaN,NaN
3,19,seasontrans_sdate_wet2dry_l,NaN,NaN,NaN
3,19,seasontrans_sdate_wet2dry_l,NaN,NaN,NaN
3,19,seasontrans_sdate_wet2dry_l,NaN,NaN,NaN
3,19,seasontrans_sdate_wet2dry_l,-93,-99,-6
3,19,seasontrans_sdate_wet2dry_l,-23,2,25
3,19,seasontrans_sdate_wet2dry_l,-57,-12,45
3,19,seasontrans_edate_wet2dry_p,-279.344594,-333.249693,-53.905099
3,19,seasontrans_edate_wet2dry_p,-278.795393,-290.787132,-11.991739
3,19,seasontrans_edate_wet2dry_p,-271.444111,-183.970949,87.473162
3,19,seasontrans_edate_wet2dry_p,-242.910533,-296.873815,-53.963282
3,19,seasontrans_edate_wet2dry_p,NaN,NaN,NaN
3,19,seasontrans_edate_wet2dry_p,-194,-296.486312,-102.486312
3,19,seasontrans_edate_wet2dry_p,-234.996032,NaN,NaN
3,19,seasontrans_edate_wet2dry_p,-170.31275,NaN,NaN
3,19,seasontrans_edate_wet2dry_p,-163.000153,NaN,NaN
3,19,seasontrans_edate_wet2dry_p,NaN,NaN,NaN
3,19,seasontrans_edate_wet2dry_p,-224.396359,-258.290429,-33.89407
3,19,seasontrans_edate_wet2dry_p,-198.727466,-172.000007,26.727459
3,19,seasontrans_edate_wet2dry_p,-168.21847,-186.426558,-18.208088
3,19,seasontrans_edate_wet2dry_l,-275,-297,-22
3,19,seasontrans_edate_wet2dry_l,-281,-290,-9
3,19,seasontrans_edate_wet2dry_l,NaN,-153,NaN
3,19,seasontrans_edate_wet2dry_l,-238,-296,-58
3,19,seasontrans_edate_wet2dry_l,NaN,NaN,NaN
3,19,seasontrans_edate_wet2dry_l,-218,-260,-42
3,19,seasontrans_edate_wet2dry_l,-234,NaN,NaN
3,19,seasontrans_edate_wet2dry_l,NaN,NaN,NaN
3,19,seasontrans_edate_wet2dry_l,NaN,NaN,NaN
3,19,seasontrans_edate_wet2dry_l,NaN,NaN,NaN
3,19,seasontrans_edate_wet2dry_l,-221,-258,-37
3,19,seasontrans_edate_wet2dry_l,-143,-172,-29
3,19,seasontrans_edate_wet2dry_l,-113,-186,-73
3,19,seasontrans_sdate_dry2wet_p,NaN,NaN,NaN
3,19,seasontrans_sdate_dry2wet_p,-236.009588,-231.263876,4.745712
3,19,seasontrans_sdate_dry2wet_p,-96,-70.525079,25.474921
3,19,seasontrans_sdate_dry2wet_p,-172.832105,-149.976208,22.855897
3,19,seasontrans_sdate_dry2wet_p,-130,NaN,NaN
3,19,seasontrans_sdate_dry2wet_p,NaN,NaN,NaN
3,19,seasontrans_sdate_dry2wet_p,-179,-69.504742,109.495258
3,19,seasontrans_sdate_dry2wet_p,-131.677033,-156.005973,-24.32894
3,19,seasontrans_sdate_dry2wet_p,-123.761283,-148.867002,-25.105719
3,19,seasontrans_sdate_dry2wet_p,NaN,NaN,NaN
3,19,seasontrans_sdate_dry2wet_p,-145.00006,-111.553286,33.446774
3,19,seasontrans_sdate_dry2wet_p,-137.586953,-145.36134,-7.774387
3,19,seasontrans_sdate_dry2wet_p,-99.979955,-61,38.979955
3,19,seasontrans_sdate_dry2wet_l,NaN,NaN,NaN
3,19,seasontrans_sdate_dry2wet_l,NaN,NaN,NaN
3,19,seasontrans_sdate_dry2wet_l,-143,-41,102
3,19,seasontrans_sdate_dry2wet_l,NaN,-161,NaN
3,19,seasontrans_sdate_dry2wet_l,-210,-183,27
3,19,seasontrans_sdate_dry2wet_l,NaN,NaN,NaN
3,19,seasontrans_sdate_dry2wet_l,-167,-65,102
3,19,seasontrans_sdate_dry2wet_l,-157,-155,2
3,19,seasontrans_sdate_dry2wet_l,NaN,-234,NaN
3,19,seasontrans_sdate_dry2wet_l,NaN,NaN,NaN
3,19,seasontrans_sdate_dry2wet_l,-131,-155,-24
3,19,seasontrans_sdate_dry2wet_l,NaN,NaN,NaN
3,19,seasontrans_sdate_dry2wet_l,-120,-101,19
3,19,seasontrans_edate_dry2wet_p,NaN,NaN,NaN
3,19,seasontrans_edate_dry2wet_p,-180.000027,-207,-26.999973
3,19,seasontrans_edate_dry2wet_p,-271.426312,-194.697174,76.729138
3,19,seasontrans_edate_dry2wet_p,-117.076767,-190.712724,-73.635957
3,19,seasontrans_edate_dry2wet_p,-277.99897,NaN,NaN
3,19,seasontrans_edate_dry2wet_p,NaN,NaN,NaN
3,19,seasontrans_edate_dry2wet_p,-236.000001,-237.564028,-1.564027
3,19,seasontrans_edate_dry2wet_p,-309.563322,-328.785145,-19.221823
3,19,seasontrans_edate_dry2wet_p,-296.835103,-292.206597,4.628506
3,19,seasontrans_edate_dry2wet_p,NaN,NaN,NaN
3,19,seasontrans_edate_dry2wet_p,-217.396871,-215,2.396871
3,19,seasontrans_edate_dry2wet_p,-243.298867,-158.698642,84.600225
3,19,seasontrans_edate_dry2wet_p,-219.346802,-226.628036,-7.281234
3,19,seasontrans_edate_dry2wet_l,NaN,NaN,NaN
3,19,seasontrans_edate_dry2wet_l,NaN,NaN,NaN
3,19,seasontrans_edate_dry2wet_l,-210,-220,-10
3,19,seasontrans_edate_dry2wet_l,NaN,-97,NaN
3,19,seasontrans_edate_dry2wet_l,-285,-361,-76
3,19,seasontrans_edate_dry2wet_l,NaN,NaN,NaN
3,19,seasontrans_edate_dry2wet_l,-331,-245,86
3,19,seasontrans_edate_dry2wet_l,-338,-329,9
3,19,seasontrans_edate_dry2wet_l,NaN,-182,NaN
3,19,seasontrans_edate_dry2wet_l,NaN,NaN,NaN
3,19,seasontrans_edate_dry2wet_l,-219,-194,25
3,19,seasontrans_edate_dry2wet_l,NaN,NaN,NaN
3,19,seasontrans_edate_dry2wet_l,-201,-227,-26
3,20,seasontrans_sdate_wet2dry_p,-171.77221,-52.000841,119.771369
3,20,seasontrans_sdate_wet2dry_p,-154.797071,-158.859753,-4.062682
3,20,seasontrans_sdate_wet2dry_p,-123.169552,-172.633219,-49.463667
3,20,seasontrans_sdate_wet2dry_p,-99.584111,-139.181616,-39.597505
3,20,seasontrans_sdate_wet2dry_p,-128.224139,-117.27226,10.951879
3,20,seasontrans_sdate_wet2dry_p,-91.87288,-142.414026,-50.541146
3,20,seasontrans_sdate_wet2dry_p,-127.210467,-129.457587,-2.24712
3,20,seasontrans_sdate_wet2dry_p,-82.141354,-99.663424,-17.52207
3,20,seasontrans_sdate_wet2dry_p,NaN,NaN,NaN
3,20,seasontrans_sdate_wet2dry_p,-218.504642,-215.251379,3.253263
3,20,seasontrans_sdate_wet2dry_p,-97.110074,-86.032708,11.077366
3,20,seasontrans_sdate_wet2dry_p,-28.993413,-23.634452,5.358961
3,20,seasontrans_sdate_wet2dry_p,-50,-192.000001,-142.000001
3,20,seasontrans_sdate_wet2dry_l,-168,-51,117
3,20,seasontrans_sdate_wet2dry_l,-154,-145,9
3,20,seasontrans_sdate_wet2dry_l,NaN,-170,NaN
3,20,seasontrans_sdate_wet2dry_l,-110,-140,-30
3,20,seasontrans_sdate_wet2dry_l,-160,-146,14
3,20,seasontrans_sdate_wet2dry_l,-134,-141,-7
3,20,seasontrans_sdate_wet2dry_l,-128,-128,0
3,20,seasontrans_sdate_wet2dry_l,NaN,NaN,NaN
3,20,seasontrans_sdate_wet2dry_l,NaN,NaN,NaN
3,20,seasontrans_sdate_wet2dry_l,-225,-232,-7
3,20,seasontrans_sdate_wet2dry_l,-119,-88,31
3,20,seasontrans_sdate_wet2dry_l,-24,-23,1
3,20,seasontrans_sdate_wet2dry_l,-57,-198,-141
3,20,seasontrans_edate_wet2dry_p,-277,-227.8283,49.1717
3,20,seasontrans_edate_wet2dry_p,-277.000001,-315,-37.999999
3,20,seasontrans_edate_wet2dry_p,-268.99032,-304.173352,-35.183032
3,20,seasontrans_edate_wet2dry_p,-240.00629,-298.549689,-58.543399
3,20,seasontrans_edate_wet2dry_p,-291.470108,-283.365051,8.105057
3,20,seasontrans_edate_wet2dry_p,-261.416115,-301.045033,-39.628918
3,20,seasontrans_edate_wet2dry_p,-203.633781,-287.418852,-83.785071
3,20,seasontrans_edate_wet2dry_p,-113.404323,-136.324798,-22.920475
3,20,seasontrans_edate_wet2dry_p,NaN,NaN,NaN
3,20,seasontrans_edate_wet2dry_p,-226.606175,-253.107053,-26.500878
3,20,seasontrans_edate_wet2dry_p,-208.577468,-242.760875,-34.183407
3,20,seasontrans_edate_wet2dry_p,-197.996538,-199.902467,-1.905929
3,20,seasontrans_edate_wet2dry_p,-139.489228,-290.533718,-151.04449
3,20,seasontrans_edate_wet2dry_l,-272,-228,44
3,20,seasontrans_edate_wet2dry_l,-279,-321,-42
3,20,seasontrans_edate_wet2dry_l,NaN,-300,NaN
3,20,seasontrans_edate_wet2dry_l,-229,-296,-67
3,20,seasontrans_edate_wet2dry_l,-208,-201,7
3,20,seasontrans_edate_wet2dry_l,-201,-304,-103
3,20,seasontrans_edate_wet2dry_l,-201,-288,-87
3,20,seasontrans_edate_wet2dry_l,NaN,NaN,NaN
3,20,seasontrans_edate_wet2dry_l,NaN,NaN,NaN
3,20,seasontrans_edate_wet2dry_l,-218,-208,10
3,20,seasontrans_edate_wet2dry_l,-186,-240,-54
3,20,seasontrans_edate_wet2dry_l,-151,-200,-49
3,20,seasontrans_edate_wet2dry_l,-137,-280,-143
3,20,seasontrans_sdate_dry2wet_p,NaN,NaN,NaN
3,20,seasontrans_sdate_dry2wet_p,-178.999999,-168.790033,10.209966
3,20,seasontrans_sdate_dry2wet_p,-142.99229,-95.381032,47.611258
3,20,seasontrans_sdate_dry2wet_p,-173.000029,-146.543283,26.456746
3,20,seasontrans_sdate_dry2wet_p,-196.997873,-72,124.997873
3,20,seasontrans_sdate_dry2wet_p,NaN,NaN,NaN
3,20,seasontrans_sdate_dry2wet_p,-163.186133,-155,8.186133
3,20,seasontrans_sdate_dry2wet_p,-172.000044,-198.999996,-26.999952
3,20,seasontrans_sdate_dry2wet_p,NaN,NaN,NaN
3,20,seasontrans_sdate_dry2wet_p,NaN,NaN,NaN
3,20,seasontrans_sdate_dry2wet_p,-114.337075,-97.709458,16.627617
3,20,seasontrans_sdate_dry2wet_p,-140.620439,-145.980466,-5.360027
3,20,seasontrans_sdate_dry2wet_p,-108.000037,-79.092916,28.907121
