depth,station,insitu,gldas
2.5,27,NaN,NaN
2.5,27,733236.012772739,733216.687090936
2.5,27,733608.000023203,733595.385869453
2.5,27,733943.161727513,733948.720015059
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,736467.283891454,736493.966787762
2.5,27,736825.312494436,736816.178039899
2.5,27,737200.155180345,737197.924409347
2.5,28,NaN,NaN
2.5,28,NaN,NaN
2.5,28,NaN,NaN
2.5,28,733945.000003342,733952.223864891
2.5,28,NaN,NaN
2.5,28,NaN,NaN
2.5,28,734926.861628589,734931.078615137
2.5,28,735407.999999973,735412.801627724
2.5,28,735687.999527098,735694.514902974
2.5,30,NaN,NaN
2.5,30,733206.344930266,733210.99946667
2.5,30,733591.850603855,733582.999999949
2.5,30,NaN,NaN
2.5,30,734333.412589309,734309.646254066
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,736500.047266404,736493.676133304
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,32,NaN,NaN
2.5,32,733195.999991085,733219.022365128
2.5,32,733616.083675546,733593.10258152
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,735638.246146022,735698.820934428
2.5,32,NaN,NaN
2.5,32,736507.697199837,736492.525849145
2.5,32,736784.069090517,736819.636521759
2.5,32,737197.400260625,737201.589194009
2.5,35,NaN,NaN
2.5,35,733223.00009733,733215.134534161
2.5,35,733599.630314457,733579.115133981
2.5,35,NaN,NaN
2.5,35,734335.075695577,734307.941709658
2.5,35,NaN,NaN
2.5,35,734928.531846574,734934.423446708
2.5,35,735379.963332216,735411.529241543
2.5,35,735762.000052305,735691.438696282
2.5,35,NaN,NaN
2.5,35,736506.64387157,736492.229261971
2.5,35,NaN,NaN
2.5,35,737227.999999996,737179.549560869
10,1,NaN,NaN
10,1,731370.648178142,731318.81820383
10,1,731814.015185809,731794.365029295
10,1,732113.801055548,732103.325639828
10,1,732491.921389613,732488.565512765
10,1,732870.000022465,732787.823942495
10,1,733201.678634696,733210.223540526
10,1,733609.999999931,733584.524021506
10,1,733934.241544765,733949.999999453
10,1,734338.571439463,734284.641744879
10,1,734654.206709628,NaN
10,1,734928.563003655,735034.196565047
10,1,735415.659039164,735417.902975596
10,1,735699.0000178,735700.295860689
10,1,NaN,NaN
10,1,736499.991327249,736492.654225387
10,1,736831.348444849,736821.999999836
10,1,737199.130023927,737199.040927703
