depth,station,insitu,gldas
2.5,27,732952.233873722,732965.549900167
2.5,27,733298.634957123,733312.39215881
2.5,27,733670.729545214,733702.000022027
2.5,27,734059.325799533,734080.914360202
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,736737.232276716,736660.255012018
2.5,27,736905.639690299,736991.945502169
2.5,27,737334.999278923,737324.356315099
2.5,28,732956.6867727,NaN
2.5,28,NaN,NaN
2.5,28,733649.750566364,733650.999999862
2.5,28,734017.29354139,734143.791985247
2.5,28,NaN,NaN
2.5,28,734837.604834159,734811.000073083
2.5,28,735153.439610905,735181.821379361
2.5,28,735526.999999474,735540.508281784
2.5,28,735808.92050007,735902.219613683
2.5,30,733070.014315091,NaN
2.5,30,733298.690393225,733306.254488382
2.5,30,733696.761106753,733698.999999241
2.5,30,NaN,734028.2200928
2.5,30,734515.000036004,734541.675379761
2.5,30,734803.725195355,734813.441174669
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,735829.656539766,735902.421234822
2.5,30,NaN,NaN
2.5,30,736651.226990695,736648.220873795
2.5,30,NaN,NaN
2.5,30,737257.722992242,737306.99999994
2.5,32,NaN,NaN
2.5,32,733293.288271834,733318.612680963
2.5,32,733707.373176097,733702.999999941
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,734821.395377416,734869.611140382
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,735832.851840433,735906.843953516
2.5,32,NaN,NaN
2.5,32,736630.475047426,736664.672634795
2.5,32,736966,737043.838953665
2.5,32,737274.206902211,737329.508039961
2.5,35,NaN,NaN
2.5,35,733293.435045715,733319.380791798
2.5,35,733694.567967622,733702.695964483
2.5,35,734215.406278074,734149.999999999
2.5,35,734454.999999945,734519.755294778
2.5,35,NaN,NaN
2.5,35,735133.087579502,735238.445684079
2.5,35,735518.274656476,735555.276517905
2.5,35,735823.399337414,735907.229461477
2.5,35,NaN,NaN
2.5,35,736699.456563159,736660.568034353
2.5,35,NaN,NaN
2.5,35,737304.466621532,737329.999999743
10,1,731183.506247964,731206.626856846
10,1,731526.000190024,731510.86882411
10,1,731983.451537908,731892.556328386
10,1,732225.312225481,732332.000009213
10,1,732704.917612503,732657.205846478
10,1,732969.977693083,732965.591017649
10,1,733298.710298803,733313.540725777
10,1,733699.000430641,733701.070934677
10,1,734027.388372192,734136.29914822
10,1,734504.999999937,734547.555008219
10,1,734883.23615572,734818.510606634
10,1,735153.404033727,735246.182880973
10,1,735525.48928994,735544.556072983
10,1,735829.072041703,735903.43154313
10,1,NaN,NaN
10,1,736719.844046589,736655.882287694
10,1,736985.077251496,736984.201563993
10,1,737293.503595924,737329.000179745
