depth,station,insitu,gldas
2.5,27,NaN,NaN
2.5,27,733086.043634407,733083.819689215
2.5,27,733473.000381768,733489.246881521
2.5,27,733871.249522916,733874.628615726
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,736446.343915717,736431.413180996
2.5,27,736754.999941689,736773.379803937
2.5,27,737173.00008633,737171.603710874
2.5,28,NaN,NaN
2.5,28,NaN,NaN
2.5,28,NaN,NaN
2.5,28,733865.746104497,733871.13402371
2.5,28,NaN,NaN
2.5,28,NaN,NaN
2.5,28,734913.549952668,734914.289856773
2.5,28,735258.549031489,735268.99999824
2.5,28,735672.291142506,735644.363383893
2.5,30,NaN,NaN
2.5,30,733073.854119029,733084.7290179
2.5,30,733559.23895135,733530.23075825
2.5,30,NaN,NaN
2.5,30,734260.999775098,734159.676274131
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,736438.8627376,736432.355257134
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,32,NaN,NaN
2.5,32,733094.281368053,733082.00003573
2.5,32,733481.000051016,733483.458393302
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,735630.579551427,735643.999979078
2.5,32,NaN,NaN
2.5,32,736437.070920414,736427.801941947
2.5,32,736758.984081437,736770.457958534
2.5,32,737172.126736055,737167.827123247
2.5,35,NaN,NaN
2.5,35,733081.757933334,733080.999998858
2.5,35,733566.798305102,733481.539514073
2.5,35,NaN,NaN
2.5,35,734246.228103781,734157.999999987
2.5,35,NaN,NaN
2.5,35,734902.170762454,734915.622545411
2.5,35,735367.9354788,735269.999973707
2.5,35,735626.003942969,735645.364738109
2.5,35,NaN,NaN
2.5,35,736439.040758684,736423.474964922
2.5,35,NaN,NaN
2.5,35,737170.267405734,737143.008335956
10,1,NaN,NaN
10,1,731361.508853321,731214.999999553
10,1,731683.864134737,731665.373318029
10,1,732077.646910318,732074.777762918
10,1,732461.45711674,732461.227470326
10,1,732822.76928021,732751.411571958
10,1,733085.816128078,733091.769425443
10,1,733492.49446554,733483.999985503
10,1,733862.199882859,733837.402714063
10,1,734244.271882288,734153.999740369
10,1,734646.277541309,NaN
10,1,734913.49139406,734884.199521777
10,1,735265.659142809,735268.073588314
10,1,735617.987237519,735642.999999831
10,1,NaN,NaN
10,1,736439.843691889,736429.584208448
10,1,736757.999998978,736771.209605242
10,1,737171.520424603,737169.63188173
