depth,station,insitu,gldas
2.5,27,732885.870021344,732889.133926649
2.5,27,733262.286929706,733262.007187163
2.5,27,733612.99220016,733618.366195687
2.5,27,733971.01044873,733993.32432314
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,NaN,NaN
2.5,27,736588.999999637,736601.999999513
2.5,27,736861.701347047,736919.000284254
2.5,27,737257.456904512,737242.080102133
2.5,28,732927.188512482,NaN
2.5,28,NaN,NaN
2.5,28,733555.999947225,733607.39080201
2.5,28,733975.999999923,733994.938939214
2.5,28,NaN,NaN
2.5,28,734774.178791939,734742.999986325
2.5,28,735112.377437065,735097.361580673
2.5,28,735454.586388273,735481.501741828
2.5,28,735779.143274329,735834.506181091
2.5,30,733001.999999903,NaN
2.5,30,733257.238145408,733262.642710546
2.5,30,733623.999961889,733615.863479991
2.5,30,NaN,733994.168889422
2.5,30,734376.113198127,734435.892607043
2.5,30,734739.999999989,734739.908930347
2.5,30,NaN,NaN
2.5,30,NaN,NaN
2.5,30,735784.999970487,735829.604518291
2.5,30,NaN,NaN
2.5,30,736608.426314953,736607.509787384
2.5,30,NaN,NaN
2.5,30,737214.543637967,737209.262633272
2.5,32,NaN,NaN
2.5,32,733250.611910244,733261.019994808
2.5,32,733621.000955437,733620.650363307
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,734740.471929129,734734.999932089
2.5,32,NaN,NaN
2.5,32,NaN,NaN
2.5,32,735771.000274292,735836.823164753
2.5,32,NaN,NaN
2.5,32,736608.347623498,736603.29184846
2.5,32,736844.99999686,736924.776119905
2.5,32,737246.384388175,737256.259372854
2.5,35,NaN,NaN
2.5,35,733252.538838056,733262.620985997
2.5,35,733659.764227815,733613.153529859
2.5,35,734095.001312086,734040.000002773
2.5,35,734389.999999309,734388.652080986
2.5,35,NaN,NaN
2.5,35,735100.380883222,735112.376606985
2.5,35,735448.884686605,735497.253235053
2.5,35,735787.683716828,735841.642323181
2.5,35,NaN,NaN
2.5,35,736621.078531423,736606.547809326
2.5,35,NaN,NaN
2.5,35,737255.629835386,737269.559144424
10,1,731167.766721932,731146.536614542
10,1,731405.999992715,731437.188375237
10,1,731833.457223328,731818.295115764
10,1,732204.999965706,732197.892876499
10,1,732570.202667001,732609.979748306
10,1,732890.999999662,732889.999999986
10,1,733249.589039686,733262.000002497
10,1,733643.472422376,733616.000302751
10,1,733970.999999988,733987.185762654
10,1,734392.999999515,734473.665953001
10,1,734737.999999704,734745.822716415
10,1,735108.417935863,735096.196840636
10,1,735455.999999903,735494.052785278
10,1,735782.923347646,735833.551047885
10,1,NaN,NaN
10,1,736594.999999744,736605.554474868
10,1,736924.9999999,736924.153455424
10,1,737249.999999991,737251.227140035
