depth,station,insitu,GLDAS,residual,WY
5.08,1,67,46,-21,2001
5.08,1,122,122,0,2003
5.08,2,115,12,-103,2005
5.08,2,15,2,-13,2007
5.08,2,7,17,10,2010
5.08,2,231,17,-214,2013
5.08,2,58,120,62,2016
5.08,2,244,18,-226,2017
5.08,2,182,85,-97,2019
5.08,3,7,9,2,2018
5.08,4,28,3,-25,2006
5.08,4,19,24,5,2012
5.08,4,84,125,41,2013
5.08,4,15,35,20,2016
5.08,5,52,12,-40,2001
5.08,5,10,97,87,2001
5.08,5,3,13,10,2003
5.08,5,3,10,7,2004
5.08,5,16,163,147,2005
5.08,9,123,35,-88,2009
5.08,9,84,52,-32,2012
5.08,9,17,18,1,2013
5.08,9,181,35,-146,2015
5.08,9,41,4,-37,2016
5.08,9,35,16,-19,2019
5.08,10,61,25,-36,2009
5.08,10,63,12,-51,2010
5.08,10,67,3,-64,2011
5.08,10,69,42,-27,2013
5.08,10,128,5,-123,2015
5.08,10,160,17,-143,2017
5.08,10,66,70,4,2018
5.08,10,108,16,-92,2019
5.08,11,191,110,-81,2016
5.08,11,59,28,-31,2017
5.08,11,120,171,51,2018
5.08,11,70,54,-16,2019
5.08,11,43,188,145,2020
5.08,12,18,5,-13,2009
5.08,12,120,15,-105,2010
5.08,12,91,2,-89,2013
5.08,12,4,7,3,2014
5.08,12,52,2,-50,2015
5.08,13,31,4,-27,2017
5.08,13,230,33,-197,2018
5.08,13,161,1,-160,2019
5.08,14,92,36,-56,2016
5.08,14,223,16,-207,2017
5.08,14,16,10,-6,2019
5.08,14,118,75,-43,2020
5.08,15,43,142,99,2006
5.08,15,16,9,-7,2007
5.08,15,9,3,-6,2008
5.08,15,25,15,-10,2009
5.08,15,8,6,-2,2013
5.08,17,118,19,-99,2015
5.08,17,202,25,-177,2017
5.08,17,102,200,98,2018
5.08,17,13,7,-6,2019
5.08,21,144,49,-95,2009
5.08,21,136,18,-118,2010
5.08,21,151,64,-87,2011
5.08,21,61,65,4,2012
5.08,21,147,83,-64,2014
5.08,21,104,110,6,2017
5.08,22,149,149,0,2009
5.08,22,244,108,-136,2010
5.08,22,152,147,-5,2011
5.08,22,194,162,-32,2012
5.08,22,101,68,-33,2013
5.08,22,106,42,-64,2014
