depth,station,insitu,GLDAS,residual,WY
5.08,1,-44,-46,-2,2003
5.08,2,-33,126,159,2005
5.08,2,-14,-14,0,2006
5.08,2,-7,-19,-12,2007
5.08,2,-34,-53,-19,2009
5.08,2,-14,-49,-35,2010
5.08,2,-38,-44,-6,2011
5.08,2,-19,88,107,2012
5.08,2,-41,-40,1,2014
5.08,2,-30,-27,3,2015
5.08,2,-19,-20,-1,2017
5.08,2,-110,-51,59,2018
5.08,2,19,103,84,2019
5.08,3,-231,-261,-30,2017
5.08,4,-44,-175,-131,2011
5.08,4,16,-292,-308,2013
5.08,4,-87,-261,-174,2015
5.08,4,-113,-317,-204,2017
5.08,5,62,69,7,2001
5.08,5,85,88,3,2002
5.08,5,24,125,101,2003
5.08,5,35,37,2,2005
5.08,9,124,-169,-293,2009
5.08,9,111,-391,-502,2015
5.08,9,176,-248,-424,2016
5.08,9,-40,-180,-140,2018
5.08,10,-215,-335,-120,2012
5.08,10,-230,-349,-119,2015
5.08,10,-243,-340,-97,2016
5.08,10,-210,-336,-126,2017
5.08,10,-241,-314,-73,2020
5.08,11,-221,-183,38,2017
5.08,11,-203,-211,-8,2018
5.08,11,-122,-157,-35,2020
5.08,12,-234,-126,108,2012
5.08,12,-199,-143,56,2013
5.08,12,-283,-318,-35,2014
5.08,14,-160,-183,-23,2015
5.08,14,-252,-318,-66,2017
5.08,14,-122,-326,-204,2019
5.08,15,-1,-152,-151,2007
5.08,15,-38,-93,-55,2011
5.08,15,4,-36,-40,2012
5.08,15,-83,-75,8,2014
5.08,17,-233,-257,-24,2016
5.08,17,-305,-306,-1,2017
5.08,17,-173,-219,-46,2018
5.08,17,-204,-219,-15,2019
5.08,17,-161,-144,17,2020
5.08,21,188,-185,-373,2011
5.08,21,159,-279,-438,2012
5.08,21,111,-231,-342,2015
5.08,21,-36,-295,-259,2018
5.08,22,-185,-248,-63,2012
5.08,22,-210,-351,-141,2016
5.08,22,-226,-274,-48,2017
5.08,24,90,-37,-127,2014
5.08,25,-163,-160,3,2002
5.08,26,-221,-213,8,2006
5.08,26,-176,-64,112,2007
5.08,26,-231,-155,76,2012
5.08,26,-242,-202,40,2016
5.08,26,-326,-180,146,2018
5.08,27,-214,-282,-68,2012
5.08,27,-239,-346,-107,2015
5.08,27,-369,-222,147,2016
5.08,27,-262,-189,73,2017
5.08,27,-211,-205,6,2019
5.08,28,184,70,-114,2011
5.08,28,99,49,-50,2012
5.08,28,170,-19,-189,2015
5.08,28,63,50,-13,2016
5.08,29,-229,-297,-68,2012
5.08,29,-125,-204,-79,2013
5.08,29,-218,-234,-16,2016
5.08,29,-246,-203,43,2018
5.08,29,-158,-328,-170,2019
5.08,30,171,47,-124,2011
5.08,30,189,-20,-209,2014
5.08,30,181,62,-119,2016
5.08,30,163,144,-19,2017
5.08,31,-198,-357,-159,2015
5.08,31,-276,-292,-16,2017
5.08,31,-218,-317,-99,2020
5.08,33,-213,-179,34,2008
5.08,33,-248,-111,137,2009
5.08,35,-215,-162,53,2011
5.08,35,-229,-155,74,2012
5.08,35,-205,-159,46,2015
5.08,36,-237,-193,44,2012
5.08,36,-275,-277,-2,2014
5.08,36,-247,-322,-75,2016
5.08,36,-227,-223,4,2017
5.08,36,-216,-269,-53,2019
5.08,37,-24,-47,-23,2014
5.08,37,-20,-26,-6,2015
5.08,37,-42,-90,-48,2017
5.08,38,-38,-51,-13,2011
5.08,38,-36,-47,-11,2012
5.08,38,-24,-48,-24,2014
5.08,38,-20,-15,5,2015
5.08,38,-30,-45,-15,2016
5.08,38,-42,-6,36,2017
5.08,38,-36,-38,-2,2018
5.08,38,-6,-63,-57,2019
5.08,39,-38,-51,-13,2011
5.08,39,-24,-22,2,2014
5.08,39,-20,-19,1,2015
5.08,39,-42,-23,19,2017
