depth,station,insitu,GLDAS,residual,WY
5.08,1,-62.890832,87.833126,150.723958,2001
5.08,1,-31,-44.464452,-13.464452,2003
5.08,2,-29,-25.106849,3.893151,2005
5.08,2,-14.023608,-37.319225,-23.295617,2007
5.08,2,-30,-49.914164,-19.914164,2009
5.08,2,-28,-45.521664,-17.521664,2010
5.08,2,-35.462269,-45,-9.537731,2011
5.08,2,-20.111031,12,32.111031,2012
5.08,2,-41,-39.103067,1.896933,2014
5.08,2,-31.395395,-34,-2.604605,2015
5.08,2,-18.749476,-20.999999,-2.250523,2019
5.08,3,-217,-250.74151,-33.74151,2017
5.08,4,51,-278.309003,-329.309003,2012
5.08,4,6,-248.000001,-254.000001,2013
5.08,5,158.363084,71.727217,-86.635867,2001
5.08,5,161.539629,89.344341,-72.195288,2002
5.08,5,10,127.400997,117.400997,2003
5.08,5,88,80.861982,-7.138018,2005
5.08,9,126.999999,-114.18961,-241.189609,2009
5.08,9,202.034625,-212.710797,-414.745422,2010
5.08,9,3,-100.35925,-103.35925,2014
5.08,9,79.999958,-248.404456,-328.404414,2016
5.08,9,226.158415,-305.984289,-532.142704,2017
5.08,10,-206.358342,-258,-51.641658,2009
5.08,10,-209.999991,-287.761068,-77.761077,2010
5.08,10,-221.868583,-333.632452,-111.763869,2012
5.08,10,-127.748477,-334,-206.251523,2013
5.08,10,-244.493872,-349.026277,-104.532405,2015
5.08,10,-194,-340,-146,2016
5.08,10,-211.730107,-291.95374,-80.223633,2018
5.08,10,-236.531948,-313,-76.468052,2020
5.08,11,-234.077847,-211.102119,22.975728,2017
5.08,11,-212.281586,-218.594688,-6.31310199999999,2018
5.08,11,-216.002748,-218,-1.997252,2019
5.08,11,-191.807584,-182.189351,9.618233,2020
5.08,12,-170,-171,-1,2009
5.08,12,-220.000006,-114.063085,105.936921,2010
5.08,12,-227.561362,-137.776278,89.785084,2012
5.08,12,-315,-140,175,2013
5.08,12,-289.381211,-317.264377,-27.883166,2014
5.08,12,-242,-114.518687,127.481313,2015
5.08,14,-147.000001,-182.020407,-35.020406,2015
5.08,14,-215,-299,-84,2017
5.08,14,-218.081892,-96.999916,121.081976,2018
5.08,14,-156,-302.639593,-146.639593,2020
5.08,15,-2,-151.819306,-149.819306,2007
5.08,15,-153,-103,50,2009
5.08,15,-20.000001,-60,-39.999999,2010
5.08,15,-35,-35,0,2012
5.08,17,-304.149857,-305.798655,-1.648798,2017
5.08,17,-197.000001,-219,-21.999999,2018
5.08,17,-178,-195,-17,2020
5.08,21,139.072194,-178.000002,-317.072196,2009
5.08,21,157,-138.69805,-295.69805,2010
5.08,21,151.129599,-176.753925,-327.883524,2011
5.08,21,48.562508,-280.557016,-329.119524,2012
5.08,21,4.297923,-284,-288.297923,2013
5.08,21,-14,-192,-178,2015
5.08,21,152.000054,-330,-482.000054,2016
5.08,21,150.972612,-270.833284,-421.805896,2017
5.08,22,-221.532816,-319.331868,-97.799052,2009
5.08,22,-223.000001,-314.538114,-91.538113,2010
5.08,22,-212.968861,-291.42393,-78.455069,2011
5.08,22,-204.404298,-251.832318,-47.42802,2012
5.08,22,-161.998238,-260.670401,-98.672163,2013
5.08,22,-184.99997,-245.308423,-60.308453,2014
5.08,22,-236.000072,-349.529255,-113.529183,2016
5.08,22,-211.990226,-272.182973,-60.192747,2017
5.08,22,-221.014556,-286,-64.985444,2018
5.08,22,-323.921112,-333,-9.07888800000001,2019
5.08,22,-205.999963,-313,-107.000037,2020
5.08,24,164.727107,159.754017,-4.97308999999998,2013
5.08,24,-10.718143,202.68401,213.402153,2017
5.08,25,-207.314758,-156,51.314758,2002
5.08,25,-151.999059,-132,19.999059,2003
5.08,25,-130.062936,-153.830016,-23.76708,2004
5.08,26,-223.999765,-166.50183,57.497935,2006
5.08,26,-317.550175,-238.524229,79.025946,2007
5.08,26,-173,-329,-156,2009
5.08,26,-215.810648,-284.341088,-68.53044,2010
5.08,26,-211.386944,-107.989504,103.39744,2011
5.08,26,-227.641538,-149.500726,78.140812,2012
5.08,26,-312.774434,-93.229755,219.544679,2013
5.08,26,-266.26008,-316.425069,-50.164989,2014
5.08,26,-214.012604,-189.757737,24.254867,2016
5.08,26,-325.427216,-178,147.427216,2018
5.08,27,-223,-281,-58,2012
5.08,27,-315,-175.424698,139.575302,2013
5.08,27,-234.956046,-260,-25.043954,2015
5.08,27,-370,-219.201188,150.798812,2016
5.08,27,-255.055682,-184.638837,70.416845,2017
5.08,27,-214.531531,-114.327621,100.20391,2018
5.08,27,-212.405642,-154.907493,57.498149,2019
5.08,27,-221.634023,-130.700814,90.933209,2020
5.08,28,148.422402,178.60331,30.180908,2008
5.08,28,140,15,-125,2009
5.08,28,159,58.931711,-100.068289,2011
5.08,28,49.677281,50,0.322718999999999,2012
5.08,28,165.999777,26,-139.999777,2013
5.08,28,81.126543,51,-30.126543,2016
5.08,28,160,47.048448,-112.951552,2017
5.08,29,-233.484919,-283.620336,-50.135417,2012
5.08,29,-188.573314,-112.303475,76.269839,2013
5.08,29,-159.000193,-155.530322,3.46987099999998,2014
5.08,29,-186.000307,-119.196657,66.80365,2015
5.08,29,-232.569516,-202.000012,30.569504,2016
5.08,29,-238.000001,-153.999842,84.000159,2017
5.08,29,-227.79568,-289.42036,-61.62468,2018
5.08,29,-207.313079,-328,-120.686921,2019
5.08,29,-185.468991,-147.88973,37.579261,2020
5.08,30,141.664145,1,-140.664145,2011
5.08,30,3,-10.350482,-13.350482,2015
5.08,30,163.999999,64.210414,-99.789585,2016
5.08,30,150.806252,144.578899,-6.22735299999999,2017
5.08,30,-26,176.941738,202.941738,2018
5.08,30,167.996888,183,15.003112,2019
5.08,31,-228.691523,-163.665955,65.025568,2012
5.08,31,-192.264801,-342,-149.735199,2013
5.08,31,-181.000001,-168.393713,12.606288,2014
5.08,31,-185.973791,-166.648351,19.32544,2016
5.08,31,-272.091728,-296.462865,-24.371137,2017
5.08,31,-235.585008,-231.619872,3.965136,2018
5.08,31,-218.669385,-313.000001,-94.330616,2020
5.08,33,-227,-178,49,2008
5.08,33,-245.666896,-116.00002,129.666876,2009
5.08,35,-317.027954,-168.768622,148.259332,2009
5.08,35,-197.78893,-156.875907,40.913023,2011
5.08,35,-228.483053,-152.107214,76.375839,2012
5.08,35,-231.000001,-158.417479,72.582522,2015
5.08,35,-197,-169.946025,27.053975,2017
5.08,35,-152,-144,8,2019
5.08,35,-312.000108,-148,164.000108,2020
5.08,36,-229,-206.077526,22.922474,2011
5.08,36,-249.125272,-210.283037,38.842235,2012
5.08,36,-282.722126,-277,5.722126,2014
5.08,36,-233.194351,-298.140135,-64.945784,2016
5.08,36,-230.336446,-212.000001,18.336445,2017
5.08,36,-226,-277,-51,2019
5.08,36,-208.790422,-169.961531,38.828891,2020
5.08,37,-23.506914,-45.104072,-21.597158,2014
5.08,37,-18,-15.000076,2.999924,2015
5.08,38,-23.506914,-47,-23.493086,2014
5.08,38,-18,-16,2,2015
5.08,38,-71,-90,-19,2017
5.08,38,-70.928266,-77,-6.07173400000001,2018
5.08,38,-34,-62,-28,2019
5.08,39,-34,-46,-12,2012
5.08,39,-23.506914,-21,2.506914,2014
5.08,39,-18,-15,3,2015
5.08,39,-42.067239,-19,23.067239,2016
5.08,39,-71,-15,56,2017
5.08,39,-34,-35.307909,-1.307909,2019
5.08,40,-255.661058,-254.511254,1.14980399999999,2016
5.08,40,-216.000001,-115.128004,100.871997,2017
5.08,40,-163.00001,-248.873926,-85.873916,2020
5.08,41,109.392277,138.082035,28.689758,2009
5.08,41,154.999999,101.620681,-53.379318,2010
5.08,41,120.796736,124,3.203264,2011
5.08,41,160,156.349956,-3.65004400000001,2012
5.08,42,110.867736,-262,-372.867736,2015
5.08,42,150,-253.664337,-403.664337,2016
5.08,44,-317,-160,157,2009
5.08,44,-206.185314,-154,52.185314,2010
5.08,44,-200.655251,-155,45.655251,2011
5.08,44,-191,-147.077557,43.922443,2012
5.08,44,-251.440989,-155,96.440989,2014
5.08,44,-225,-140,85,2015
5.08,44,-240.193168,-190,50.193168,2016
5.08,47,-57.682183,-251,-193.317817,2009
5.08,47,-51.689911,-201,-149.310089,2011
5.08,48,8.200639,9,0.799360999999999,2017
5.08,48,64.018292,71.551763,7.53347099999999,2019
5.08,49,-213.3835,-302,-88.6165,2002
5.08,49,-240.404465,-277.522669,-37.118204,2003
5.08,49,-231.622601,-243.165496,-11.542895,2004
5.08,49,-206.000001,-257.845044,-51.845043,2005
5.08,49,-233.847423,-253,-19.152577,2006
5.08,49,-258,-285.50463,-27.50463,2007
5.08,50,-227,-243,-16,2009
5.08,50,-242.000001,-278.036874,-36.036873,2010
