depth,station,insitu,GLDAS,residual,WY
5.08,1,199,223,24,2001
5.08,1,142,153,11,2003
5.08,2,229,237,8,2005
5.08,2,189,298,109,2007
5.08,2,235,259,24,2010
5.08,2,33,233,200,2013
5.08,2,170,172,2,2016
5.08,2,57,207,150,2019
5.08,3,-42,-36,6,2018
5.08,4,78,-45,-123,2006
5.08,4,152,-141,-293,2012
5.08,4,216,-163,-379,2013
5.08,4,173,-8,-181,2016
5.08,5,347,246,-101,2001
5.08,5,236,209,-27,2001
5.08,5,332,327,-5,2003
5.08,5,265,257,-8,2004
5.08,5,205,166,-39,2005
5.08,9,154,-127,-281,2009
5.08,9,223,-56,-279,2012
5.08,9,249,34,-215,2013
5.08,9,157,-111,-268,2015
5.08,9,284,18,-266,2016
5.08,9,303,-87,-390,2019
5.08,10,-161,-118,43,2009
5.08,10,-169,-89,80,2010
5.08,10,-146,-62,84,2011
5.08,10,-157,-110,47,2013
5.08,10,-198,3,201,2015
5.08,10,-200,-85,115,2017
5.08,10,-172,-155,17,2018
5.08,10,-162,-77,85,2019
5.08,11,-207,-229,-22,2016
5.08,11,-90,-84,6,2017
5.08,11,-167,-194,-27,2018
5.08,11,-119,-126,-7,2019
5.08,11,-69,-178,-109,2020
5.08,12,-151,-47,104,2009
5.08,12,-194,-76,118,2010
5.08,12,-55,-34,21,2013
5.08,12,-35,-39,-4,2014
5.08,12,-126,-33,93,2015
5.08,13,-178,-64,114,2017
5.08,13,-169,-92,77,2018
5.08,13,-163,-69,94,2019
5.08,14,-67,-62,5,2016
5.08,14,-115,-76,39,2017
5.08,14,13,-68,-81,2019
5.08,14,-16,-66,-50,2020
5.08,15,79,-10,-89,2006
5.08,15,185,38,-147,2007
5.08,15,57,56,-1,2008
5.08,15,76,90,14,2009
5.08,15,81,81,0,2013
5.08,17,-155,-113,42,2015
5.08,17,-206,-94,112,2017
5.08,17,-180,-193,-13,2018
5.08,17,-126,8,134,2019
5.08,21,148,-151,-299,2009
5.08,21,168,-110,-278,2010
5.08,21,180,-121,-301,2011
5.08,21,224,-97,-321,2012
5.08,21,189,-144,-333,2014
5.08,21,156,-170,-326,2017
5.08,22,-205,-162,43,2009
5.08,22,-232,-128,104,2010
5.08,22,-203,-159,44,2011
5.08,22,-194,-151,43,2012
5.08,22,-159,-143,16,2013
5.08,22,-156,-109,47,2014
5.08,22,-220,-138,82,2017
5.08,22,-198,-147,51,2018
5.08,22,-87,-132,-45,2019
5.08,22,-206,-114,92,2020
5.08,24,214,236,22,2012
5.08,24,183,107,-76,2014
5.08,24,234,220,-14,2015
5.08,25,-163,-104,59,2002
5.08,25,-115,-50,65,2003
