depth,station,insitu,GLDAS,residual,WY
5.08,1,188.445464,225.025879,36.580415,2001
5.08,1,148,155.997023,7.99702300000001,2003
5.08,2,176.544102,237.009693,60.465591,2005
5.08,2,72.677961,151.582728,78.904767,2009
5.08,2,233.999995,258.937544,24.937549,2010
5.08,2,76,232.537762,156.537762,2013
5.08,2,50.798324,218.017668,167.219344,2014
5.08,2,169,189.733695,20.733695,2016
5.08,2,52,203.714728,151.714728,2017
5.08,2,106.259784,194.569717,88.309933,2019
5.08,3,-194,-66,128,2016
5.08,3,-43,-37.578892,5.421108,2018
5.08,4,32.237079,-45.869477,-78.106556,2006
5.08,4,98.222264,-15.291754,-113.514018,2009
5.08,4,150.999974,-141.608212,-292.608186,2012
5.08,4,218,-127.500144,-345.500144,2013
5.08,4,60.000098,14.442249,-45.557849,2014
5.08,4,88.860097,2,-86.860097,2016
5.08,5,242,245.194694,3.194694,2001
5.08,5,216.000001,243.612613,27.612612,2001
5.08,5,331,325,-6,2003
5.08,5,203.97731,187.989569,-15.987741,2005
5.08,9,193.644075,-128.809601,-322.453676,2009
5.08,9,279.000131,-157.856536,-436.856667,2010
5.08,9,232.148912,-77.032607,-309.181519,2012
5.08,9,249.327245,31.999753,-217.327492,2013
5.08,9,181.333807,-113.454899,-294.788706,2015
5.08,9,200.260954,17.007396,-183.253558,2016
5.08,9,405.999999,-166.510056,-572.510055,2018
5.08,9,303.998422,-122.999995,-426.998417,2019
5.08,10,-156.88884,-120.254419,36.634421,2009
5.08,10,-160.391442,-89.211326,71.180116,2010
5.08,10,-142.000005,-66.080598,75.919407,2011
5.08,10,-151,-105.911132,45.088868,2013
5.08,10,-173.869801,2.988537,176.858338,2015
5.08,10,-140.675093,-63,77.675093,2016
5.08,10,-155.823252,-86.288479,69.534773,2017
5.08,10,-149.072639,-150.12719,-1.054551,2018
5.08,10,-164.999956,-117.354618,47.645338,2020
5.08,11,-186.566119,-224,-37.433881,2016
5.08,11,-84.000403,-82.311698,1.688705,2017
5.08,11,-161.999998,-160,1.99999800000001,2018
5.08,11,-124.799862,-127.000177,-2.20031499999999,2019
5.08,11,-66.489108,-148,-81.510892,2020
5.08,12,-150,-90,60,2008
5.08,12,-152.106065,-47.868417,104.237648,2009
5.08,12,-184.493905,-79.000001,105.493904,2010
5.08,12,-151,-20.440488,130.559512,2011
5.08,12,-194.023278,-35.000001,159.023277,2012
5.08,12,-36.177953,-39.956428,-3.778475,2014
5.08,13,-181,-65.251797,115.748203,2017
5.08,13,-138,-94,44,2018
5.08,14,-64.263838,-56.713519,7.55031900000001,2016
5.08,14,-60.808511,-74.157866,-13.349355,2017
5.08,14,-66.406505,-63.463987,2.94251799999999,2018
5.08,14,-10.460531,-41.548082,-31.087551,2020
5.08,15,79.000734,25,-54.000734,2006
5.08,15,181.060323,36.080223,-144.9801,2007
5.08,15,56.236452,54.494747,-1.741705,2008
5.08,15,75.090058,89.429436,14.339378,2009
5.08,15,-15.999997,-1.999879,14.000118,2011
5.08,15,80.737442,80.291214,-0.446228000000005,2013
5.08,15,58.289055,17,-41.289055,2014
5.08,17,-145.44988,-113.033218,32.416662,2015
5.08,17,-175.829025,-46.614081,129.214944,2016
5.08,17,-170.297981,-96.871801,73.42618,2017
5.08,17,-164,-163.000476,0.999524000000008,2018
5.08,17,-128,7,135,2019
5.08,17,-148.000002,-133.920334,14.079668,2020
5.08,21,164,-155.447223,-319.447223,2009
5.08,21,180.728448,-113,-293.728448,2010
5.08,21,209,-119.14285,-328.14285,2011
5.08,21,228.999928,-70.816773,-299.816701,2012
5.08,21,202.266776,-146.000001,-348.266777,2014
5.08,21,193,-146.00001,-339.00001,2016
5.08,21,179.483844,-154.232096,-333.71594,2017
5.08,21,201.615857,-130.147205,-331.763062,2019
