depth,station,sig_type,insitu,GLDAS,residual
5.08,1,amplitude,0.028078,0.029086,0.001008
5.08,1,phaseshift,-0.078036,-0.356713,-0.278677
5.08,2,amplitude,0.017836,0.016497,-0.001339
5.08,2,phaseshift,1.005213,0.067368,-0.937845
5.08,3,amplitude,0.048135,0.065746,0.017611
5.08,3,phaseshift,-1.369703,-1.555493,-0.18579
5.08,4,amplitude,0.006357,0.013138,0.006781
5.08,4,phaseshift,1.072378,-1.266014,-2.338392
5.08,5,amplitude,0.008248,0.050038,0.04179
5.08,5,phaseshift,-0.959656,-1.191156,-0.2315
5.08,9,amplitude,0.026209,0.04119,0.014981
5.08,9,phaseshift,-1.045823,-1.350355,-0.304532
5.08,10,amplitude,0.100097,0.034969,-0.065128
5.08,10,phaseshift,-1.220753,-1.541275,-0.320522
5.08,11,amplitude,0.065859,0.0579,-0.007959
5.08,11,phaseshift,-1.405675,-1.338361,0.067314
5.08,12,amplitude,0.070566,0.039728,-0.030838
5.08,12,phaseshift,-1.193701,-2.633465,-1.439764
5.08,13,amplitude,0.064907,0.018105,-0.046802
5.08,13,phaseshift,-1.595836,-1.973176,-0.37734
5.08,14,amplitude,0.022654,0.031887,0.009233
5.08,14,phaseshift,-2.878048,-2.391118,0.48693
5.08,15,amplitude,0.015217,0.005013,-0.010204
5.08,15,phaseshift,1.782401,1.815396,0.032995
5.08,17,amplitude,0.043471,0.025083,-0.018388
5.08,17,phaseshift,-1.344748,-1.820085,-0.475337
5.08,19,amplitude,0.057284,0.058009,0.000725
5.08,19,phaseshift,-1.143593,0.018974,1.162567
5.08,21,amplitude,0.061899,0.0407,-0.021199
5.08,21,phaseshift,-1.0962,-1.269415,-0.173215
5.08,22,amplitude,0.103868,0.047552,-0.056316
5.08,22,phaseshift,-1.207467,-1.374594,-0.167127
5.08,24,amplitude,0.030188,0.008065,-0.022123
5.08,24,phaseshift,-0.575097,-0.582867,-0.00777
5.08,25,amplitude,0.053937,0.047348,-0.006589
5.08,25,phaseshift,-1.38918,-2.443426,-1.054246
5.08,26,amplitude,0.060191,0.043582,-0.016609
5.08,26,phaseshift,-1.344043,-2.15118,-0.807137
5.08,27,amplitude,0.085525,0.038311,-0.047214
5.08,27,phaseshift,-1.205307,-1.603224,-0.397917
5.08,28,amplitude,0.061506,0.02892,-0.032586
5.08,28,phaseshift,-1.026181,-1.082753,-0.056572
5.08,29,amplitude,0.103758,0.061855,-0.041903
5.08,29,phaseshift,-1.318329,-1.453787,-0.135458
5.08,30,amplitude,0.062942,0.01345,-0.049492
5.08,30,phaseshift,-1.112079,-0.929124,0.182955
5.08,31,amplitude,0.080002,0.054271,-0.025731
5.08,31,phaseshift,-1.158203,-1.527727,-0.369524
5.08,33,amplitude,0.018917,0.042979,0.024062
5.08,33,phaseshift,-1.591336,-2.95335,-1.362014
5.08,35,amplitude,0.051009,0.027106,-0.023903
5.08,35,phaseshift,-1.382118,-2.6962,-1.314082
5.08,36,amplitude,0.083313,0.056504,-0.026809
5.08,36,phaseshift,-1.241351,-1.244526,-0.003175
5.08,37,amplitude,0.033433,0.006233,-0.0272
5.08,37,phaseshift,0.742192,0.833303,0.091111
5.08,38,amplitude,0.033433,0.014751,-0.018682
5.08,38,phaseshift,0.742192,0.563362,-0.17883
5.08,39,amplitude,0.033433,0.019604,-0.013829
5.08,39,phaseshift,0.742192,0.042092,-0.7001
5.08,40,amplitude,0.02518,0.030727,0.005547
5.08,40,phaseshift,-1.37,-1.378767,-0.008767
5.08,41,amplitude,0.050969,0.057036,0.006067
5.08,41,phaseshift,-1.111004,-0.938791,0.172213
5.08,42,amplitude,0.021855,0.039765,0.01791
5.08,42,phaseshift,-1.184869,-1.251439,-0.06657
5.08,44,amplitude,0.041566,0.032667,-0.008899
5.08,44,phaseshift,-1.692381,-2.823971,-1.13159
5.08,46,amplitude,0.008687,0.010059,0.001372
5.08,46,phaseshift,2.343826,-1.07734,-3.421166
5.08,47,amplitude,0.016061,0.007152,-0.008909
5.08,47,phaseshift,1.950221,2.987084,1.036863
5.08,48,amplitude,0.028179,0.018634,-0.009545
5.08,48,phaseshift,1.044876,0.327966,-0.71691
5.08,49,amplitude,0.089251,0.071461,-0.01779
5.08,49,phaseshift,-1.167045,-1.24732,-0.080275
5.08,50,amplitude,0.094738,0.067682,-0.027056
