depth,station,sig_type,insitu,GLDAS,residual
10,1,seasontrans_sdate_wet2dry_p,226.2243,-119.448057,-345.672357
10,1,seasontrans_sdate_wet2dry_p,184.466738,NaN,NaN
10,1,seasontrans_sdate_wet2dry_p,190.589011,-130.025521,-320.614532
10,1,seasontrans_sdate_wet2dry_p,190.514317,-112.715795,-303.230112
10,1,seasontrans_sdate_wet2dry_p,NaN,-127.671128,NaN
10,1,seasontrans_sdate_wet2dry_p,153,NaN,NaN
10,1,seasontrans_sdate_wet2dry_p,180.997569,-92.999921,-273.99749
10,1,seasontrans_sdate_wet2dry_p,162.04219,-114.000434,-276.042624
10,1,seasontrans_sdate_wet2dry_p,184.345616,-106.999597,-291.345213
10,1,seasontrans_sdate_wet2dry_p,163.555759,-132.009947,-295.565706
10,1,seasontrans_sdate_wet2dry_p,181.862143,-69.999133,-251.861276
10,1,seasontrans_sdate_wet2dry_p,180.000034,-125.768169,-305.768203
10,1,seasontrans_sdate_wet2dry_p,173.000006,-104.581539,-277.581545
10,1,seasontrans_sdate_wet2dry_p,160.000012,-132.944247,-292.944259
10,1,seasontrans_sdate_wet2dry_p,162.812576,-136.92044,-299.733016
10,1,seasontrans_sdate_wet2dry_p,162.351321,-81.968148,-244.319469
10,1,seasontrans_sdate_wet2dry_p,209.812196,-145.755144,-355.56734
10,1,seasontrans_sdate_wet2dry_p,191.304929,-113.000011,-304.30494
10,1,seasontrans_sdate_wet2dry_l,226,-122,-348
10,1,seasontrans_sdate_wet2dry_l,155,NaN,NaN
10,1,seasontrans_sdate_wet2dry_l,158,-149,-307
10,1,seasontrans_sdate_wet2dry_l,172,-129,-301
10,1,seasontrans_sdate_wet2dry_l,NaN,-128,NaN
10,1,seasontrans_sdate_wet2dry_l,NaN,NaN,NaN
10,1,seasontrans_sdate_wet2dry_l,183,-94,-277
10,1,seasontrans_sdate_wet2dry_l,126,-51,-177
10,1,seasontrans_sdate_wet2dry_l,173,-166,-339
10,1,seasontrans_sdate_wet2dry_l,139,-135,-274
10,1,seasontrans_sdate_wet2dry_l,179,-78,-257
10,1,seasontrans_sdate_wet2dry_l,175,-124,-299
10,1,seasontrans_sdate_wet2dry_l,162,-106,-268
10,1,seasontrans_sdate_wet2dry_l,142,-139,-281
10,1,seasontrans_sdate_wet2dry_l,129,NaN,NaN
10,1,seasontrans_sdate_wet2dry_l,150,-80,-230
10,1,seasontrans_sdate_wet2dry_l,205,-142,-347
10,1,seasontrans_sdate_wet2dry_l,154,-111,-265
10,1,seasontrans_edate_wet2dry_p,55.964502,-249.365083,-305.329585
10,1,seasontrans_edate_wet2dry_p,77.00015,NaN,NaN
10,1,seasontrans_edate_wet2dry_p,26.491109,-246.74745,-273.238559
10,1,seasontrans_edate_wet2dry_p,15.609188,-273.186256,-288.795444
10,1,seasontrans_edate_wet2dry_p,NaN,-290.683505,NaN
10,1,seasontrans_edate_wet2dry_p,142.966222,NaN,NaN
10,1,seasontrans_edate_wet2dry_p,41.382818,-219.129536,-260.512354
