depth,station,insitu,GLDAS,residual,WY
5,1,171,1,-170,2014
5,1,147,112,-35,2015
5,1,153,76,-77,2016
5,1,212,21,-191,2018
5,2,78,58,-20,2011
5,2,189,159,-30,2012
5,2,93,131,38,2013
5,2,177,238,61,2014
5,2,178,182,4,2018
5,3,78,88,10,2012
5,3,9,77,68,2013
5,3,82,9,-73,2014
5,3,100,84,-16,2015
5,3,197,93,-104,2016
5,3,2,177,175,2018
5,4,121,209,88,2014
5,4,177,38,-139,2015
5,5,78,3,-75,2011
5,5,215,173,-42,2016
5,6,9,13,4,2011
5,6,6,4,-2,2014
5,6,10,1,-9,2017
5,6,71,28,-43,2018
5,7,145,23,-122,2010
5,7,1,1,0,2011
5,7,141,25,-116,2012
5,7,27,1,-26,2013
5,7,149,1,-148,2014
5,7,93,10,-83,2015
5,7,121,57,-64,2016
5,8,4,10,6,2016
5,10,33,31,-2,2010
5,10,74,16,-58,2016
5,10,31,19,-12,2017
5,11,36,2,-34,2011
5,11,135,83,-52,2012
5,11,101,49,-52,2014
5,11,63,61,-2,2015
5,11,155,144,-11,2016
5,11,129,139,10,2017
5,11,140,147,7,2018
5,12,44,2,-42,2014
5,12,1,48,47,2015
5,12,1,1,0,2018
5,13,3,3,0,2013
5,13,36,50,14,2014
5,13,88,14,-74,2016
5,13,73,40,-33,2017
5,13,101,1,-100,2018
5,14,221,1,-220,2011
5,14,92,34,-58,2012
5,14,81,242,161,2014
5,14,104,249,145,2016
5,15,95,127,32,2012
5,15,167,2,-165,2013
5,15,102,1,-101,2014
5,15,113,10,-103,2015
5,15,122,50,-72,2016
5,15,12,13,1,2018
5,16,86,2,-84,2010
5,16,7,28,21,2011
5,16,51,1,-50,2014
5,16,43,159,116,2016
5,17,1,46,45,2010
5,17,5,94,89,2015
5,18,167,1,-166,2010
5,18,128,219,91,2011
5,18,211,172,-39,2013
5,19,1,1,0,2011
5,19,1,117,116,2014
5,20,180,14,-166,2011
5,20,141,243,102,2013
5,20,93,99,6,2014
5,20,83,108,25,2015
5,20,125,46,-79,2016
5,20,87,54,-33,2017
5,20,81,236,155,2018
5,21,84,122,38,2015
5,22,3,1,-2,2009
5,22,1,1,0,2011
5,22,1,2,1,2015
5,22,140,2,-138,2018
5,23,165,119,-46,2011
5,23,169,130,-39,2012
5,23,87,28,-59,2014
5,23,70,122,52,2015
5,23,86,34,-52,2017
5,24,4,50,46,2011
5,24,4,1,-3,2013
5,24,25,6,-19,2014
5,24,1,77,76,2018
5,25,1,49,48,2011
5,25,143,3,-140,2012
5,25,7,200,193,2013
5,25,245,66,-179,2017
5,26,7,9,2,2013
5,26,5,1,-4,2014
5,26,2,2,0,2015
5,26,35,1,-34,2016
5,26,56,71,15,2018
5,27,177,137,-40,2012
5,27,161,180,19,2015
5,27,243,174,-69,2016
5,27,185,69,-116,2017
5,28,59,110,51,2011
5,28,178,116,-62,2012
5,28,237,94,-143,2013
5,28,187,139,-48,2015
5,28,185,85,-100,2017
5,29,1,1,0,2014
5,29,8,2,-6,2016
5,29,2,7,5,2018
10,1,107,59,-48,2009
10,1,245,8,-237,2014
10,1,100,77,-23,2015
10,1,231,57,-174,2016
10,1,163,9,-154,2018
