depth,station,insitu,GLDAS,residual,WY
5,1,127.902751,100.573383,-27.329368,2011
5,1,182.660995,186.362913,3.70191799999998,2012
5,1,123.743606,78.890052,-44.853554,2015
5,1,64.558361,75.435253,10.876892,2016
5,1,9.398643,118.972721,109.574078,2017
5,1,66.649346,60.265147,-6.384199,2018
5,2,80.844447,55.640057,-25.20439,2011
5,2,152.447012,128.981612,-23.4654,2012
5,2,72.601862,56.488145,-16.113717,2013
5,2,117.622188,6.283468,-111.33872,2014
5,2,193.814578,161.999999,-31.814579,2016
5,2,164.999998,41.512589,-123.487409,2017
5,2,140.8793,138.418701,-2.460599,2018
5,3,60.367751,65.088129,4.720378,2012
5,3,15.19779,118.478551,103.280761,2013
5,3,83.925506,9.397477,-74.528029,2014
5,3,85.887717,66.729302,-19.158415,2015
5,3,140.850859,78.636801,-62.214058,2016
5,3,96.579788,165.691472,69.111684,2017
5,3,15.067556,169.60686,154.539304,2018
5,4,173.136225,28.800602,-144.335623,2011
5,4,155.386921,87.059992,-68.326929,2012
5,4,143.244876,125.322294,-17.922582,2013
5,4,68.04805,7.957263,-60.090787,2014
5,4,123.922302,31.125037,-92.797265,2015
5,4,205.67287,185.181798,-20.491072,2016
5,4,142.686913,103.361446,-39.325467,2017
5,5,60.249801,11.911387,-48.338414,2011
5,5,151.323135,102.628183,-48.694952,2012
5,5,219.000326,12.854991,-206.145335,2013
5,5,219.006052,204.374145,-14.631907,2014
5,5,134.332055,25.657065,-108.67499,2015
5,5,68.706748,139.260748,70.554,2016
5,5,163.005643,17.000059,-146.005584,2018
5,6,7.610149,14.187912,6.577763,2011
5,6,5.67558,7.104498,1.428918,2014
5,6,7.148176,95.899834,88.751658,2015
5,6,73.347237,109.756872,36.409635,2016
5,6,19.885183,14.196954,-5.688229,2017
5,6,45.659938,28.679411,-16.980527,2018
5,7,103.104709,20.707181,-82.397528,2010
5,7,18.981691,5.847218,-13.134473,2011
5,7,96.791628,21.950827,-74.840801,2012
5,7,14.390171,8.131779,-6.258392,2013
5,7,118.448454,10.022318,-108.426136,2014
5,7,138.548421,13.324168,-125.224253,2015
5,7,98.886284,45.061205,-53.825079,2016
5,7,3.899392,11.345381,7.445989,2018
5,8,7.224925,19.402423,12.177498,2016
5,10,28.683759,4.794371,-23.889388,2010
5,10,28.398102,4.913386,-23.484716,2015
5,10,82.28085,19.199675,-63.081175,2016
5,10,24.082781,17.599648,-6.483133,2017
5,11,93.999999,16.546341,-77.453658,2011
5,11,102.266476,91.251785,-11.014691,2012
5,11,165.997853,17.179509,-148.818344,2013
5,11,81.666917,45.651899,-36.015018,2014
5,11,50.938571,62.014351,11.07578,2015
5,11,117.071049,128.40273,11.331681,2016
5,11,119.781197,128.655896,8.87469900000001,2017
5,11,105.929306,124.768176,18.83887,2018
5,12,6.354872,60.016741,53.661869,2012
5,12,5.203347,42.832033,37.628686,2015
5,13,7.314035,5.382033,-1.932002,2011
5,13,36.381746,49.277185,12.895439,2014
5,13,13.560788,3.957809,-9.602979,2018
5,14,29.143316,18.962405,-10.180911,2011
5,14,69.930694,30.287306,-39.643388,2012
5,14,196.96373,178.007346,-18.956384,2013
5,14,60.757885,26.527929,-34.229956,2014
5,14,77.644532,187.000002,109.35547,2016
5,14,86.03503,192.000423,105.965393,2017
5,14,148.424154,193.999998,45.575844,2018
5,15,72.456557,25.958245,-46.498312,2012
5,15,161.608171,125.486787,-36.121384,2013
5,15,83.153766,51.922728,-31.231038,2014
5,15,56.062793,12.806595,-43.256198,2015
5,15,104.414938,130.214077,25.799139,2016
5,15,81.868438,73.295464,-8.572974,2017
5,15,34.421118,10.365965,-24.055153,2018
5,16,101.891695,17.919948,-83.971747,2010
5,16,96.2273,3.626347,-92.600953,2011
5,16,30.569268,61.312901,30.743633,2012
