depth,station,insitu,GLDAS,residual,WY
5,1,88,37,-51,2011
5,1,138,102,-36,2012
5,1,129,92,-37,2016
5,1,14,161,147,2017
5,1,30,54,24,2018
5,2,168,146,-22,2011
5,2,135,228,93,2012
5,2,186,78,-108,2013
5,2,58,162,104,2016
5,2,113,127,14,2017
5,2,155,217,62,2018
5,3,146,138,-8,2011
5,3,176,169,-7,2012
5,3,62,106,44,2013
5,3,80,70,-10,2015
5,3,73,153,80,2016
5,3,101,157,56,2017
5,3,28,67,39,2018
5,4,151,201,50,2011
5,4,129,196,67,2012
5,4,98,123,25,2013
5,4,70,13,-57,2014
5,4,201,65,-136,2015
5,4,165,151,-14,2016
5,4,188,203,15,2017
5,5,30,82,52,2011
5,5,139,51,-88,2012
5,5,194,79,-115,2013
5,5,220,8,-212,2014
5,5,188,24,-164,2015
5,5,102,144,42,2016
5,5,102,25,-77,2017
5,5,167,114,-53,2018
5,6,113,44,-69,2011
5,6,170,38,-132,2012
5,6,46,24,-22,2017
5,7,66,35,-31,2009
5,7,68,122,54,2010
5,7,32,49,17,2011
5,7,98,183,85,2012
5,7,117,48,-69,2013
5,7,16,12,-4,2014
5,7,199,173,-26,2015
5,7,74,206,132,2016
5,7,18,38,20,2017
5,8,18,107,89,2011
5,8,57,28,-29,2013
5,8,34,24,-10,2016
5,9,18,49,31,2011
5,9,57,2,-55,2013
5,10,5,25,20,2010
5,10,65,109,44,2014
5,10,19,18,-1,2015
5,10,30,9,-21,2016
5,10,72,175,103,2017
5,11,203,95,-108,2012
5,11,159,90,-69,2013
5,11,162,24,-138,2017
5,12,50,80,30,2011
5,12,25,33,8,2012
5,12,45,23,-22,2018
5,13,51,26,-25,2011
5,13,38,46,8,2015
5,14,145,115,-30,2011
5,14,112,152,40,2013
5,14,92,14,-78,2014
5,14,185,198,13,2016
5,14,144,188,44,2017
5,15,48,4,-44,2011
5,15,149,53,-96,2012
5,15,90,87,-3,2013
5,15,164,26,-138,2014
5,15,155,163,8,2015
5,15,119,97,-22,2016
5,15,51,38,-13,2017
5,15,179,179,0,2018
5,16,22,63,41,2009
5,16,89,13,-76,2011
5,16,23,14,-9,2012
5,16,116,20,-96,2014
5,16,86,67,-19,2016
5,16,17,80,63,2017
5,16,177,184,7,2018
5,17,23,25,2,2012
5,17,27,85,58,2013
5,17,33,53,20,2015
5,17,12,20,8,2016
5,17,12,12,0,2018
5,18,174,18,-156,2010
5,18,86,88,2,2011
5,18,48,62,14,2012
5,18,223,98,-125,2016
5,18,20,57,37,2017
5,18,81,142,61,2018
5,19,167,234,67,2010
5,19,13,75,62,2011
5,19,8,12,4,2012
5,19,19,85,66,2015
5,19,26,50,24,2017
5,19,62,169,107,2018
5,20,218,115,-103,2011
5,20,115,62,-53,2012
5,20,184,132,-52,2013
5,20,188,217,29,2016
5,21,33,34,1,2013
5,21,84,22,-62,2014
5,21,37,249,212,2015
5,21,26,10,-16,2016
5,21,20,60,40,2017
5,21,60,64,4,2018
5,22,10,10,0,2011
5,22,151,21,-130,2014
5,23,143,95,-48,2012
5,23,112,78,-34,2013
5,23,202,36,-166,2018
5,24,11,39,28,2011
5,24,119,44,-75,2013
5,24,13,5,-8,2014
5,24,40,44,4,2015
5,24,54,85,31,2016
5,24,109,5,-104,2018
5,25,23,49,26,2011
5,25,26,8,-18,2012
5,25,18,141,123,2013
5,25,78,28,-50,2015
5,25,222,59,-163,2016
5,25,42,51,9,2017
5,26,118,14,-104,2010
5,26,93,74,-19,2011
5,26,99,34,-65,2012
5,26,13,154,141,2014
5,26,38,18,-20,2015
5,26,91,33,-58,2016
5,26,24,20,-4,2017
5,26,50,15,-35,2018
5,27,186,46,-140,2010
5,27,16,9,-7,2014
5,27,25,204,179,2015
5,27,97,77,-20,2016
5,27,143,127,-16,2017
5,28,16,30,14,2010
5,28,3,100,97,2012
5,28,7,38,31,2013
5,28,16,40,24,2014
5,28,19,16,-3,2015
5,28,90,71,-19,2016
5,28,142,104,-38,2017
5,29,77,135,58,2011
5,29,28,29,1,2014
5,29,21,197,176,2015
5,29,29,51,22,2016
5,29,15,21,6,2018
10,1,68,39,-29,2009
10,1,68,126,58,2010
10,1,120,132,12,2011
10,1,20,48,28,2012
10,1,71,67,-4,2013
10,1,154,55,-99,2016
10,1,87,98,11,2017
10,1,143,71,-72,2018
