depth,station,insitu,GLDAS,residual,WY
5,1,74.717851,36.991596,-37.726255,2011
5,1,105.174787,43.614251,-61.560536,2012
5,1,22.228932,14.813642,-7.41529,2014
5,1,20.860596,43.887669,23.027073,2015
5,1,55.554597,103.952991,48.398394,2016
5,1,18.31176,36.369598,18.057838,2017
5,1,29.24412,52.259758,23.015638,2018
5,2,132.397844,100.527862,-31.869982,2011
5,2,105.993091,152.688325,46.695234,2012
5,2,41.563758,70.999991,29.436233,2013
5,2,164.731387,20.385856,-144.345531,2014
5,2,161.999991,82.570277,-79.429714,2015
5,2,11.064027,136.479798,125.415771,2016
5,2,100.539891,113.165045,12.625154,2017
5,2,70.183219,166.215179,96.03196,2018
5,3,132.292305,112.178265,-20.11404,2011
5,3,160.458586,162.64472,2.18613400000001,2012
5,3,66.998258,99.218539,32.220281,2013
5,3,215.999836,24.733106,-191.26673,2014
5,3,69.634871,150.433501,80.79863,2015
5,3,41.106044,100.939084,59.83304,2016
5,3,43.759789,122.476463,78.716674,2017
5,3,31.149225,122.467489,91.318264,2018
5,4,75.507835,104.464475,28.95664,2011
5,4,67.444141,78.973569,11.529428,2012
5,4,66.32742,90.070859,23.743439,2013
5,4,52.141584,12.290737,-39.850847,2014
5,4,130.547194,62.884516,-67.662678,2015
5,4,130.06907,134.469292,4.40022199999999,2016
5,4,133.630796,171.53356,37.902764,2017
5,5,26.538543,68.235344,41.696801,2011
5,5,101.314513,47.262708,-54.051805,2012
5,5,138.77863,57.557969,-81.220661,2013
5,5,53.344431,8.290836,-45.053595,2014
5,5,129.48428,21.754496,-107.729784,2015
5,5,49.598769,93.390097,43.791328,2016
5,5,85.913796,17.865997,-68.047799,2017
5,5,131.814576,95.196969,-36.617607,2018
5,6,106.814264,40.389776,-66.424488,2011
5,6,102.876043,37.614249,-65.261794,2012
5,6,154.432526,25.668092,-128.764434,2013
5,6,42.143925,43.822596,1.67867099999999,2014
5,6,137.675111,89.515317,-48.159794,2015
5,6,125.23469,92.279403,-32.955287,2016
5,6,46.488743,31.542062,-14.946681,2017
5,7,50.715192,27.569917,-23.145275,2009
5,7,64.878235,40.83425,-24.043985,2010
5,7,24.193535,27.486246,3.292711,2011
5,7,62.560161,33.634294,-28.925867,2012
5,7,87.547843,37.739387,-49.808456,2013
5,7,17.147777,14.320751,-2.827026,2014
5,7,165.459669,43.347386,-122.112283,2015
5,7,56.201967,40.562513,-15.639454,2016
5,7,20.973989,13.399993,-7.573996,2017
5,7,49.830667,43.514036,-6.316631,2018
5,8,20.104411,3.87191,-16.232501,2011
5,8,29.13075,25.441535,-3.689215,2016
5,9,20.09931,43.301205,23.201895,2011
5,10,6.987954,20.001533,13.013579,2010
5,10,12.645196,27.456867,14.811671,2014
5,10,17.382208,15.815561,-1.566647,2015
5,10,32.299661,9.788878,-22.510783,2016
5,10,4.182626,4.729896,0.54727,2017
5,11,193.32265,63.511491,-129.811159,2011
5,11,175.092685,67.746154,-107.346531,2012
5,11,108.491253,93.304991,-15.186262,2013
5,11,181.340191,111.525134,-69.815057,2014
5,11,219.992388,87.130282,-132.862106,2015
5,11,161.175402,188.59619,27.420788,2016
5,11,123.041475,44.132334,-78.909141,2017
5,11,151.399017,16.561151,-134.837866,2018
5,12,6.495507,46.640971,40.145464,2009
5,12,9.355912,66.740163,57.384251,2011
5,12,7.03173,24.606398,17.574668,2014
5,12,152.333508,9.941143,-142.392365,2015
5,12,54.780692,26.236101,-28.544591,2018
5,13,22.727815,102.696195,79.96838,2010
5,13,46.001428,22.184623,-23.816805,2011
5,13,29.57946,38.275158,8.695698,2012
5,13,16.646035,55.750439,39.104404,2013
5,13,8.262934,34.563417,26.300483,2014
5,13,40.498789,49.433631,8.934842,2015
5,13,6.824556,37.079032,30.254476,2016
5,13,44.905218,15.960259,-28.944959,2017
5,13,8.407035,136.907747,128.500712,2018
5,14,46.364018,29.769844,-16.594174,2011
5,14,28.969805,10.509478,-18.460327,2012
5,14,69.477226,131.731994,62.254768,2013
5,14,61.103825,15.279655,-45.82417,2014
5,14,16.288267,167.985094,151.696827,2016
5,14,8.780826,157.053646,148.27282,2017
5,14,6.005927,16.23247,10.226543,2018
5,15,43.895568,3.781025,-40.114543,2011
5,15,126.312396,50.68156,-75.630836,2012
5,15,93.069011,9.016311,-84.0527,2013
5,15,127.276005,24.161052,-103.114953,2014
5,15,133.119172,11.834835,-121.284337,2015
5,15,96.872598,54.555181,-42.317417,2016
5,15,50.804292,18.175771,-32.628521,2017
5,15,133.352484,28.180958,-105.171526,2018
5,16,21.677687,49.776495,28.098808,2009
5,16,200.107719,13.01955,-187.088169,2010
5,16,79.009886,15.124505,-63.885381,2011
5,16,23.578992,16.373273,-7.205719,2012
5,16,43.958987,20.929984,-23.029003,2014
5,16,71.521069,32.009714,-39.511355,2015
5,16,67.909518,61.418666,-6.490852,2016
5,16,55.73851,12.971826,-42.766684,2017
5,16,18.437617,158.133775,139.696158,2018
5,17,15.476474,72.840684,57.36421,2010
5,17,27.877429,28.066651,0.189222000000001,2012
5,17,27.76203,75.476655,47.714625,2013
5,17,7.024038,60.402779,53.378741,2015
5,17,11.980123,23.397389,11.417266,2016
5,17,10.962153,17.894213,6.93206,2018
5,18,127.390053,16.71043,-110.679623,2010
5,18,75.00005,69.696254,-5.30379600000001,2011
5,18,27.14963,61.238936,34.089306,2012
5,18,160.405741,91.565119,-68.840622,2013
5,18,76.559684,23.661512,-52.898172,2014
5,18,166.132438,74.00016,-92.132278,2015
5,18,159.164587,65.480263,-93.684324,2016
5,18,14.568768,42.649689,28.080921,2017
5,18,58.81605,98.960992,40.144942,2018
5,19,140.219844,79.158295,-61.061549,2010
5,19,13.253605,84.743011,71.489406,2011
5,19,10.33119,14.194711,3.863521,2012
5,19,22.309961,16.823163,-5.486798,2015
5,19,30.165395,56.720625,26.55523,2017
5,19,39.389892,34.863525,-4.526367,2018
5,20,156.174024,108.029627,-48.144397,2011
5,20,53.590963,50.807841,-2.783122,2012
5,20,136.386909,104.302745,-32.084164,2013
5,20,25.61931,166.552184,140.932874,2014
5,20,189.089133,141.287401,-47.801732,2015
5,20,159.638101,128.00175,-31.636351,2016
5,20,5.732625,66.483774,60.751149,2017
5,20,189.599819,72.571066,-117.028753,2018
5,21,4.873501,16.938026,12.064525,2011
5,21,11.533794,30.891472,19.357678,2013
5,21,74.289977,22.85881,-51.431167,2014
5,21,13.112433,154.219032,141.106599,2015
5,21,26.26754,9.938,-16.32954,2016
5,21,4.664051,13.52106,8.857009,2017
5,21,38.897228,52.845011,13.947783,2018
5,22,43.904431,10.205468,-33.698963,2009
5,22,10.453249,11.22403,0.770781000000001,2011
5,22,9.511871,26.625899,17.114028,2014
5,22,6.643287,19.780308,13.137021,2015
5,22,11.551225,29.84772,18.296495,2018
5,23,210.720018,73.840194,-136.879824,2009
5,23,164.465255,40.405477,-124.059778,2010
5,23,224.876967,34.630824,-190.246143,2011
5,23,31.515288,65.943006,34.427718,2012
5,23,72.450998,64.796259,-7.65473899999999,2013
5,23,195.981644,19.936104,-176.04554,2014
5,23,205.647275,149.23844,-56.408835,2015
5,23,145.659958,79.073867,-66.586091,2016
5,23,160.89857,117.736993,-43.161577,2017
5,23,144.563268,92.603541,-51.959727,2018
5,24,14.225627,30.199165,15.973538,2011
5,24,149.36559,50.407242,-98.958348,2013
5,24,13.087252,5.227048,-7.860204,2014
5,24,48.925379,55.297563,6.372184,2015
5,24,26.145016,20.598603,-5.546413,2016
5,24,84.778004,71.029732,-13.748272,2018
5,25,21.569599,42.798273,21.228674,2011
5,25,3.579924,29.042373,25.462449,2012
5,25,5.342742,118.910982,113.56824,2013
5,25,46.283843,28.89752,-17.386323,2014
5,25,15.000001,27.277309,12.277308,2015
5,25,164.159476,67.01537,-97.144106,2016
5,25,22.753382,14.432598,-8.320784,2017
5,26,120.437532,14.54039,-105.897142,2010
5,26,101.286211,68.887331,-32.39888,2011
5,26,93.829235,31.905174,-61.924061,2012
5,26,157.995947,61.951963,-96.043984,2013
5,26,12.748103,73.038228,60.290125,2014
5,26,40.952132,15.118409,-25.833723,2015
5,26,83.277906,39.682153,-43.595753,2016
5,26,27.305753,22.147164,-5.158589,2017
5,26,33.388036,14.29604,-19.091996,2018
5,27,12.07251,15.922612,3.850102,2010
5,27,57.140515,30.795518,-26.344997,2011
5,27,14.507791,41.467715,26.959924,2012
5,27,6.013847,9.569268,3.555421,2014
5,27,25.831323,35.090347,9.259024,2015
5,27,29.708568,60.873179,31.164611,2016
5,27,15.159393,68.285478,53.126085,2017
5,28,13.157609,18.393847,5.236238,2010
5,28,34.211701,217.162668,182.950967,2011
