depth,station,insitu,GLDAS,residual,WY
5,1,-259.881583,67.492558,327.374141,2011
5,1,-237.825213,64.864342,302.689555,2012
5,1,-339.506096,57.6366,397.142696,2014
5,1,-334.13882,50.493704,384.632524,2015
5,1,-314.445392,118,432.445392,2016
5,1,-236.690328,87.369598,324.059926,2017
5,1,148.244266,144.123907,-4.12035900000001,2018
5,2,-235.602157,-255.218413,-19.616256,2011
5,2,-232.803931,-191.342037,41.461894,2012
5,2,-317.436242,-232.000009,85.436233,2013
5,2,-212.268613,-224.293315,-12.024702,2014
5,2,-195,-207.55231,-12.55231,2015
5,2,-320.29124,-224.405818,95.885422,2016
5,2,-212.198367,-200.834955,11.363412,2017
5,2,179.590192,181.215363,1.62517099999999,2018
5,3,-212.720749,-187.821735,24.899014,2011
5,3,-192.541803,-191.35531,1.18649299999998,2012
5,3,-236.999752,-204.196786,32.802966,2013
5,3,-163.00007,-219.145062,-56.144992,2014
5,3,-198.313254,-177.958215,20.355039,2015
5,3,-238.854026,-238.226827,0.627199000000019,2016
5,3,-207.239934,-200.523537,6.716397,2017
5,3,154.393058,186.467488,32.07443,2018
5,4,-261.32544,-203.535525,57.789915,2011
5,4,-268.506366,-178.000002,90.506364,2012
5,4,-248.67258,-235,13.67258,2013
5,4,-299.657093,-222.442882,77.214211,2014
5,4,-212.452687,-210.437531,2.01515599999999,2015
5,4,-200.930924,-207.516039,-6.585115,2016
5,4,-192.369204,-181.466436,10.902768,2017
5,5,-311.032682,-262.467009,48.565673,2011
5,5,-235.685487,-234.4857,1.19978699999999,2012
5,5,-228.997202,-246.105565,-17.108363,2013
5,5,-309.655569,-218.506428,91.149141,2014
5,5,-226.515734,-232.602708,-6.086974,2015
5,5,-305.548163,-271.197917,34.350246,2016
5,5,-233.821974,-253.134003,-19.312029,2017
5,5,163.02328,168.518698,5.495418,2018
5,6,66.176374,33.999569,-32.176805,2011
5,6,98.961314,65.506265,-33.455049,2012
5,6,112.000106,70.66809,-41.332016,2013
5,6,-75.814479,90.822596,166.637075,2014
5,6,63.675111,107.51473,43.839619,2015
5,6,93.669567,78.315548,-15.354019,2016
5,6,88.792022,71.891685,-16.900337,2017
5,7,-254.080804,-270.430084,-16.34928,2009
5,7,-249.121769,-267.165979,-18.04421,2010
5,7,-285.541683,-252.513741,33.027942,2011
5,7,-266.773026,-294.468979,-27.695953,2012
5,7,-245.4522,-265.260614,-19.808414,2013
5,7,-303.220935,-313.583867,-10.362932,2014
5,7,-218.760537,-281.652612,-62.892075,2015
5,7,-276.275735,-297.077384,-20.801649,2016
5,7,-280.734046,-346.010426,-65.27638,2017
5,7,89.31417,80.443246,-8.870924,2018
5,8,-87.696804,-290.760934,-203.06413,2011
5,8,-136.86925,-237.165663,-100.296413,2016
5,9,-87.698549,-243.55136,-155.852811,2011
5,10,-193.003592,-192.243152,0.760439999999988,2010
5,10,-221.354804,-217.007156,4.34764799999999,2014
5,10,-241.617792,-243.184439,-1.56664699999999,2015
5,10,-217.866746,-237.814066,-19.94732,2016
5,10,-205.521798,-215.508451,-9.98665300000002,2017
5,11,-172.67735,-257.999996,-85.322646,2011
5,11,-202.730314,-302.589637,-99.859323,2012
5,11,-227.913395,-242.695009,-14.781614,2013
5,11,-197.395938,-267.954142,-70.558204,2014
5,11,-168.007609,-274.380356,-106.372747,2015
5,11,-182.203137,-187.40381,-5.20067299999999,2016
5,11,-174.571855,-266.612922,-92.041067,2017
5,11,179.999187,91.40108,-88.598107,2018
5,12,-269.530906,-237.060771,32.470135,2009
5,12,-315.501077,-217.299763,98.201314,2011
5,12,-321.428542,-217,104.428542,2014
5,12,-93.340499,-260.058857,-166.718358,2015
5,12,233,204.69575,-28.30425,2018
5,13,-106.406946,-36.303807,70.103139,2010
5,13,38.001259,47.530487,9.529228,2011
5,13,-93.42022,-99.724871,-6.30465099999999,2012
5,13,-116.196104,-81.249561,34.946543,2013
5,13,-115.721523,66.002422,181.723945,2014
5,13,22.49879,47.606273,25.107483,2015
5,13,-106.290515,61.666175,167.95669,2016
5,13,-58.149566,64.475683,122.625249,2017
5,13,-82.592985,96.969934,179.562919,2018
5,14,-203.276562,-216.381561,-13.104999,2011
5,14,-287.181184,-211.555933,75.625251,2012
5,14,-239.872082,-212.268006,27.604076,2013
5,14,-301.098629,-221.727641,79.370988,2014
5,14,-299.330497,-202.251828,97.078669,2016
5,14,-273.442479,-173.946347,99.496132,2017
5,14,82.005927,62.23247,-19.773457,2018
5,15,-248.57236,80.61683,329.18919,2011
5,15,-235.071516,31.377935,266.449451,2012
5,15,-236.399529,43.768718,280.168247,2013
5,15,-224.723665,34.637985,259.36165,2014
5,15,-236.247848,58.834616,295.082464,2015
5,15,-249.774145,102.792737,352.566882,2016
5,15,-258.681517,24.566252,283.247769,2017
5,15,157.22101,80.740949,-76.480061,2018
5,16,134.696793,-270.223505,-404.920298,2009
5,16,160.999989,-165.492617,-326.492606,2010
5,16,124.009885,-270.487834,-394.497719,2011
5,16,90.578995,-306.752232,-397.331227,2012
5,16,34.399998,-305.313591,-339.713589,2014
5,16,77.485563,-308.590163,-386.075726,2015
5,16,87.909518,-280.081458,-367.990976,2016
5,16,110.736345,-296.625297,-407.361642,2017
5,16,67.497133,194.826754,127.329621,2018
5,17,-114.523526,87.842013,202.365539,2010
5,17,-88.454318,33.424417,121.878735,2012
5,17,-14.750172,41.518044,56.268216,2013
5,17,-41.95638,30.404091,72.360471,2015
5,17,9.380062,21.398728,12.018666,2016
5,17,-79.037847,-69.440288,9.597559,2018
5,18,139.607353,-235.868183,-375.475536,2010
5,18,118,-251.634709,-369.634709,2011
5,18,120.619496,-234.508157,-355.127653,2012
5,18,153,-218.075154,-371.075154,2013
5,18,79.559712,-296.338488,-375.8982,2014
5,18,147.132438,-231.99984,-379.132278,2015
5,18,142.164582,-258.299842,-400.464424,2016
5,18,106.568768,-242.093971,-348.662739,2017
5,18,174.065642,167.960992,-6.10464999999999,2018
5,19,78.538986,-18.620963,-97.159949,2010
5,19,-2.262322,72.000003,74.262325,2011
5,19,-97.436194,58.708632,156.144826,2012
5,19,9.29335,-80.643865,-89.937215,2015
5,19,-82.258841,-54.279375,27.979466,2017
5,19,-57.133123,-61.13662,-4.003497,2018
5,20,-202.673093,-209.337756,-6.66466300000002,2011
5,20,-281.2182,-290.234143,-9.01594299999999,2012
5,20,-234.613095,-249.697255,-15.08416,2013
5,20,-339.38069,-222.447816,116.932874,2014
5,20,-187.000001,-239.432072,-52.432071,2015
5,20,-198,-237.659359,-39.659359,2016
5,20,-357.267375,-274.25647,83.010905,2017
5,20,209.128419,100,-109.128419,2018
5,21,-174.32832,-304.655037,-130.326717,2011
5,21,-276.092821,-299.108353,-23.015532,2013
5,21,-173.22328,-304.901291,-131.678011,2014
5,21,-234.04351,-217.00025,17.04326,2015
5,21,-226.655231,-235.408756,-8.75352500000002,2016
5,21,-240.78919,-236.478358,4.310832,2017
5,21,259.184979,172.904268,-86.280711,2018
5,22,-208.095569,-272.710167,-64.614598,2009
5,22,-264.307951,-282.8752,-18.567249,2011
5,22,-225.106148,-219.485837,5.62031099999999,2014
5,22,-236.312365,-237.219692,-0.907327000000009,2015
5,22,149,80.84762,-68.15238,2018
5,23,-182.279982,-198.611672,-16.33169,2009
5,23,-172.564461,-203.447307,-30.882846,2010
5,23,-147.123033,-251.197602,-104.074569,2011
5,23,-309.089484,-275.121619,33.967865,2012
5,23,-231.947154,-234.805235,-2.858081,2013
5,23,-189.018353,-222.635209,-33.616856,2014
5,23,-187.686729,-198.345687,-10.658958,2015
5,23,-197,-207.124687,-10.124687,2016
5,23,-149.506232,-197.078606,-47.572374,2017
5,23,173.777708,170.99999,-2.77771799999999,2018
