depth,station,insitu,GLDAS,residual,WY
5,1,-99,169,268,2013
5,1,-233,143,376,2014
5,1,-168,195,363,2015
5,1,-175,253,428,2016
5,1,-154,316,470,2018
5,2,-124,-93,31,2011
5,2,-195,-155,40,2012
5,2,-124,-137,-13,2013
5,2,-188,-217,-29,2014
5,2,-153,-158,-5,2018
5,3,-142,-143,-1,2012
5,3,-19,-82,-63,2013
5,3,-168,-113,55,2014
5,3,-162,-133,29,2015
5,3,-182,-96,86,2016
5,3,-85,-152,-67,2018
5,4,-168,-202,-34,2014
5,4,-157,-125,32,2015
5,5,-175,-134,41,2011
5,5,-205,-177,28,2016
5,6,135,130,-5,2011
5,6,138,136,-2,2014
5,6,137,137,0,2017
5,6,98,294,196,2018
5,7,-178,-137,41,2010
5,7,-100,-105,-5,2011
5,7,-169,-85,84,2012
5,7,-122,-88,34,2013
5,7,-189,-76,113,2014
5,7,-143,-65,78,2015
5,7,-131,-108,23,2016
5,8,35,-39,-74,2016
5,9,80,-62,-142,2012
5,9,51,-31,-82,2014
5,9,35,-32,-67,2016
5,10,-103,-12,91,2010
5,10,34,-147,-181,2013
5,10,-100,-26,74,2016
5,10,-57,-56,1,2017
5,11,-64,-46,18,2011
5,11,-161,-129,32,2012
5,11,-168,-132,36,2014
5,11,-130,-126,4,2015
5,11,-183,-163,20,2016
5,11,-180,-165,15,2017
5,11,-161,-146,15,2018
5,12,-166,-19,147,2010
5,12,-78,-19,59,2012
5,12,-87,-130,-43,2014
5,12,-119,-164,-45,2015
5,12,-119,-103,16,2016
5,12,-131,-129,2,2018
5,13,146,157,11,2011
5,13,155,134,-21,2013
5,13,126,119,-7,2014
5,13,53,167,114,2016
5,13,74,86,12,2017
5,13,78,119,41,2018
5,14,-171,-143,28,2011
5,14,-155,-124,31,2012
5,14,-134,-212,-78,2014
5,14,-130,-116,14,2015
5,14,-84,-209,-125,2016
5,15,-158,183,341,2012
5,15,-173,276,449,2013
5,15,-155,257,412,2014
5,15,-174,253,427,2015
5,15,-153,291,444,2016
5,15,-90,277,367,2018
5,16,204,-74,-278,2010
5,16,262,-23,-285,2011
5,16,137,-87,-224,2013
5,16,243,-76,-319,2014
5,16,288,-149,-437,2016
5,17,110,64,-46,2010
5,17,153,176,23,2014
5,17,214,161,-53,2015
5,18,173,-119,-292,2010
5,18,173,-196,-369,2011
5,18,129,-175,-304,2013
5,19,210,145,-65,2011
5,19,94,72,-22,2014
5,20,-175,-50,125,2011
5,20,-158,-204,-46,2013
5,20,-146,-157,-11,2014
5,20,-135,-163,-28,2015
5,20,-153,-86,67,2016
5,20,-130,-119,11,2017
5,20,-123,-149,-26,2018
5,21,-157,-150,7,2015
5,22,-120,-163,-43,2009
5,22,-91,-61,30,2010
5,22,-77,-134,-57,2011
5,22,-100,-61,39,2012
5,22,-119,-118,1,2015
5,22,-165,-131,34,2018
5,23,-194,-90,104,2011
5,23,-158,-131,27,2012
5,23,-167,-123,44,2014
5,23,-120,-138,-18,2015
5,23,-173,-136,37,2017
5,24,148,120,-28,2010
5,24,156,115,-41,2011
5,24,139,134,-5,2013
5,24,122,136,14,2014
5,24,187,92,-95,2018
5,25,-135,-95,40,2011
5,25,-151,-133,18,2012
5,25,-147,-181,-34,2013
5,25,-174,-170,4,2017
5,26,147,162,15,2010
5,26,136,135,-1,2013
5,26,139,138,-1,2014
5,26,131,134,3,2015
5,26,102,132,30,2016
5,26,101,85,-16,2018
5,27,-153,-150,3,2012
5,27,-173,-170,3,2015
5,27,-208,-179,29,2016
5,27,-144,-84,60,2017
5,28,-149,-149,0,2011
5,28,-153,-149,4,2012
5,28,-192,-95,97,2013
5,28,-186,-180,6,2015
5,28,-144,-92,52,2017
5,29,166,166,0,2014
5,29,159,309,150,2016
5,29,143,221,78,2018
10,1,-149,-179,-30,2009
10,1,-221,-26,195,2014
10,1,-156,-160,-4,2015
10,1,-219,-72,147,2016
10,1,-166,-137,29,2018
