depth,station,insitu,GLDAS,residual,WY
5,1,-73,329.556952,402.556952,2011
5,1,-166.660926,164.637087,331.298013,2012
5,1,-89.400127,227.942476,317.342603,2013
5,1,-150.743606,206.25539,356.998996,2015
5,1,-97.558361,251.004314,348.562675,2016
5,1,-220.398643,271,491.398643,2017
5,1,-97.649179,282.734861,380.38404,2018
5,2,-125.388592,-91.64011,33.748482,2011
5,2,-178.854529,-128.477905,50.376624,2012
5,2,-106.212501,-74.292997,31.919504,2013
5,2,-144.62343,-147.283468,-2.66003799999999,2014
5,2,-206.944628,-172.999999,33.944629,2016
5,2,-193.999998,-119.679551,74.320447,2017
5,2,-150.501639,-158.000114,-7.49847499999998,2018
5,3,-132.666688,-129.187036,3.47965199999999,2012
5,3,-22.296454,-63.682668,-41.386214,2013
5,3,-168.00013,-114.317785,53.682345,2014
5,3,-155.315238,-124.470208,30.84503,2015
5,3,-166.624822,-82.676341,83.948481,2016
5,3,-156.103527,-133.691472,22.412055,2017
5,3,-91.870085,-149.002317,-57.132232,2018
5,4,-161.160994,-142.061345,19.099649,2011
5,4,-146.999906,-74.999927,71.999979,2012
5,4,-115.235152,-92.3181,22.917052,2013
5,4,-125.329283,-146.957264,-21.627981,2014
5,4,-126.547392,-122.881791,3.665601,2015
5,4,-177.331493,-181.00001,-3.66851700000001,2016
5,4,-119.819337,-121.781467,-1.96213,2017
5,5,-165.665169,-139.299946,26.365223,2011
5,5,-135.316726,-53.30026,82.016466,2012
5,5,-235.000326,-165.388032,69.612294,2013
5,5,-237.006197,-218.000022,19.006175,2014
5,5,-131.46209,-124.125498,7.336592,2015
5,5,-101.584886,-162.260748,-60.675862,2016
5,5,-146.999997,-144.000059,2.99993800000001,2018
5,6,135.389851,129.812088,-5.577763,2011
5,6,137.671206,133.895502,-3.77570400000002,2014
5,6,124.851824,121.100166,-3.75165799999999,2015
5,6,100.909074,206.000055,105.090981,2016
5,6,129.114817,131.104896,1.99007900000001,2017
5,6,109.501168,292.829383,183.328215,2018
5,7,-153.104709,-137.686331,15.418378,2010
5,7,-112.475268,-108.25109,4.22417799999999,2011
5,7,-146.791628,-83.045321,63.746307,2012
5,7,-109.390171,-93.131779,16.258392,2013
5,7,-176.448454,-82.371136,94.077318,2014
5,7,-186.000328,-68.324168,117.67616,2015
5,7,-123.886284,-99.825632,24.060652,2016
5,7,-223.579903,-84.623502,138.956401,2018
5,8,52,-50.201912,-102.201912,2014
5,8,33.602336,-46.487999,-80.090335,2016
5,9,127.999993,-47,-174.999993,2012
5,9,52.729364,-53.999957,-106.729321,2014
5,9,33.668177,-44.7393,-78.407477,2016
5,10,-99.551103,9.829279,109.380382,2010
5,10,18.641771,-148.588831,-167.230602,2013
5,10,-137.398102,-139.913386,-2.51528400000001,2015
5,10,-108.28085,-30.199675,78.081175,2016
5,10,-54.180998,-56.05762,-1.876622,2017
5,11,-115,-58.109865,56.890135,2011
5,11,-143.220715,-138.251797,4.968918,2012
5,11,-200.997935,-155.179509,45.818426,2013
5,11,-155.502518,-128.698807,26.803711,2014
5,11,-123.656884,-130,-6.34311599999999,2015
5,11,-165.632487,-163.00136,2.63112699999999,2016
5,11,-167.443136,-163.28724,4.15589600000001,2017
5,11,-147.929414,-135.950757,11.978657,2018
5,12,-119.302302,-17.346595,101.955707,2010
5,12,-82.354873,-18.767395,63.587478,2012
5,12,-122.203347,-157.832033,-35.628686,2015
