depth,station,insitu,GLDAS,residual,WY
5,1,-151.599433,-151.499038,0.100394999999992,2011
5,1,-160,-160.749909,-0.749909000000002,2012
5,1,-178.735028,-139.177042,39.557986,2014
5,1,-171.999416,-175.393966,-3.39455000000001,2015
5,1,-186.999989,-167.952991,19.046998,2016
5,1,-72.002087,-131,-58.997913,2017
5,1,302.000146,274.864149,-27.135997,2018
5,2,-185,-172.746275,12.253725,2011
5,2,-155.797021,-161.030362,-5.233341,2012
5,2,-176,-120.000001,55.999999,2013
5,2,-194,-61.679171,132.320829,2014
5,2,-173.999991,-107.122587,66.877404,2015
5,2,-148.355267,-177.885616,-29.530349,2016
5,2,-129.738258,-131,-1.261742,2017
5,2,292.406974,198.000185,-94.406789,2018
5,3,-162.013054,-117,45.013054,2011
5,3,-170.000389,-171.00003,-0.999640999999997,2012
5,3,-120.99801,-120.415325,0.582684999999998,2013
5,3,-195.999906,-60.878167,135.121739,2014
5,3,-84.948125,-145.391716,-60.443591,2015
5,3,-96.96007,-156.165911,-59.205841,2016
5,3,-67.999722,-140,-72.000278,2017
5,3,306.243833,246.999999,-59.243834,2018
5,4,-153.833275,-125,28.833275,2011
5,4,-152.950507,-73.973571,78.976936,2012
5,4,-132,-142.070859,-10.070859,2013
5,4,-168.798677,-51.73362,117.065057,2014
5,4,-159.999881,-90.322047,69.677834,2015
5,4,-147.999994,-158.985331,-10.985337,2016
5,4,-143,-169.999996,-26.999996,2017
5,5,-154.571225,-147.702354,6.86887099999998,2011
5,5,-154,-98.748409,55.251591,2012
5,5,-184.775831,-120.663533,64.112298,2013
5,5,-180,-43.797264,136.202736,2014
5,5,-173.000014,-71.357204,101.64281,2015
5,5,-172.146931,-181.588014,-9.44108299999999,2016
5,5,-136.73577,-88,48.73577,2017
5,5,214.208704,256.321729,42.113025,2018
5,6,142.362109,176.609793,34.247684,2011
5,6,179.085271,210.892016,31.806745,2012
5,6,140.56758,227.999998,87.432418,2013
5,6,65.041596,230,164.958404,2014
5,6,109,200.999413,91.999413,2015
5,6,151.434877,169.036145,17.601268,2016
5,6,225.303278,223.349624,-1.953654,2017
5,7,-121.795997,-115,6.795997,2009
5,7,-131.000004,-125.000229,5.99977499999999,2010
5,7,-126.735218,-96.999987,29.735231,2011
5,7,-146.333188,-145.103274,1.22991400000001,2012
5,7,-150.000043,-120,30.000043,2013
5,7,-137.368713,-144.904618,-7.53590499999999,2014
5,7,-201.220207,-141.999998,59.220209,2015
5,7,-149.477701,-154.639897,-5.16219599999999,2016
5,7,-118.708034,-176.410419,-57.702385,2017
5,7,222.483502,219.92921,-2.55429199999998,2018
5,8,75.198785,-111.632845,-186.83163,2011
5,8,17,-79.607199,-96.607199,2016
5,9,75.202141,-103.852565,-179.054706,2011
5,10,-16.991546,-29.244685,-12.253139,2010
5,10,-51,-61.464023,-10.464023,2014
5,10,-76,-76,0,2015
5,10,-67.166407,-64.602944,2.56346300000001,2016
5,10,-26.704423,-37.238347,-10.533924,2017
5,11,-183,-138.511488,44.488512,2011
5,11,-194.823,-187.335791,7.48720900000001,2012
5,11,-153.404647,-153,0.404647000000011,2013
5,11,-195.736129,-196.479276,-0.743146999999993,2014
5,11,-204.999998,-178.510638,26.48936,2015
5,11,-160.378539,-193,-32.621461,2016
5,11,-114.613329,-127.745256,-13.131927,2017
5,11,211.60017,257.839929,46.239759,2018
5,12,-93.026413,-100.701741,-7.67532799999999,2009
5,12,-141.856989,-101.039926,40.817063,2011
5,12,-145.460271,-58.606398,86.853873,2014
5,12,-62.674008,-87,-24.325992,2015
5,12,361.219308,361.459649,0.240341000000001,2018
5,13,53.865239,43.999998,-9.865241,2010
5,13,174.999831,208.345865,33.346034,2011
5,13,60.00032,44.999971,-15.000349,2012
5,13,50.157861,46,-4.157861,2013
5,13,59.015543,214.439005,155.423462,2014
5,13,165.000001,181.172642,16.172641,2015
5,13,69.88493,207.587143,137.702213,2016
5,13,79.945216,231.515424,151.570208,2017
5,13,91.999981,143.062187,51.062206,2018
5,14,-66.64058,-63.151405,3.489175,2011
5,14,-133.150989,-39.065411,94.085578,2012
5,14,-126.349308,-161,-34.650692,2013
5,14,-179.202455,-54.007296,125.195159,2014
5,14,-132.618764,-187.236921,-54.618157,2016
5,14,-99.223305,-147.999993,-48.776688,2017
5,14,259,229,-30,2018
5,15,-109.467928,259.835805,369.303733,2011
5,15,-178.383912,163.696375,342.080287,2012
5,15,-146.46854,217.752407,364.220947,2013
5,15,-168.99967,193.476933,362.476603,2014
5,15,-186.367021,229.999781,416.366802,2015
5,15,-163.646743,231.237556,394.884299,2016
5,15,-126.485808,189.390481,315.876289,2017
5,15,206.868525,235.559991,28.691466,2018
5,16,296.019106,-137,-433.019106,2009
5,16,143.89227,4.487834,-139.404436,2010
5,16,227.999999,-102.612339,-330.612338,2011
5,16,250.000003,-140.125506,-390.125509,2012
5,16,173.441012,-143.243575,-316.684587,2014
5,16,188.964494,-157.599878,-346.564372,2015
5,16,203,-158.500124,-361.500124,2016
5,16,237.997835,-126.597123,-364.594958,2017
5,16,232.059516,219.692979,-12.366537,2018
5,17,53,198.001329,145.001329,2010
5,17,66.668253,188.357766,121.689513,2012
5,17,140.487798,149.041389,8.55359100000001,2013
5,17,134.019583,153.001312,18.981729,2015
5,17,180.399939,181.001339,0.601400000000012,2016
5,17,93,95.6655,2.66549999999999,2018
5,18,195.217301,-69.578613,-264.795914,2010
5,18,225.99995,-138.330963,-364.330913,2011
5,18,276.469865,-112.747093,-389.216958,2012
5,18,175.594259,-126.640274,-302.234533,2013
5,18,186.000028,-137,-323.000028,2014
5,18,164,-123,-287,2015
5,18,165.999995,-140.780105,-306.7801,2016
5,18,275,-101.743659,-376.743659,2017
5,18,298.249592,252,-46.249592,2018
5,19,121.319142,85.220742,-36.0984,2010
5,19,167.484073,170.256993,2.77292,2011
5,19,75.232616,227.513921,152.281305,2012
5,19,169.983389,85.532972,-84.450417,2015
5,19,70.575764,72,1.42423599999999,2017
5,19,86.476985,86.999855,0.522869999999998,2018
5,20,-175.847118,-134.367384,41.479734,2011
5,20,-151.809163,-158.041984,-6.232821,2012
5,20,-188.000004,-171,17.000004,2013
5,20,-182,-206,-24,2014
5,20,-193.089135,-197.719472,-4.630337,2015
5,20,-174.638101,-182.66111,-8.023009,2016
5,20,-180,-157.740244,22.259756,2017
5,20,202.5286,210.428934,7.90033399999999,2018
5,21,3.798179,-138.593063,-142.391242,2011
5,21,-104.626615,-146.999825,-42.37321,2013
5,21,-64.513257,-144.760101,-80.246844,2014
5,21,-64.155943,-188.219283,-124.06334,2015
5,21,-69.922772,-62.346756,7.576016,2016
5,21,-62.453241,-66.999418,-4.54617700000001,2017
5,21,403.287751,303.059257,-100.228494,2018
5,22,-69,-99.915635,-30.915635,2009
5,22,-91.7612,-111.09923,-19.33803,2011
5,22,-51.61802,-63.111736,-11.493716,2014
5,22,-59.955652,-74,-14.044348,2015
5,22,320.448775,233.9999,-86.448875,2018
5,23,-210,-89.451866,120.548134,2009
5,23,-154.029717,-60.852784,93.176933,2010
5,23,-189,-102.828427,86.171573,2011
5,23,-157.604772,-158.064625,-0.45985300000001,2012
5,23,-121.398152,-116.601494,4.79665799999999,2013
5,23,-201.999997,-59.571313,142.428684,2014
5,23,-210.334005,-164.584127,45.749878,2015
5,23,-159.659958,-103.198553,56.461405,2016
5,23,-127.404801,-131.815599,-4.41079799999999,2017
5,23,212.21444,261.396449,49.182009,2018
5,24,204.00966,208.240322,4.230662,2011
5,24,132.634155,173.582237,40.948082,2013
5,24,218.358334,300.701014,82.34268,2014
5,24,169.818425,169.042204,-0.776220999999993,2015
5,24,198.178641,212.526389,14.347748,2016
5,24,163,224.999977,61.999977,2018
5,25,-55,-89.700544,-34.700544,2011
5,25,-38,-60.516329,-22.516329,2012
5,25,-72.342746,-125.992036,-53.64929,2013
5,25,-46,-147,-101,2014
5,25,-91.000001,-85.195509,5.804492,2015
5,25,-148,-93.046489,54.953511,2016
5,25,-14.753382,-80,-65.246618,2017
5,26,160.999947,169.965531,8.96558400000001,2010
5,26,179.059793,139,-40.059793,2011
5,26,185.700576,204.537207,18.836631,2012
5,26,135.003913,147.613163,12.60925,2013
5,26,226.600252,182.000004,-44.600248,2014
5,26,173.448028,184.412793,10.964765,2015
5,26,176.000158,180.000003,3.99984499999999,2016
5,26,224,218.273058,-5.72694200000001,2017
5,26,224.000082,226.402483,2.402401,2018
5,27,-122.613587,-39.289702,83.323885,2010
5,27,-56.999289,-152.550379,-95.55109,2011
5,27,-45.282541,-127.965816,-82.683275,2012
5,27,-126.042367,-110.753526,15.288841,2014
5,27,-156.468384,-148,8.46838399999999,2015
5,27,-141.077071,-142.095131,-1.01806000000002,2016
5,27,-112.325336,-112.999923,-0.674587000000002,2017
5,28,-123.047636,-41.280909,81.766727,2010
5,28,-53.728228,-175.162511,-121.434283,2011
5,28,-38,-35,3,2012
5,28,-84.10583,-148,-63.89417,2013
5,28,-125.760482,-126.065894,-0.305412000000004,2014
5,28,-148.593587,-152,-3.40641299999999,2015
5,28,-141.204135,-139.23265,1.971485,2016
5,28,-113.082108,-111,2.08210800000001,2017
5,29,199.99993,140.406957,-59.592973,2011
5,29,213.00371,113,-100.00371,2013
5,29,228.690353,221.999999,-6.69035399999999,2014
5,29,190.341945,184.95662,-5.38532500000002,2015
5,29,212.945409,219.999998,7.05458899999999,2016
5,29,229.017441,222.663518,-6.35392299999998,2018
10,1,-154.55359,-128.254128,26.299462,2009
10,1,-146.311508,-69.999909,76.311599,2010
10,1,-136.459244,-129.271724,7.18752000000001,2011
10,1,-110.323449,-99.921621,10.401828,2012
10,1,-120,-97.583167,22.416833,2013
10,1,-174.000081,-59.423198,114.576883,2014
10,1,-198.001275,-89.551667,108.449608,2015
10,1,-165.006932,-93.260765,71.746167,2016
10,1,-101.977588,-101.999942,-0.0223540000000071,2017
10,1,231.752268,294.002172,62.249904,2018
