depth,station,sig_type,insitu,GLDAS,residual
5,1,seasontrans_sdate_wet2dry_p,NaN,-151.499038,NaN
5,1,seasontrans_sdate_wet2dry_p,-151.599433,-160.749909,-9.150476
5,1,seasontrans_sdate_wet2dry_p,-160,NaN,NaN
5,1,seasontrans_sdate_wet2dry_p,-187.805192,-139.177042,48.62815
5,1,seasontrans_sdate_wet2dry_p,-178.735028,-175.393966,3.34106199999999
5,1,seasontrans_sdate_wet2dry_p,-171.999416,-167.952991,4.046425
5,1,seasontrans_sdate_wet2dry_p,-186.999989,-131,55.999989
5,1,seasontrans_sdate_wet2dry_p,-72.002087,274.864149,346.866236
5,1,seasontrans_sdate_wet2dry_l,NaN,-151,NaN
5,1,seasontrans_sdate_wet2dry_l,-156,-179,-23
5,1,seasontrans_sdate_wet2dry_l,-182,NaN,NaN
5,1,seasontrans_sdate_wet2dry_l,-227,NaN,NaN
5,1,seasontrans_sdate_wet2dry_l,NaN,NaN,NaN
5,1,seasontrans_sdate_wet2dry_l,-173,-153,20
5,1,seasontrans_sdate_wet2dry_l,-208,-161,47
5,1,seasontrans_sdate_wet2dry_l,-68,278,346
5,1,seasontrans_edate_wet2dry_p,NaN,67.492558,NaN
5,1,seasontrans_edate_wet2dry_p,-259.881583,64.864342,324.745925
5,1,seasontrans_edate_wet2dry_p,-237.825213,NaN,NaN
5,1,seasontrans_edate_wet2dry_p,-311.379559,57.6366,369.016159
5,1,seasontrans_edate_wet2dry_p,-339.506096,50.493704,389.9998
5,1,seasontrans_edate_wet2dry_p,-334.13882,118,452.13882
5,1,seasontrans_edate_wet2dry_p,-314.445392,87.369598,401.81499
5,1,seasontrans_edate_wet2dry_p,-236.690328,144.123907,380.814235
5,1,seasontrans_edate_wet2dry_l,NaN,68,NaN
5,1,seasontrans_edate_wet2dry_l,-251,105,356
5,1,seasontrans_edate_wet2dry_l,-227,NaN,NaN
5,1,seasontrans_edate_wet2dry_l,-256,NaN,NaN
5,1,seasontrans_edate_wet2dry_l,NaN,NaN,NaN
5,1,seasontrans_edate_wet2dry_l,-332,121,453
5,1,seasontrans_edate_wet2dry_l,-262,182,444
5,1,seasontrans_edate_wet2dry_l,-237,149,386
5,1,seasontrans_sdate_dry2wet_p,NaN,329.556952,NaN
5,1,seasontrans_sdate_dry2wet_p,-73,164.637087,237.637087
5,1,seasontrans_sdate_dry2wet_p,-166.660926,227.942476,394.603402
5,1,seasontrans_sdate_dry2wet_p,-89.400127,NaN,NaN
5,1,seasontrans_sdate_dry2wet_p,-201.000005,206.25539,407.255395
5,1,seasontrans_sdate_dry2wet_p,-150.743606,251.004314,401.74792
5,1,seasontrans_sdate_dry2wet_p,-97.558361,271,368.558361
5,1,seasontrans_sdate_dry2wet_p,-220.398643,282.734861,503.133504
5,1,seasontrans_sdate_dry2wet_l,NaN,NaN,NaN
5,1,seasontrans_sdate_dry2wet_l,-68,NaN,NaN
5,1,seasontrans_sdate_dry2wet_l,NaN,169,NaN
5,1,seasontrans_sdate_dry2wet_l,-99,143,242
5,1,seasontrans_sdate_dry2wet_l,-233,195,428
5,1,seasontrans_sdate_dry2wet_l,-168,253,421
5,1,seasontrans_sdate_dry2wet_l,-175,295,470
5,1,seasontrans_sdate_dry2wet_l,NaN,316,NaN
5,1,seasontrans_edate_dry2wet_p,NaN,-116.869665,NaN
5,1,seasontrans_edate_dry2wet_p,-127.09725,-196.000001,-68.902751
5,1,seasontrans_edate_dry2wet_p,-165.999931,-255.114368,-89.114437
5,1,seasontrans_edate_dry2wet_p,-234.000003,NaN,NaN
5,1,seasontrans_edate_dry2wet_p,-372.157001,-261.854558,110.302443
5,1,seasontrans_edate_dry2wet_p,-209,-220.560433,-11.560433
5,1,seasontrans_edate_dry2wet_p,-215,-157.027279,57.972721
5,1,seasontrans_edate_dry2wet_p,-393,161.000008,554.000008
