depth,station,insitu,gldas,"error(days, gldas-insitu)",network,signature_type
2.5,27,732885.870015561,732889.133957467,3.2639419060433283,Oznet,Start of drying
2.5,27,733262.295156762,733262.223489127,-0.0716676349984482,Oznet,Start of drying
2.5,27,733612.999964348,733618.341237123,5.341272774967365,Oznet,Start of drying
2.5,27,733971.010539259,733993.328006638,22.317467379034497,Oznet,Start of drying
2.5,27,,,,Oznet,Start of drying
2.5,27,,,,Oznet,Start of drying
2.5,27,,,,Oznet,Start of drying
2.5,27,,,,Oznet,Start of drying
2.5,27,,,,Oznet,Start of drying
2.5,27,,,,Oznet,Start of drying
2.5,27,736588.999999588,736601.999999869,13.000000281026587,Oznet,Start of drying
2.5,27,736861.598297982,736918.99995888,57.401660898001865,Oznet,Start of drying
2.5,27,737257.498548332,737242.081045887,-15.417502445052378,Oznet,Start of drying
2.5,28,732927.187419725,,,Oznet,Start of drying
2.5,28,,,,Oznet,Start of drying
2.5,28,733555.999946173,733606.744174319,50.744228145922534,Oznet,Start of drying
2.5,28,733976.143937451,733994.864481229,18.72054377803579,Oznet,Start of drying
2.5,28,,,,Oznet,Start of drying
2.5,28,734774.19239888,734743.00011275,-31.192286130040884,Oznet,Start of drying
2.5,28,735112.378499637,735097.094592644,-15.283906992990524,Oznet,Start of drying
2.5,28,735454.598657341,735481.501519896,26.902862554998137,Oznet,Start of drying
2.5,28,735779.000000001,735834.505299504,55.50529950298369,Oznet,Start of drying
2.5,30,733001.999999587,,,Oznet,Start of drying
2.5,30,733257.232837341,733262.642983008,5.410145666915923,Oznet,Start of drying
2.5,30,733624.000000148,733615.856717803,-8.143282344914041,Oznet,Start of drying
2.5,30,,733994.178870574,,Oznet,Start of drying
2.5,30,734376.11460523,734436.302368105,60.187762874993496,Oznet,Start of drying
2.5,30,734739.999999626,734739.908990651,-0.09100897493772209,Oznet,Start of drying
2.5,30,,,,Oznet,Start of drying
2.5,30,,,,Oznet,Start of drying
2.5,30,735784.999999415,735829.607514335,44.60751491994597,Oznet,Start of drying
2.5,30,,,,Oznet,Start of drying
2.5,30,736608.425624057,736607.514998581,-0.9106254759244621,Oznet,Start of drying
2.5,30,,,,Oznet,Start of drying
2.5,30,737214.543287954,737209.234272723,-5.3090152309741825,Oznet,Start of drying
2.5,32,,,,Oznet,Start of drying
2.5,32,733250.791571055,733261.020120712,10.228549657040276,Oznet,Start of drying
2.5,32,733621.000067823,733620.647170319,-0.3528975039953366,Oznet,Start of drying
2.5,32,,,,Oznet,Start of drying
2.5,32,,,,Oznet,Start of drying
2.5,32,734740.472295833,734734.999998273,-5.472297560074367,Oznet,Start of drying
2.5,32,,,,Oznet,Start of drying
2.5,32,,,,Oznet,Start of drying
2.5,32,735770.999999998,735836.824841892,65.82484189397655,Oznet,Start of drying
2.5,32,,,,Oznet,Start of drying
2.5,32,736608.347625343,736603.292055226,-5.0555701169651,Oznet,Start of drying
2.5,32,736844.999943782,736924.779315985,79.77937220304739,Oznet,Start of drying
2.5,32,737246.589366497,737256.258973635,9.669607138028368,Oznet,Start of drying
2.5,35,,,,Oznet,Start of drying
2.5,35,733252.544231056,733262.621522073,10.077291017048992,Oznet,Start of drying
2.5,35,733660.395633648,733613.17029458,-47.22533906798344,Oznet,Start of drying
2.5,35,734094.999178681,734040.000019082,-54.9991595990723,Oznet,Start of drying
2.5,35,734389.999999858,734414.231306143,24.231306285015307,Oznet,Start of drying
2.5,35,,,,Oznet,Start of drying
2.5,35,735100.379599166,735112.363239914,11.983640747959726,Oznet,Start of drying
2.5,35,735448.879677756,735497.261181987,48.38150423101615,Oznet,Start of drying
2.5,35,735787.68198598,735841.642657047,53.96067106700502,Oznet,Start of drying
2.5,35,,,,Oznet,Start of drying
2.5,35,736621.34592948,736606.295304817,-15.05062466301024,Oznet,Start of drying
2.5,35,,,,Oznet,Start of drying
2.5,35,737255.335600219,737269.547002521,14.211402302025817,Oznet,Start of drying
2.5,27,,,,Oznet,Start of wetting
2.5,27,733086.15255643,733083.822751902,-2.3298045279225335,Oznet,Start of wetting
2.5,27,733527.51364154,733489.259991774,-38.25364976597484,Oznet,Start of wetting
2.5,27,733871.250012051,733874.640366563,3.3903545120265335,Oznet,Start of wetting
2.5,27,,,,Oznet,Start of wetting
2.5,27,,,,Oznet,Start of wetting
2.5,27,,,,Oznet,Start of wetting
2.5,27,,,,Oznet,Start of wetting
2.5,27,,,,Oznet,Start of wetting
2.5,27,,,,Oznet,Start of wetting
2.5,27,736446.340266671,736431.284344697,-15.055921974009834,Oznet,Start of wetting
2.5,27,736754.999999751,736773.379862612,18.379862861009315,Oznet,Start of wetting
2.5,27,737172.999674386,737171.602024382,-1.3976500040153041,Oznet,Start of wetting
2.5,28,,,,Oznet,Start of wetting
2.5,28,,,,Oznet,Start of wetting
2.5,28,,,,Oznet,Start of wetting
2.5,28,733865.745341139,733871.134379317,5.38903817802202,Oznet,Start of wetting
2.5,28,,,,Oznet,Start of wetting
2.5,28,,,,Oznet,Start of wetting
2.5,28,734913.560414422,734914.343114104,0.7826996820513159,Oznet,Start of wetting
2.5,28,735258.548630973,735268.999999157,10.451368184061721,Oznet,Start of wetting
2.5,28,735672.325315541,735644.362827286,-27.96248825499788,Oznet,Start of wetting
2.5,30,,,,Oznet,Start of wetting
2.5,30,733073.850258175,733084.821363486,10.971105310949497,Oznet,Start of wetting
2.5,30,733559.2191444,733486.000012434,-73.21913196600508,Oznet,Start of wetting
2.5,30,,,,Oznet,Start of wetting
2.5,30,734260.999908669,734159.147400779,-101.85250789008569,Oznet,Start of wetting
2.5,30,,,,Oznet,Start of wetting
2.5,30,,,,Oznet,Start of wetting
2.5,30,,,,Oznet,Start of wetting
2.5,30,,,,Oznet,Start of wetting
2.5,30,,,,Oznet,Start of wetting
2.5,30,736438.861084063,736432.354329811,-6.506754252011888,Oznet,Start of wetting
2.5,30,,,,Oznet,Start of wetting
2.5,30,,,,Oznet,Start of wetting
2.5,32,,,,Oznet,Start of wetting
2.5,32,733094.282571421,733082.000156848,-12.28241457301192,Oznet,Start of wetting
2.5,32,733481.000132222,733483.458432853,2.4583006310276687,Oznet,Start of wetting
2.5,32,,,,Oznet,Start of wetting
2.5,32,,,,Oznet,Start of wetting
2.5,32,,,,Oznet,Start of wetting
2.5,32,,,,Oznet,Start of wetting
2.5,32,,,,Oznet,Start of wetting
2.5,32,735629.84064056,735643.999962511,14.159321950981393,Oznet,Start of wetting
2.5,32,,,,Oznet,Start of wetting
2.5,32,736437.073467215,736427.803877639,-9.269589576055296,Oznet,Start of wetting
2.5,32,736759.069627537,736770.473000388,11.403372850967571,Oznet,Start of wetting
2.5,32,737172.116386366,737167.826471799,-4.2899145669071,Oznet,Start of wetting
2.5,35,,,,Oznet,Start of wetting
2.5,35,733081.691445602,733080.999990401,-0.6914552010130137,Oznet,Start of wetting
2.5,35,733566.799019251,733481.542590572,-85.25642867898569,Oznet,Start of wetting
2.5,35,,,,Oznet,Start of wetting
2.5,35,734246.225686275,734157.999988712,-88.22569756302983,Oznet,Start of wetting
2.5,35,,,,Oznet,Start of wetting
2.5,35,734902.170547616,734915.619217603,13.44866998703219,Oznet,Start of wetting
2.5,35,735367.917314826,735269.999971114,-97.91734371206257,Oznet,Start of wetting
2.5,35,735626.044993342,735645.350657368,19.30566402594559,Oznet,Start of wetting
2.5,35,,,,Oznet,Start of wetting
2.5,35,736439.040705778,736423.4520641,-15.58864167809952,Oznet,Start of wetting
2.5,35,,,,Oznet,Start of wetting
2.5,35,737170.265661942,737143.018946404,-27.246715537970886,Oznet,Start of wetting
2.5,27,732952.23384986,732965.549848989,13.31599912897218,Oznet,End of drying
2.5,27,733298.627086229,733311.832645083,13.205558853922412,Oznet,End of drying
2.5,27,733670.72612,733702.000000406,31.27388040605001,Oznet,End of drying
2.5,27,734059.325692696,734080.903615847,21.577923150965944,Oznet,End of drying
2.5,27,,,,Oznet,End of drying
2.5,27,,,,Oznet,End of drying
2.5,27,,,,Oznet,End of drying
2.5,27,,,,Oznet,End of drying
2.5,27,,,,Oznet,End of drying
2.5,27,,,,Oznet,End of drying
2.5,27,736737.228269784,736660.253994493,-76.97427529096603,Oznet,End of drying
2.5,27,736905.727100408,736991.917659728,86.19055931991898,Oznet,End of drying
2.5,27,737334.957110327,737324.3557997,-10.601310626952909,Oznet,End of drying
2.5,28,732956.687149372,,,Oznet,End of drying
2.5,28,,,,Oznet,End of drying
2.5,28,733649.764076419,733651.0,1.2359235810581595,Oznet,End of drying
