depth,station,insitu,gldas
10,1,731183.506247964,731206.626856846
10,1,731526.000190024,731510.86882411
10,1,731983.451537908,731892.556328386
10,1,732225.312225481,732332.000009213
10,1,732704.917612503,732657.205846478
10,1,732969.977693083,732965.591017649
10,1,733298.710298803,733313.540725777
10,1,733699.000430641,733701.070934677
10,1,734027.388372192,734136.29914822
10,1,734504.999999937,734547.555008219
10,1,734883.23615572,734818.510606634
10,1,735153.404033727,735246.182880973
10,1,735525.48928994,735544.556072983
10,1,735829.072041703,735903.43154313
10,1,NaN,NaN
10,1,736719.844046589,736655.882287694
10,1,736985.077251496,736984.201563993
10,1,737293.503595924,737329.000179745
