depth,station,insitu,gldas
10,1,NaN,730560.188325514
10,1,730791.069617169,730860.317781014
10,1,731184.858793128,731191.744735057
10,1,731574.999999939,731576.740712342
10,1,732015.722911488,731984.999750433
10,1,732286.611158851,732287.025061201
10,1,NaN,732659.409224543
10,1,732914.92769055,733051.683133746
10,1,733464.518060895,733404.900579134
10,1,733822.481809991,733777.230695172
10,1,734212.99656842,734155.043827657
10,1,734493.010849063,734503.789394771
10,1,734792.617259237,734896.318933769
10,1,735314.999806688,735261.999779177
10,1,735481.321697898,735581.761791604
10,1,735997.062288655,735949.432572942
10,1,736272.726148729,736334.753551471
10,1,736747.474443457,736701.054921546
10,1,737146.000028664,737167.100895564
10,1,737511.000455611,737464.609264773
