depth,station,insitu,gldas
10,1,730625.578283696,730641.880042001
10,1,731003.885459987,730975.465861527
10,1,731340.658828359,731377.4035723
10,1,731778.346661468,731715.571594776
10,1,732115.511499309,732097.613947889
10,1,732438.566661311,732425.195539947
10,1,732846.460293331,732836.691196258
10,1,733233.2686455,733243.264837052
10,1,733652.951655247,733509.402255389
10,1,734012.743992077,733953.94519012
10,1,734331.890555923,734263.601171196
10,1,734711.938068989,734684.886116262
10,1,735023.651436901,735041.587866369
10,1,735371.593649285,735371.720883894
10,1,735773.074149986,735773.261327251
10,1,736202.343659837,736068.365872569
10,1,736502.237769691,736416.658640947
10,1,736857.610903693,736857.625966725
10,1,737231.000129535,737235.600887249
10,1,737637.65804446,737625.677479241
