depth,station,insitu,gldas
10,1,NaN,730486.99999954
10,1,730754.783885548,730745.59396887
10,1,731157.58404038,731154.999936595
10,1,731518.752234486,731538.934824881
10,1,731865.833556852,731882.818730028
10,1,732170.417364425,732208.721688113
10,1,NaN,732645.505023084
10,1,732891.614673588,733008.999065832
10,1,733439.824790439,733366.247254491
10,1,733767.20221866,733713.777292411
10,1,734118.478942713,734103.556692436
10,1,734389.999861069,734426.791783183
10,1,734758.20595529,734748.155312452
10,1,735206.986296891,735136.307839562
10,1,735473.151772191,735547.433156008
10,1,735921.646893248,735910.527764982
10,1,736230.477571476,736228.032713939
10,1,736597.493054429,736648.941364589
10,1,737054.199001674,737039.000030495
10,1,737371.341763916,737375.144240662
