depth,station,insitu,gldas
10,1,730586.097476508,730569.523344615
10,1,730949.273386394,730906.799026166
10,1,731322.227137761,731303.017967233
10,1,731628.352365581,731650.667949992
10,1,732041.999886852,732005.999999813
10,1,732387.651028716,732355.656036546
10,1,732786.313765732,732778.217326669
10,1,733160.373487881,733093.275805703
10,1,733563.004031313,733462.298992547
10,1,733867.377457177,733803.959692379
10,1,734233.558701114,734198.000020511
10,1,734610.868569441,734541.70031333
10,1,734963.499167682,734924.293783545
10,1,735337.14837642,735289.474738486
10,1,735691.617023926,735643.035127767
10,1,736101.400537851,736003.072172745
10,1,736463.530402546,736371.87106362
10,1,736773.317005869,736733.999979945
10,1,737164.786863291,737138.000004646
10,1,737522.051810886,737491.102788746
