depth,station,insitu,gldas
5.08,11,NaN,NaN
5.08,11,NaN,735940.282637394
5.08,11,736351.2650283,736331.69850712
5.08,11,736706.723449477,736714.304307576
5.08,11,736938.688789432,737134.005534046
5.08,12,NaN,NaN
5.08,12,733103.003181536,733038.119267295
5.08,12,733473.237069382,733408.441636238
5.08,12,NaN,NaN
5.08,12,NaN,NaN
5.08,12,734598,734487.999999754
5.08,12,734966.568538422,734869.601955227
5.08,12,735333.906951272,735175.57667932
5.08,12,735692.093828078,735583.071082774
5.08,19,NaN,NaN
5.08,22,NaN,NaN
5.08,22,733459.589736486,733409.369763468
5.08,22,733737.577597638,733780.103459419
5.08,22,734204.021571533,734147.438936335
5.08,22,734484.613506229,734524.404219621
5.08,22,734924.263538643,734916.999999932
5.08,22,735206.300384064,735276.233903389
5.08,22,735568.535317358,735614.996870311
5.08,22,735853.480176031,735955.093855204
5.08,22,736288.083000903,736343.591773901
5.08,22,736603.558714469,736689.612413446
5.08,22,736956.288131989,737089.264861814
5.08,25,NaN,NaN
5.08,25,730550.63141029,NaN
5.08,25,730922.790387933,730858.999999905
5.08,25,731322.90003948,731285.92043154
5.08,26,NaN,NaN
5.08,26,732396.423427672,732335.000002425
5.08,26,732705.345395138,732691.609756338
5.08,26,732960.526489495,733065.635336619
5.08,26,733473.911350833,733425.924010386
5.08,26,733732.651763316,733759.000926985
5.08,26,734065.971910442,734147.308672495
5.08,26,734585.811654511,734493.043366258
5.08,26,734962.671016145,734904.604565225
5.08,26,735181.955707039,735204.814947313
5.08,26,735691.999999999,735590.755051312
5.08,26,735998.999999992,735933.999660167
5.08,26,736369.000661963,736368.999999899
5.08,26,736739.807493431,736600.439059552
5.08,26,736962.999999997,737098.155031637
5.08,27,NaN,NaN
5.08,27,734454.807387476,734505.999999881
5.08,27,734929.999999541,734911.999999368
5.08,27,735116.555623084,735285.000001232
5.08,27,735485.133535621,735590.917613039
5.08,27,735993.999758557,735952.256382621
5.08,27,736233.938686578,736299.304652015
5.08,27,736597.776043221,736693.851115501
5.08,27,737140.000170332,737085.667644066
5.08,28,NaN,NaN
5.08,28,733467.648990267,733425.816129293
5.08,28,733818.473101664,733776.99999999
5.08,28,734259.02589482,734156.661402993
5.08,28,734431.787906164,734523.999999982
