depth,station,insitu,gldas
5.08,11,NaN,NaN
5.08,11,736052.51889067,736147.477893313
5.08,11,736503.21161013,736512.881665646
5.08,11,736881.285313969,736871.345782028
5.08,11,737207.749966241,737233.382417078
5.08,12,NaN,NaN
5.08,12,733246.539144229,733242.453514179
5.08,12,733598.291930106,733616.300824674
5.08,12,NaN,NaN
5.08,12,734436.038092747,734337.560440507
5.08,12,734718.568542249,734708.96629482
5.08,12,735063.688029748,735111.687360947
5.08,12,735429.005008199,735460.296427363
5.08,12,735800.112249647,735746.063021327
5.08,19,NaN,NaN
5.08,22,NaN,NaN
5.08,22,733602.741357661,733532.623178436
5.08,22,733976.883904128,733966.440523867
5.08,22,734332.111554086,734309.690134455
5.08,22,734737.327801025,734695.950799672
5.08,22,735014.21905783,735033.271458666
5.08,22,735393.611683033,735401.622183483
5.08,22,735771.623410688,735781.446860341
5.08,22,736159.65491283,736072.63234649
5.08,22,736540.353772521,736505.38676525
5.08,22,736892.234111411,736865.36713963
5.08,22,737202.44890743,737237.129967673
5.08,25,NaN,NaN
5.08,25,730674.253619454,730689.20668995
5.08,25,730996.174701823,730976.782876089
5.08,25,731488.000173411,731334.293590427
5.08,26,NaN,NaN
5.08,26,732515.659263525,732447.298924561
5.08,26,732887.999884737,732894.199910295
5.08,26,733253.474050594,733257.986490153
5.08,26,733608.190580362,733498.468461189
5.08,26,733950.257797524,733916.819684422
5.08,26,734342.517212925,734228.693536513
5.08,26,734719.236615506,734705.550465262
5.08,26,735070.2250304,735109.697367864
5.08,26,735480.10513761,735335.264855737
5.08,26,735747.747666107,735756.7176959
5.08,26,736080.197069071,736064.561475149
5.08,26,736499.271905261,736502.538561857
5.08,26,736831.666890434,736915.000093499
5.08,26,737286.997347883,737270.431354675
5.08,27,734333.778429347,734331.234245545
5.08,27,734679.270983499,734635.5210685
5.08,27,735018.239313491,735037.650003091
5.08,27,735414.464634492,735400.632717394
5.08,27,735796.177850971,735769.956662165
5.08,27,736158.288251776,736060.376468519
5.08,27,736524.193759637,736416.678806233
5.08,27,736845.577939831,736855.752939407
5.08,27,737230.263438027,737243.999999917
5.08,28,NaN,NaN
5.08,28,733509.361705646,733521.620526524
5.08,28,733857.905406165,733907.563215955
5.08,28,734269.654938593,734259.481735514
5.08,28,734607.70412074,734692.772656428
5.08,28,734993.475571752,735045.116641777
5.08,28,735446.513550699,735402.767321936
5.08,28,735690.773121468,735781.434599269
5.08,28,736188.229299797,736054.827015683
5.08,28,736499.14519725,736517.97385965
5.08,28,736805.544328932,736802.823421009
5.08,28,737226.440869233,737215.312414166
5.08,29,734321.270393742,734333.719905008
5.08,29,734688.098378206,734706.250297633
5.08,29,734996.802050851,735007.344473499
5.08,29,735401.606148305,735400.236081757
5.08,29,735771.175195138,735769.258476476
5.08,29,736163.999999959,736074.703584546
5.08,29,736502.335728684,736516.436257316
5.08,29,736849.562502961,736877.120374528
5.08,29,737234.68569383,737313.53375064
5.08,31,734313.530910517,734271.698170269
5.08,31,734691.443356337,734672.583918824
5.08,31,735015.449019295,735015.919130365
5.08,31,735404.743923419,735396.714154683
5.08,31,735772.014338917,735754.807108299
5.08,31,NaN,NaN
5.08,31,736505.909794539,736479.442628986
5.08,31,736826.246690627,736824.46182759
5.08,31,737181.428138957,737190.355364274
5.08,33,NaN,NaN
5.08,33,732870.940625845,NaN
5.08,33,733230.201745596,733306.455582796
5.08,35,733238.58599432,NaN
5.08,35,733596.299848488,733592.480729554
5.08,35,733927.713491526,733917.578735231
5.08,35,734350.448143212,734348.830723451
5.08,35,734704.0246728,734751.269120877
5.08,35,735111.999990543,735104.884660008
5.08,35,735515.220567557,735432.803793602
5.08,35,735840.450981749,735810.332412471
5.08,35,736150.468671804,736176.916807094
5.08,35,736548.059440171,736520.364120238
5.08,35,736849.545016708,736845.320029658
5.08,35,737268.559748702,737274.000020685
5.08,36,733896.560144132,733967.301100211
5.08,36,734251.632161912,734332.790720615
5.08,36,734693.297692613,734712.79041797
5.08,36,NaN,NaN
5.08,36,NaN,NaN
5.08,36,NaN,NaN
5.08,36,736120.160983293,736155.21472635
5.08,36,736452.268410193,736510.689272792
5.08,36,736903.809978123,736878.118960537
5.08,36,737257.500274335,737279.450487174
5.08,36,737628.613199017,737639.886788382
5.08,41,NaN,NaN
5.08,41,733908.695203531,733945.926966786
5.08,41,NaN,NaN
5.08,41,734656.279274331,734694.238097335
5.08,44,NaN,NaN
5.08,44,733237.581832601,733246.642192822
5.08,44,733629.645057012,733614.325198064
5.08,44,733918.54890859,733927.644785254
5.08,44,734353.958894184,734358.816523488
5.08,44,734752.685560403,734755.931818043
5.08,44,735115.23684828,735125.339299435
5.08,44,735467.000525125,735444.615033984
5.08,44,735836.355329732,735802.997215421
5.08,44,736201.502854858,736183.999976678
5.08,46,NaN,NaN
5.08,49,730623.555859251,730709.222661876
5.08,49,731008.348304049,731030.872174493
5.08,49,731424.384159999,731442.000319678
5.08,49,731760.781831249,731782.438539682
5.08,49,732133.483792676,732140.989893719
5.08,49,732489.929999433,732542.710192196
5.08,49,732914.966685868,732902.43403862
5.08,50,NaN,733255.473708151
5.08,50,733544.817487181,733591.49703072
5.08,50,733936.544189954,733965.329570381
5.08,50,734350.225393411,734331.63726503
5.08,50,734700.58641666,734726.90698426
5.08,50,735019.198253468,735100.687322985
5.08,50,735360.878519812,735414.972941445
5.08,50,735748.22432483,735801.453771328
5.08,50,736122.986873389,736148.059686399
5.08,50,736536.492743,736511.48399108
5.08,50,736845.826881091,736892.691723405
5.08,50,737230.639528344,737267.011235641
5.08,53,733519.502699808,NaN
5.08,53,733904.67997472,733943.773108943
5.08,53,734295.377756625,734332.750305359
5.08,53,734651.149672146,734692.938112816
5.08,53,735011.477240624,735032.003236614
5.08,54,NaN,735556.74497558
5.08,54,735749.335480043,735781.835997736
5.08,54,736112.928556574,736069.999609107
5.08,54,736520.32153489,736515.606480254
5.08,54,736837.539747168,736819.163210049
5.08,54,737221.836741493,737232.642740176
5.08,55,NaN,NaN
5.08,55,733242.855933762,733229.755205909
5.08,55,733626.090997573,733584.760598798
5.08,55,NaN,NaN
5.08,55,734335.348474158,734315.515139578
5.08,55,734687.536494466,734729.663554053
5.08,55,735021.546880982,735049.70734433
5.08,55,735412.302538852,735385.415854963
5.08,55,735695.322048345,735775.217015883
5.08,55,736206.488053193,736208.91330313
5.08,55,736546.504283064,736518.021673683
5.08,55,736847.565598088,736878.998030568
5.08,55,737241.488123315,737259.604954713
5.08,57,NaN,NaN
5.08,57,733495.013481884,733518.478258749
5.08,57,733900.67151176,733901.856895612
5.08,57,734277.789068398,734280.56062449
5.08,57,734685.99584651,734687.004800667
5.08,57,734986.714224579,735023.151464803
5.08,57,735376.563597844,735403.999951555
5.08,57,735691.479858706,735780.999985918
5.08,57,736058.356490282,736088.939565483
5.08,57,736443.103202991,736494.439315944
5.08,57,736878.000002043,736870.405837721
5.08,57,737233.210835673,737210.591269882
5.08,58,NaN,NaN
5.08,58,NaN,733519.379559076
5.08,58,733993.824433831,733897.448632745
5.08,58,734322.486438952,734266.438068729
5.08,58,734681.29186004,734673.404725841
5.08,58,735033.356603445,735034.845347196
5.08,58,735378.368229239,735397.470321565
5.08,58,735806.048838665,735753.422903604
5.08,58,736154.514988963,736050.570763885
5.08,58,736577.782641695,736408.365026247
5.08,58,736918.134442064,736854.764250891
5.08,58,737248.613066461,737227.872237274
5.08,60,NaN,NaN
5.08,60,736081.714516296,736141.655390751
5.08,60,736521.423735849,736514.777573906
5.08,60,736834.48865918,736846.593414643
5.08,60,737211.655087154,737220.591682986
5.08,66,734326.168421672,734343.947643975
5.08,66,734708.080911431,734704.639257702
5.08,66,735000.579946115,735025.632240426
5.08,66,735404.999999855,735400.752097218
5.08,66,735758.46665117,735766.434126311
5.08,66,736053.721896323,736074.684811156
5.08,66,736501.46068992,736413.016921786
5.08,66,736842.816568029,736788.209246494
5.08,66,737248.797445243,737324.003046905
5.08,66,737623.979208417,737640.872625405
5.08,68,NaN,NaN
5.08,68,734315.752475951,734326.966530496
5.08,68,734694.21773953,734695.59763621
5.08,68,735042.206184999,735045.308780413
5.08,68,735406.05004788,735373.781758888
5.08,68,NaN,NaN
5.08,68,NaN,NaN
5.08,68,736520.65240616,736509.285021636
5.08,68,736859.345598247,736854.510259977
5.08,68,737238.305242492,737244.101259964
5.08,71,NaN,NaN
5.08,71,733985.466328907,733968.415326793
5.08,71,734328.588509594,734333.309881117
5.08,71,734703.120225486,734715.969111625
5.08,71,735047.859853873,735061.686112555
5.08,71,735401.431391751,735346.895925993
5.08,71,735746.703532987,735767.757554136
5.08,71,736205.152433193,736177.203498838
5.08,71,736518.182558067,736508.736435779
5.08,71,736908.774740201,736864.900915649
5.08,71,737277.829222076,737253.513707568
5.08,82,734394.461439178,734273.515134989
5.08,82,734751.341438232,734666.562812636
5.08,82,734991.206639837,735040.999966255
5.08,82,735409.629272121,735401.138930513
5.08,82,735767.809637509,735744.644020052
5.08,82,736181.353031795,736029.163731691
5.08,82,736509.524953545,736514.445514719
5.08,82,736840.688152875,736855.701655449
5.08,82,737223.297779826,737214.47645267
5.08,82,737630.850000017,737543.574989391
5.08,84,NaN,NaN
5.08,84,736051.875472643,736152.63000913
5.08,84,736532.690332685,736534.594546179
5.08,84,736883.828258091,736860.089750166
5.08,87,734316.658803376,734325.765884578
5.08,87,734740.999996454,734626.746950461
5.08,87,735039.586541139,735029.591781066
5.08,87,735403.686317161,735386.774384966
5.08,87,735784.614958757,735776.634146086
5.08,87,736150.554362667,736061.214901208
