sig_abb,sig_fullname,ylabel,lowerlim,upperlim
fc,Field capacity,Field capacity [m^3/m^3],0,1
wp,Wilting point,Wilting point  [m^3/m^3],0,1
seasontrans_sdate_wet2dry_p,Start of wet to dry transition (P),Day of the year,1,365
seasontrans_sdate_wet2dry_l,Start of wet to dry transition (L),Day of the year,1,365
seasontrans_edate_wet2dry_p,End of wet to dry transition (P),Day of the year,1,365
seasontrans_edate_wet2dry_l,End of wet to dry transition (L),Day of the year,1,365
seasontrans_sdate_dry2wet_p,Start of dry to wet transition (P),Day of the year,1,365
seasontrans_sdate_dry2wet_l,Start of dry to wet transition (L),Day of the year,1,365
seasontrans_edate_dry2wet_p,End of dry to wet transition (P),Day of the year,1,365
seasontrans_edate_dry2wet_l,End of dry to wet transition (L),Day of the year,1,365
seasontrans_duration_wet2dry_p,Duration of wet to dry transition (P),Days,1,200
seasontrans_duration_wet2dry_l,Duration of wet to dry transition (L),Days,1,200
seasontrans_duration_dry2wet_p,Duration of dry to wet transition (P),Days,1,200
seasontrans_duration_dry2wet_l,Duration of dry to wet transition (L),Days,1,200
