depth,station,sig_type,insitu,GLDAS,residual
3,19,amplitude,0.032039,0.035934,0.003895
3,19,phaseshift,2.306544,2.223289,-0.083255
3,20,amplitude,0.037508,0.062653,0.025145
3,20,phaseshift,2.14827,2.224056,0.075786
3,23,amplitude,0.017762,0.014097,-0.003665
3,23,phaseshift,2.255537,2.041187,-0.21435
3,24,amplitude,0.014068,0.016061,0.001993
3,24,phaseshift,2.689708,2.532769,-0.156939
3,26,amplitude,0.035278,0.069921,0.034643
3,26,phaseshift,2.562149,2.41,-0.152149
3,27,amplitude,0.02415,0.017172,-0.006978
3,27,phaseshift,2.524106,2.529952,0.005846
3,28,amplitude,0.034339,0.040044,0.005705
3,28,phaseshift,2.630847,2.851068,0.220221
3,30,amplitude,0.027147,0.03307,0.005923
3,30,phaseshift,2.690537,2.43913,-0.251407
3,31,amplitude,0.031837,0.067408,0.035571
3,31,phaseshift,2.694447,2.057977,-0.63647
3,32,amplitude,0.025605,0.028241,0.002636
3,32,phaseshift,2.421231,2.589275,0.168044
3,34,amplitude,0.034315,0.055203,0.020888
3,34,phaseshift,2.393957,2.187477,-0.20648
3,35,amplitude,0.038325,0.038321,-4.00E-06
3,35,phaseshift,2.377624,2.184688,-0.192936
3,37,amplitude,0.038928,0.057987,0.019059
3,37,phaseshift,2.392394,2.311167,-0.081227
3,38,amplitude,0.035673,0.031816,-0.003857
3,38,phaseshift,2.455501,2.419909,-0.035592
4,1,amplitude,0.036895,0.022183,-0.014712
4,1,phaseshift,1.953519,1.995297,0.041778
4,2,amplitude,0.011961,0.024276,0.012315
4,2,phaseshift,2.066626,1.933982,-0.132644
4,3,amplitude,0.026961,0.023019,-0.003942
4,3,phaseshift,2.070125,2.03614,-0.033985
4,4,amplitude,0.026444,0.046641,0.020197
4,4,phaseshift,2.358246,2.123863,-0.234383
4,5,amplitude,0.036114,0.015997,-0.020117
4,5,phaseshift,2.294249,2.21005,-0.084199
4,6,amplitude,0.040454,0.027682,-0.012772
4,6,phaseshift,2.11516,1.684316,-0.430844
4,7,amplitude,0.034003,0.018077,-0.015926
4,7,phaseshift,2.173992,1.885108,-0.288884
4,8,amplitude,0.043482,0.071709,0.028227
4,8,phaseshift,2.102894,1.869831,-0.233063
4,9,amplitude,0.047345,0.060941,0.013596
4,9,phaseshift,2.27513,1.995797,-0.279333
4,10,amplitude,0.038722,0.072951,0.034229
4,10,phaseshift,2.145197,2.030261,-0.114936
4,11,amplitude,0.042478,0.036583,-0.005895
4,11,phaseshift,2.110685,2.067369,-0.043316
4,12,amplitude,0.044976,0.068034,0.023058
4,12,phaseshift,2.137839,1.988871,-0.148968
4,13,amplitude,0.045387,0.057349,0.011962
4,13,phaseshift,2.130878,2.021997,-0.108881
4,14,amplitude,0.044889,0.081063,0.036174
4,14,phaseshift,2.239298,1.995233,-0.244065
4,15,amplitude,0.041184,0.085368,0.044184
4,15,phaseshift,2.2825,1.99055,-0.29195
4,16,amplitude,0.0399,0.066999,0.027099
4,16,phaseshift,2.292189,1.822694,-0.469495
4,17,amplitude,0.043128,0.081425,0.038297
4,17,phaseshift,2.197188,1.893112,-0.304076
4,18,amplitude,0.034814,0.040036,0.005222
4,18,phaseshift,2.303755,2.077474,-0.226281
10,1,amplitude,0.037056,0.044582,0.007526
10,1,phaseshift,2.371671,2.298155,-0.073516
