depth,station,sig_type,insitu,GLDAS,residual
5.08,1,seasontrans_duration_wet2dry_p,NaN,17.98292,NaN
5.08,1,seasontrans_duration_wet2dry_p,75.554536,37.974121,-37.580415
5.08,1,seasontrans_duration_wet2dry_p,77.992529,NaN,NaN
5.08,1,seasontrans_duration_wet2dry_p,111.776861,115.002981,3.22612
5.08,1,seasontrans_duration_wet2dry_l,NaN,17,NaN
5.08,1,seasontrans_duration_wet2dry_l,67,46,-21
5.08,1,seasontrans_duration_wet2dry_l,66,NaN,NaN
5.08,1,seasontrans_duration_wet2dry_l,122,122,0
5.08,1,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,1,seasontrans_duration_dry2wet_p,4.544328,153.830948,149.28662
5.08,1,seasontrans_duration_dry2wet_p,7.833924,NaN,NaN
5.08,1,seasontrans_duration_dry2wet_p,40.999995,5.154606,-35.845389
5.08,1,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,1,seasontrans_duration_dry2wet_l,NaN,207,NaN
5.08,1,seasontrans_duration_dry2wet_l,36,NaN,NaN
5.08,1,seasontrans_duration_dry2wet_l,25,1,-24
5.08,2,seasontrans_duration_wet2dry_p,NaN,16.76087,NaN
5.08,2,seasontrans_duration_wet2dry_p,6.442537,11.200675,4.758138
5.08,2,seasontrans_duration_wet2dry_p,50.450595,NaN,NaN
5.08,2,seasontrans_duration_wet2dry_p,20.432101,NaN,NaN
5.08,2,seasontrans_duration_wet2dry_p,21.878909,NaN,NaN
5.08,2,seasontrans_duration_wet2dry_p,39.289436,33.089348,-6.200088
5.08,2,seasontrans_duration_wet2dry_p,7.342798,15.717977,8.375179
5.08,2,seasontrans_duration_wet2dry_p,NaN,15.56191,NaN
5.08,2,seasontrans_duration_wet2dry_p,NaN,19.02322,NaN
5.08,2,seasontrans_duration_wet2dry_p,9.172529,17.002491,7.829962
5.08,2,seasontrans_duration_wet2dry_p,11.97424,29.982351,18.008111
5.08,2,seasontrans_duration_wet2dry_p,8.31109,NaN,NaN
5.08,2,seasontrans_duration_wet2dry_p,29.712938,54.969304,25.256366
5.08,2,seasontrans_duration_wet2dry_p,11.902704,19.285285,7.382581
5.08,2,seasontrans_duration_wet2dry_p,31.3792,NaN,NaN
5.08,2,seasontrans_duration_wet2dry_p,13.629838,102.864787,89.234949
5.08,2,seasontrans_duration_wet2dry_l,NaN,20,NaN
5.08,2,seasontrans_duration_wet2dry_l,115,12,-103
5.08,2,seasontrans_duration_wet2dry_l,64,NaN,NaN
5.08,2,seasontrans_duration_wet2dry_l,15,2,-13
5.08,2,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
5.08,2,seasontrans_duration_wet2dry_l,NaN,33,NaN
5.08,2,seasontrans_duration_wet2dry_l,7,17,10
5.08,2,seasontrans_duration_wet2dry_l,NaN,16,NaN
5.08,2,seasontrans_duration_wet2dry_l,NaN,20,NaN
5.08,2,seasontrans_duration_wet2dry_l,231,17,-214
5.08,2,seasontrans_duration_wet2dry_l,NaN,30,NaN
5.08,2,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
5.08,2,seasontrans_duration_wet2dry_l,58,120,62
5.08,2,seasontrans_duration_wet2dry_l,244,18,-226
5.08,2,seasontrans_duration_wet2dry_l,28,NaN,NaN
5.08,2,seasontrans_duration_wet2dry_l,182,85,-97
5.08,2,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,2,seasontrans_duration_dry2wet_p,36.990832,8.925313,-28.065519
5.08,2,seasontrans_duration_dry2wet_p,29.564355,NaN,NaN
5.08,2,seasontrans_duration_dry2wet_p,48.650939,62.698245,14.047306
5.08,2,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,2,seasontrans_duration_dry2wet_p,33.061613,6.085836,-26.975777
5.08,2,seasontrans_duration_dry2wet_p,6.99961,9.231527,2.231917
5.08,2,seasontrans_duration_dry2wet_p,6.537731,6.338524,-0.199207
5.08,2,seasontrans_duration_dry2wet_p,19.317266,32,12.682734
5.08,2,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,2,seasontrans_duration_dry2wet_p,6.525169,4.886006,-1.639163
5.08,2,seasontrans_duration_dry2wet_p,18.017215,NaN,NaN
5.08,2,seasontrans_duration_dry2wet_p,4.519418,NaN,NaN
5.08,2,seasontrans_duration_dry2wet_p,6.183233,NaN,NaN
5.08,2,seasontrans_duration_dry2wet_p,5.000014,NaN,NaN
5.08,2,seasontrans_duration_dry2wet_p,29.531216,19.000002,-10.531214
5.08,2,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,2,seasontrans_duration_dry2wet_l,37,205,168
5.08,2,seasontrans_duration_dry2wet_l,26,NaN,NaN
5.08,2,seasontrans_duration_dry2wet_l,68,97,29
5.08,2,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,2,seasontrans_duration_dry2wet_l,6,1,-5
5.08,2,seasontrans_duration_dry2wet_l,92,1,-91
5.08,2,seasontrans_duration_dry2wet_l,1,7,6
5.08,2,seasontrans_duration_dry2wet_l,20,156,136
5.08,2,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,2,seasontrans_duration_dry2wet_l,5,1,-4
5.08,2,seasontrans_duration_dry2wet_l,20,NaN,NaN
5.08,2,seasontrans_duration_dry2wet_l,1,NaN,NaN
5.08,2,seasontrans_duration_dry2wet_l,15,1,-14
5.08,2,seasontrans_duration_dry2wet_l,48,NaN,NaN
5.08,2,seasontrans_duration_dry2wet_l,124,207,83
5.08,3,seasontrans_duration_wet2dry_p,213.679636,21.470425,-192.209211
5.08,3,seasontrans_duration_wet2dry_p,NaN,229.051626,NaN
5.08,3,seasontrans_duration_wet2dry_p,8.611969,10.449314,1.837345
5.08,3,seasontrans_duration_wet2dry_l,NaN,22,NaN
5.08,3,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
5.08,3,seasontrans_duration_wet2dry_l,7,9,2
5.08,3,seasontrans_duration_dry2wet_p,NaN,10.465108,NaN
5.08,3,seasontrans_duration_dry2wet_p,105.787877,97.138488,-8.649389
5.08,3,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,3,seasontrans_duration_dry2wet_l,NaN,1,NaN
5.08,3,seasontrans_duration_dry2wet_l,32,89,57
5.08,3,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,5,seasontrans_duration_wet2dry_p,7.375107,12.758325,5.383218
5.08,5,seasontrans_duration_wet2dry_p,36.125234,13.019969,-23.105265
5.08,5,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
5.08,5,seasontrans_duration_wet2dry_p,4.040341,16.473035,12.432694
5.08,5,seasontrans_duration_wet2dry_p,NaN,11.724174,NaN
5.08,5,seasontrans_duration_wet2dry_p,16.724192,108.903982,92.17979
5.08,5,seasontrans_duration_wet2dry_l,52,12,-40
5.08,5,seasontrans_duration_wet2dry_l,10,97,87
5.08,5,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
5.08,5,seasontrans_duration_wet2dry_l,3,13,10
5.08,5,seasontrans_duration_wet2dry_l,3,10,7
5.08,5,seasontrans_duration_wet2dry_l,16,163,147
5.08,5,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,5,seasontrans_duration_dry2wet_p,126.363086,16.022153,-110.340933
5.08,5,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,5,seasontrans_duration_dry2wet_p,11.999998,7.400997,-4.599001
5.08,5,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,5,seasontrans_duration_dry2wet_p,4.757694,9.861982,5.104288
5.08,5,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,5,seasontrans_duration_dry2wet_l,8,8,0
5.08,5,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,5,seasontrans_duration_dry2wet_l,70,2,-68
5.08,5,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5.08,5,seasontrans_duration_dry2wet_l,4,4,0
5.08,9,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
5.08,9,seasontrans_duration_wet2dry_p,47.433792,37.440833,-9.992959
5.08,9,seasontrans_duration_wet2dry_p,43.934661,89.538366,45.603705
5.08,9,seasontrans_duration_wet2dry_p,10.000215,NaN,NaN
5.08,9,seasontrans_duration_wet2dry_p,3.845684,81.464172,77.618488
5.08,9,seasontrans_duration_wet2dry_p,27.581675,23.893052,-3.688623
5.08,9,seasontrans_duration_wet2dry_p,15.07723,NaN,NaN
5.08,9,seasontrans_duration_wet2dry_p,106.535048,39.328401,-67.206647
5.08,9,seasontrans_duration_wet2dry_p,68.661702,4.743848,-63.917854
5.08,9,seasontrans_duration_wet2dry_p,8.450318,44.261002,35.810684
5.08,9,seasontrans_duration_wet2dry_p,NaN,93.044856,NaN
5.08,9,seasontrans_duration_wet2dry_p,31.419924,64.922536,33.502612
5.08,9,seasontrans_duration_wet2dry_p,31.872121,36.153362,4.281241
5.08,9,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
5.08,9,seasontrans_duration_wet2dry_l,55,35,-20
5.08,9,seasontrans_duration_wet2dry_l,123,120,-3
5.08,9,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
5.08,9,seasontrans_duration_wet2dry_l,3,52,49
5.08,9,seasontrans_duration_wet2dry_l,84,18,-66
5.08,9,seasontrans_duration_wet2dry_l,17,NaN,NaN
5.08,9,seasontrans_duration_wet2dry_l,104,35,-69
5.08,9,seasontrans_duration_wet2dry_l,181,4,-177
5.08,9,seasontrans_duration_wet2dry_l,41,141,100
5.08,9,seasontrans_duration_wet2dry_l,NaN,104,NaN
5.08,9,seasontrans_duration_wet2dry_l,NaN,16,NaN
5.08,9,seasontrans_duration_wet2dry_l,35,187,152
5.08,9,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5.08,9,seasontrans_duration_dry2wet_p,8.579845,66.81039,58.230545
