depth,station,insitu,GLDAS,residual,WY
5.08,1,4.544328,153.830948,149.28662,2001
5.08,1,40.999995,5.154606,-35.845389,2003
5.08,2,36.990832,8.925313,-28.065519,2005
5.08,2,48.650939,62.698245,14.047306,2007
5.08,2,33.061613,6.085836,-26.975777,2009
5.08,2,6.99961,9.231527,2.231917,2010
5.08,2,6.537731,6.338524,-0.199207,2011
5.08,2,19.317266,32,12.682734,2012
5.08,2,6.525169,4.886006,-1.639163,2014
5.08,2,29.531216,19.000002,-10.531214,2019
5.08,3,105.787877,97.138488,-8.649389,2017
5.08,4,106.086322,4.450425,-101.635897,2012
5.08,4,31.399087,106.999999,75.600912,2013
5.08,5,126.363086,16.022153,-110.340933,2001
5.08,5,11.999998,7.400997,-4.599001,2003
5.08,5,4.757694,9.861982,5.104288,2005
5.08,9,84.167726,66.81039,-17.357336,2009
5.08,9,100.672329,47.744891,-52.927438,2010
5.08,9,39.673841,10.99145,-28.682391,2016
5.08,10,80.678609,8.447414,-72.231195,2009
5.08,10,73.108863,4.126968,-68.981895,2010
5.08,10,128.292701,9.580162,-118.712539,2013
5.08,10,40.115258,15.73447,-24.380788,2015
5.08,10,82.127284,4.168951,-77.958333,2016
5.08,10,77.955533,6.141817,-71.813716,2018
5.08,10,34.391439,6.265744,-28.125695,2020
5.08,11,101.093587,101.897876,0.804288999999997,2017
5.08,11,86.274323,76.900009,-9.374314,2018
5.08,11,15.094126,6.591642,-8.502484,2019
5.08,11,152.175241,102.810681,-49.36456,2020
5.08,12,209.00001,13.720716,-195.279294,2009
5.08,12,76.705561,166.358717,89.653156,2010
5.08,12,58.380734,86.61025,28.229516,2012
5.08,12,10.867845,13.073378,2.205533,2013
5.08,12,31.993798,4.61075,-27.383048,2014
5.08,12,43.426993,212.48136,169.054367,2015
5.08,14,103.758868,33.040798,-70.71807,2017
5.08,14,31.04541,145.794204,114.748794,2018
5.08,14,9.274439,6.565705,-2.708734,2020
5.08,15,21.000001,4.755213,-16.244788,2007
5.08,15,4.546017,9.058458,4.512441,2009
5.08,17,24.56187,10.028771,-14.533099,2017
5.08,17,87.51856,12.838955,-74.679605,2018
