depth,station,insitu,GLDAS,residual,WY
5.08,1,75.554536,37.974121,-37.580415,2001
5.08,1,111.776861,115.002981,3.22612000000001,2003
5.08,2,6.442537,11.200675,4.758138,2005
5.08,2,39.289436,33.089348,-6.200088,2009
5.08,2,7.342798,15.717977,8.375179,2010
5.08,2,9.172529,17.002491,7.829962,2013
5.08,2,11.97424,29.982351,18.008111,2014
5.08,2,29.712938,54.969304,25.256366,2016
5.08,2,11.902704,19.285285,7.382581,2017
5.08,2,13.629838,102.864787,89.234949,2019
5.08,3,213.679636,21.470425,-192.209211,2016
5.08,3,8.611969,10.449314,1.837345,2018
5.08,4,23.580313,4.221113,-19.3592,2006
5.08,4,174.95019,44.564132,-130.386058,2009
5.08,4,19.840278,25.45861,5.618332,2012
5.08,4,27.263237,23.133812,-4.129425,2013
5.08,4,3.981778,4.682923,0.701145,2014
5.08,4,7.032909,5.717199,-1.31571,2016
5.08,5,7.375107,12.758325,5.383218,2001
5.08,5,36.125234,13.019969,-23.105265,2001
5.08,5,4.040341,16.473035,12.432694,2003
5.08,5,16.724192,108.903982,92.17979,2005
5.08,9,43.934661,37.440833,-6.493828,2009
5.08,9,10.000215,89.538366,79.538151,2010
5.08,9,27.581675,81.464172,53.882497,2012
5.08,9,15.07723,23.893052,8.815822,2013
5.08,9,68.661702,39.328401,-29.333301,2015
5.08,9,8.450318,4.743848,-3.70647,2016
5.08,9,31.419924,93.044856,61.624932,2018
5.08,9,31.872121,64.922536,33.050415,2019
5.08,10,52.233035,26.254419,-25.978616,2009
5.08,10,45.224818,11.065647,-34.159171,2010
5.08,10,59.09996,31.080598,-28.019362,2011
5.08,10,67.259651,33.847345,-33.412306,2013
5.08,10,44.520182,4.898304,-39.621878,2015
5.08,10,20.476237,18.801382,-1.674855,2016
5.08,10,22.559984,18.462987,-4.096997,2017
5.08,10,14.277311,54.528023,40.250712,2018
5.08,10,144.898887,104.700731,-40.198156,2020
5.08,11,144.439677,100.999999,-43.439678,2016
5.08,11,46.526127,24.255438,-22.270689,2017
5.08,11,110.349422,49.707761,-60.641661,2018
5.08,11,77.455025,55.66787,-21.787155,2019
5.08,11,37.93014,59.658762,21.728622,2020
5.08,12,21.580507,11.462791,-10.117716,2008
5.08,12,18.821816,6.02954,-12.792276,2009
5.08,12,119.056476,17.000001,-102.056475,2010
5.08,12,17.435017,19.440488,2.005471,2011
5.08,12,199.163759,27.728458,-171.435301,2012
5.08,12,5.117037,7.570387,2.45335,2014
5.08,13,36.252288,5.853806,-30.398482,2017
5.08,13,12.309412,31,18.690588,2018
5.08,14,76.263935,21.627078,-54.636857,2016
5.08,14,9.159451,11.63829,2.478839,2017
5.08,14,42.406505,10.463987,-31.942518,2018
5.08,14,94.492321,35.150125,-59.342196,2020
5.08,15,42.649181,15.675604,-26.973577,2006
5.08,15,20.29158,10.85446,-9.43712,2007
5.08,15,9.31107,4.840102,-4.470968,2008
5.08,15,26.145939,15.514651,-10.631288,2009
5.08,15,194.652239,5.193859,-189.45838,2011
5.08,15,7.80334,6.061074,-1.742266,2013
5.08,15,5.632609,4.060335,-1.572274,2014
5.08,17,28.339759,18.352792,-9.986967,2015
5.08,17,65.976135,8.614189,-57.361946,2016
5.08,17,64.302202,27.585716,-36.716486,2017
5.08,17,62.660262,136.174622,73.51436,2018
5.08,17,16.490276,10.249843,-6.240433,2019
5.08,17,49.147726,158.709182,109.561456,2020
5.08,21,119.43186,53.905584,-65.526276,2009
5.08,21,111.664237,23.693806,-87.970431,2010
5.08,21,112.864515,57.309912,-55.554603,2011
5.08,21,54.843956,19.053534,-35.790422,2012
5.08,21,34.262793,77.982224,43.719431,2014
5.08,21,19.353129,21.438628,2.085499,2016
5.08,21,47.042262,27.88966,-19.152602,2017
5.08,21,185.000951,23.606993,-161.393958,2019
5.08,22,79.985227,119.444174,39.458947,2009
5.08,22,187.490206,90.160957,-97.329249,2010
5.08,22,123.31678,120.195368,-3.12141199999999,2011
5.08,22,162.321149,169.999998,7.67884900000001,2012
5.08,22,90.30596,64.85963,-25.44633,2013
5.08,22,96.867531,39.558955,-57.308576,2014
