depth,station,insitu,GLDAS,residual,WY
5.08,1,81,80,-1,2001
5.08,1,76.776861,88.000004,11.223143,2003
5.08,2,-0.013361,65.210369,65.22373,2005
5.08,2,-71.032604,1.672076,72.70468,2009
5.08,2,58.342793,91.655521,33.312728,2010
5.08,2,-97.827471,66.540253,164.367724,2013
5.08,2,-120.227436,65.000019,185.227455,2014
5.08,2,15.712938,61.702999,45.990061,2016
5.08,2,-119.097296,40.000014,159.09731,2017
5.08,2,-63.110378,114.434504,177.544882,2019
5.08,3,-163.320364,-227.529575,-64.209211,2016
5.08,3,-217.388031,-210.129578,7.258453,2018
5.08,4,-127.182608,-224.648363,-97.465755,2006
5.08,4,90.172454,-153.727622,-243.900076,2009
5.08,4,-12.159748,-299.149601,-286.989853,2012
5.08,4,62.263237,-287.366332,-349.629569,2013
5.08,4,-119.018124,-163.874828,-44.856704,2014
5.08,4,-87.106994,-175.282801,-88.175807,2016
5.08,5,66.375107,74.953019,8.577912,2001
5.08,5,69.125235,73.632581,4.507346,2001
5.08,5,152.040341,158.473034,6.432693,2003
5.08,5,37.701502,113.893551,76.192049,2005
5.08,9,54.578736,-274.368768,-328.947504,2009
5.08,9,106.000346,-251.31817,-357.318516,2010
5.08,9,76.730587,-178.568434,-255.299021,2012
5.08,9,81.404475,-127.107195,-208.51167,2013
5.08,9,66.995509,-257.126498,-324.122007,2015
5.08,9,25.711272,-161.248756,-186.960028,2016
5.08,9,254.419923,-256.465199,-510.885122,2018
5.08,9,152.870543,-241.077459,-393.948002,2019
5.08,10,-287.655804,-277,10.655804,2009
5.08,10,-298.166625,-261.145679,37.020946,2010
5.08,10,-265.900045,-218,47.900045,2011
5.08,10,-266.74035,-255.063787,11.676563,2013
5.08,10,-312.349619,-175.113159,137.23646,2015
5.08,10,-303.198856,-227.198618,76.000238,2016
5.08,10,-316.263268,-250.825492,65.437776,2017
5.08,10,-317.795328,-278.599168,39.19616,2018
5.08,10,-203.101069,-195.653887,7.447182,2020
5.08,11,-225.126442,-306,-80.873558,2016
5.08,11,-220.474276,-241.05626,-20.581984,2017
5.08,11,-234.650577,-293.292239,-58.641662,2018
5.08,11,-230.344837,-254.332307,-23.98747,2019
5.08,11,-211.558969,-271.341239,-59.78227,2020
5.08,12,-311.419493,-261.537209,49.882284,2008
5.08,12,-316.284248,-224.838877,91.445371,2009
5.08,12,-248.437429,-245,3.43742900000001,2010
5.08,12,-316.564983,-184,132.564983,2011
5.08,12,-177.859519,-190.271543,-12.412024,2012
5.08,12,-214.060916,-215.386041,-1.32512500000001,2014
5.08,13,-327.747712,-242.397991,85.349721,2017
5.08,13,-308.690588,-246,62.690588,2018
5.08,14,-170.999903,-218.08644,-47.086537,2016
5.08,14,-234.64906,-245.519576,-10.870516,2017
5.08,14,-207,-236,-29,2018
5.08,14,-98.96821,-189.397957,-90.429747,2020
5.08,15,-61.350085,-142.324396,-80.974311,2006
5.08,15,18.351904,-136.065317,-154.417221,2007
5.08,15,-117.452479,-123.665151,-6.212672,2008
5.08,15,-81.764003,-78.055913,3.70809,2009
5.08,15,-4.347757,-179.806019,-175.458262,2011
5.08,15,-94.459218,-96.647712,-2.18849399999999,2013
5.08,15,-119.078336,-161.939665,-42.861329,2014
5.08,17,-300.110121,-277.680426,22.429695,2015
5.08,17,-292.85289,-220.999892,71.852998,2016
5.08,17,-288.995778,-252.286085,36.709693,2017
5.08,17,-284.339738,-209.825854,74.513884,2018
5.08,17,-294.509724,-165.750157,128.759567,2019
5.08,17,-281.852276,-158.211152,123.641124,2020
5.08,21,100.43186,-284.541639,-384.973499,2009
5.08,21,109.392684,-272.306194,-381.698878,2010
5.08,21,138.864515,-244.832938,-383.697453,2011
5.08,21,100.843883,-234.76324,-335.607123,2012
5.08,21,53.529569,-251.017776,-304.547345,2014
5.08,21,29.353129,-307.561382,-336.914511,2016
5.08,21,43.526105,-309.342436,-352.868541,2017
5.08,21,203.616807,-289.540212,-493.157019,2019
5.08,22,-273.470525,-209.555826,63.914699,2009
5.08,22,-195.509794,-202.638057,-7.128263,2010
5.08,22,-237.683308,-208.419336,29.263972,2011
5.08,22,-212.679007,-163.000002,49.679005,2012
5.08,22,-245.694044,-260.999931,-15.305887,2013
5.08,22,-236.999995,-250.287698,-13.287703,2014
5.08,22,-339.16704,-212.20928,126.95776,2016
5.08,22,-230.618442,-289.587241,-58.968799,2017
5.08,22,-225.755166,-202.999873,22.755293,2018
5.08,22,-227.000042,-277.181041,-50.180999,2019
5.08,22,-208.069083,-204.124496,3.94458700000001,2020
5.08,24,122.545079,37.202421,-85.342658,2012
5.08,24,52.421633,21.504948,-30.916685,2014
5.08,24,63.185802,50.727046,-12.458756,2015
5.08,24,18.775661,21.477629,2.701968,2016
5.08,24,57.430773,46.310718,-11.120055,2017
5.08,25,-273.99998,-258.674278,15.325702,2002
5.08,25,-288.203016,-225.448982,62.754034,2003
5.08,25,-196,-250.413382,-54.413382,2004
5.08,26,-274.745842,-207.396369,67.349473,2006
5.08,26,-276.166822,-273.596023,2.57079900000002,2007
5.08,26,-186.000199,-189.633603,-3.63340399999998,2008
5.08,26,-315.25215,-220.791429,94.460721,2009
5.08,26,-250.822771,-236.325385,14.497386,2010
5.08,26,-310.337701,-188.406158,121.931543,2011
5.08,26,-161.999482,-261.83175,-99.832268,2012
5.08,26,-211.442585,-211.536633,-0.0940479999999866,2013
5.08,26,-304.652841,-268.784753,35.868088,2014
5.08,26,-287.619749,-256.893093,30.726656,2015
5.08,26,-177.47436,-276.201035,-98.726675,2018
5.08,26,-270.176481,-244.490386,25.686095,2019
5.08,27,-242,-213.59704,28.40296,2011
5.08,27,-274.959557,-232.088448,42.871109,2012
5.08,27,-246.685508,-263.040963,-16.355455,2013
5.08,27,-307.326317,-270.219,37.107317,2014
5.08,27,-337.45377,-343.015276,-5.56150599999995,2016
5.08,27,-280.114385,-250.652845,29.46154,2018
5.08,27,-302.549968,-233.516375,69.033593,2019
5.08,27,-199.05327,-219.350358,-20.297088,2020
5.08,28,74.75063,61.424253,-13.326377,2008
5.08,28,46.121884,52.266461,6.144577,2009
5.08,28,83.280993,93.766968,10.485975,2010
5.08,28,152.999893,123.406532,-29.593361,2011
5.08,28,126.87025,82.434668,-44.435582,2012
5.08,28,124.91975,133.841867,8.92211700000001,2013
5.08,28,143.26782,184.201634,40.933814,2015
5.08,28,81.002546,132.999918,51.997372,2016
5.08,28,49.344616,73.715319,24.370703,2017
5.08,28,113.400161,132.095793,18.695632,2018
5.08,28,84.469279,70.283914,-14.185365,2019
5.08,29,-271.487878,-218.437822,53.050056,2012
5.08,29,-283.349871,-281.037964,2.31190700000002,2013
5.08,29,-238.428312,-272.162176,-33.733864,2014
5.08,29,-240,-241.000149,-1.00014899999999,2015
5.08,29,-289.500133,-280.999998,8.500135,2016
5.08,29,-200.456205,-238.111992,-37.655787,2017
5.08,29,-300.315873,-252.942809,47.373064,2018
5.08,29,-170.422222,-267.275124,-96.852902,2019
5.08,29,-271.198627,-259.27072,11.927907,2020
5.08,30,88.734481,38.863081,-49.8714,2011
5.08,30,114.987119,69.391423,-45.595696,2014
5.08,30,140.71863,137.225838,-3.49279199999998,2015
5.08,30,43.512672,56.582765,13.070093,2016
5.08,30,73.420884,46.181585,-27.239299,2017
5.08,30,125.286506,130.634137,5.34763100000001,2018
5.08,30,149,155.298126,6.298126,2019
5.08,31,-309.073517,-241.695636,67.377881,2011
5.08,31,-267.757916,-228.665707,39.092209,2012
5.08,31,-284.259308,-261.633612,22.6256959999999,2013
5.08,31,-302.387834,-239.472893,62.914941,2014
5.08,31,-318.355511,-230.000002,88.355509,2015
5.08,31,-291.606003,-195.59739,96.008613,2016
5.08,31,-262.063754,-227.718159,34.345595,2017
5.08,31,-194.917179,-209.693267,-14.776088,2020
5.08,33,-332.350129,-219.686511,112.663618,2008
5.08,35,-317.584204,-225.839728,91.744476,2009
5.08,35,-296.243525,-252.173043,44.070482,2010
5.08,35,-303.243446,-216.9885,86.254946,2011
5.08,35,-145.30017,-211.207763,-65.907593,2012
5.08,35,-214,-220.55092,-6.55091999999999,2013
5.08,35,-215.579866,-150.593623,64.986243,2014
5.08,35,-286.686269,-125.401626,161.284643,2015
5.08,35,-325.058353,-224.577377,100.480976,2016
5.08,35,-324.915421,-53.303571,271.61185,2017
5.08,35,-260.247498,-20.534829,239.712669,2018
5.08,35,-277.804058,-271.702845,6.10121299999997,2019
5.08,35,-300.869648,-246.00003,54.869618,2020
5.08,36,-317.297259,-320.865027,-3.567768,2010
5.08,36,-181.166456,-316,-134.833544,2011
5.08,36,-169.817412,-355.418268,-185.600856,2012
5.08,36,-183.64553,-342.002446,-158.356916,2016
5.08,36,-207.223529,-285.487766,-78.264237,2017
5.08,36,-195.000043,-178.165235,16.834808,2018
5.08,36,-178.048704,-353.334832,-175.286128,2019
5.08,36,-166.430612,-274.532378,-108.101766,2020
5.08,37,62.849353,49.932913,-12.91644,2010
5.08,37,38.001888,58.425876,20.423988,2012
5.08,37,-93.422682,-106.318483,-12.895801,2013
5.08,37,57.502839,-111.148163,-168.651002,2014
5.08,37,-115.699175,-117.620945,-1.92177000000001,2015
5.08,37,22.447443,46.571277,24.123834,2016
5.08,37,35.327918,72.280957,36.953039,2017
5.08,37,-58.121983,72.420937,130.54292,2018
5.08,37,-82.803955,-62.384595,20.41936,2019
5.08,38,62.849353,53.783919,-9.065434,2010
5.08,38,91.698617,-81.188819,-172.887436,2011
5.08,38,38.001888,30.554595,-7.447293,2012
5.08,38,-93.422682,27.291474,120.714156,2013
5.08,38,57.502839,-17.237019,-74.739858,2014
5.08,38,-115.699175,64.89762,180.596795,2015
5.08,38,22.447443,-42.681275,-65.128718,2016
5.08,38,35.327918,29.077454,-6.250464,2017
5.08,38,-58.121983,51.829403,109.951386,2018
5.08,38,-82.803955,-82.866668,-0.0627130000000022,2019
5.08,39,91.698617,35.000823,-56.697794,2011
5.08,39,38.001888,57.458227,19.456339,2012
5.08,39,-93.422682,17.173251,110.595933,2013
5.08,39,57.502839,90.000487,32.497648,2014
5.08,39,-115.699175,57.80906,173.508235,2015
5.08,39,22.447443,36.280712,13.833269,2016
5.08,39,35.327918,53.313663,17.985745,2017
5.08,39,-58.121983,55.787358,113.909341,2018
5.08,39,-82.803955,102.405051,185.209006,2019
5.08,40,-314.579208,-285.315103,29.264105,2015
5.08,40,-345.297835,-299.399816,45.898019,2017
5.08,40,-321.803614,-320.509262,1.294352,2018
5.08,40,-212.779204,-278.562562,-65.783358,2020
5.08,41,109.000005,101.000041,-7.99996400000001,2009
5.08,41,165.100993,141.365222,-23.735771,2010
5.08,41,154.999299,133.362735,-21.636564,2011
5.08,41,75.403599,103.053679,27.65008,2012
5.08,42,33.491907,-251.082786,-284.574693,2015
5.08,44,-281,-218.552317,62.447683,2008
5.08,44,-312.248636,-224.484473,87.764163,2009
5.08,44,-256.217398,-255.202844,1.014554,2010
5.08,44,-318.216701,-201,117.216701,2011
5.08,44,-294.99999,-183.684839,111.315151,2012
5.08,44,-257.619201,-133.664651,123.95455,2015
5.08,44,-324.996977,-227.805252,97.191725,2016
5.08,47,-61.45678,-230.178881,-168.722101,2006
5.08,47,-117.370365,-225.671517,-108.301152,2008
5.08,47,-77.138417,-125.180892,-48.042475,2009
5.08,47,-183.999842,-168.67207,15.327772,2011
5.08,48,-101,-72.756136,28.243864,2017
5.08,48,-84.017319,-57.550948,26.466371,2018
5.08,48,-60,36.123608,96.123608,2019
5.08,49,-190.832199,-272.516595,-81.684396,2001
5.08,49,-228.284722,-247.72774,-19.443018,2002
5.08,49,-185.356242,-174.748971,10.607271,2003
5.08,49,-203.469988,-214.632,-11.162012,2004
5.08,49,-203.948496,-216.660398,-12.711902,2005
5.08,49,-173.999983,-229.863665,-55.863682,2006
5.08,49,-173.001435,-349.974315,-176.97288,2007
5.08,50,-203.725535,-267.16708,-63.441545,2009
5.08,50,-207.306223,-237.440104,-30.133881,2010
5.08,50,-170.000056,-187.862528,-17.862472,2011
5.08,50,-340.760351,-207.997437,132.762914,2012
5.08,50,-144.596062,-257.106601,-112.510539,2013
5.08,50,-231.573092,-270,-38.426908,2014
5.08,50,-202.985508,-256,-53.014492,2015
5.08,50,-214.449428,-246.99983,-32.550402,2016
5.08,50,-211.000032,-194.406699,16.593333,2017
5.08,50,-183.768166,-252.238429,-68.470263,2018
5.08,50,-180.000021,-228.536539,-48.536518,2019
5.08,50,-214.404798,-265.470167,-51.065369,2020
5.08,51,-256.712351,90.581241,347.293592,2013
5.08,51,-342.214956,50.48689,392.701846,2016
5.08,51,-321.305873,84.154817,405.46069,2017
5.08,51,-320.742291,133,453.742291,2018
5.08,51,-289.51456,105.723296,395.237856,2019
5.08,52,46.612392,93.515918,46.903526,2016
5.08,52,42.452183,85.687379,43.235196,2017
5.08,52,71.999999,114.98646,42.986461,2019
5.08,53,66.754395,106.625245,39.87085,2008
5.08,53,141.46982,90.740909,-50.728911,2009
5.08,53,154.00029,119.487828,-34.512462,2010
5.08,53,148.99987,91.773488,-57.226382,2011
5.08,53,74.344783,97.329116,22.984333,2012
5.08,54,-312.645068,-252.168399,60.476669,2015
5.08,54,-294.000038,-252.046325,41.953713,2016
5.08,54,-226.825704,-212.903027,13.922677,2017
5.08,54,-286.829547,-263.235424,23.594123,2018
5.08,54,-221.732653,-149.152865,72.579788,2020
5.08,55,-217.999941,-241.597146,-23.597205,2008
5.08,55,-226.295108,-160.803979,65.491129,2009
5.08,55,-172.861897,-163.114107,9.74779000000001,2010
5.08,55,-203.967619,-221.855136,-17.887517,2011
5.08,55,-170.504897,-219.569353,-49.064456,2012
5.08,55,-222.186753,-255.617807,-33.431054,2013
5.08,55,-274.72647,-217.391041,57.335429,2014
5.08,55,-230.472039,-239.451692,-8.97965300000001,2015
5.08,55,-145.999993,-224.549886,-78.549893,2016
5.08,55,-188.26125,-182.020321,6.24092899999999,2017
5.08,55,-211.294591,-249.196326,-37.901735,2018
5.08,55,-216.175976,-263.508393,-47.332417,2019
5.08,55,-187.528852,-198.476875,-10.948023,2020
5.08,56,-283.478497,-323.474617,-39.99612,2011
5.08,56,-290.224631,-290.241009,-0.0163780000000315,2012
5.08,56,-220.221241,-244.239263,-24.018022,2014
5.08,56,-234.175532,-295.354953,-61.179421,2015
5.08,56,-342.328084,-272,70.328084,2017
5.08,56,-313.488155,-118.847537,194.640618,2018
5.08,56,-153.37382,-230.029996,-76.656176,2019
5.08,56,-276.359798,-254.670158,21.68964,2020
5.08,57,64.554591,47.111008,-17.443583,2008
5.08,57,84.660303,50.825342,-33.834961,2009
5.08,57,75.884455,89.604886,13.720431,2010
5.08,57,123.000039,89.329833,-33.670206,2013
