depth,station,insitu,gldas
5.08,1,NaN,NaN
5.08,1,NaN,14.2150802543772
5.08,1,NaN,NaN
5.08,2,35.0454891889677,NaN
5.08,2,43.9828235660461,36.631545926454
5.08,2,NaN,18.6694337571697
5.08,2,104.02940248361,47.0739000131849
5.08,2,NaN,NaN
5.08,2,NaN,NaN
5.08,2,30.904311843763,NaN
5.08,2,NaN,NaN
5.08,2,31.2756524241546,18.7774054139138
5.08,2,NaN,NaN
5.08,2,NaN,NaN
5.08,2,17.9998394511387,NaN
5.08,2,NaN,NaN
5.08,2,NaN,NaN
5.08,2,NaN,NaN
5.08,2,18.7621384196015,29.3584784389748
5.08,3,11.0000001686371,NaN
5.08,3,NaN,NaN
5.08,3,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,59.7404736091069,43.011788300912
5.08,4,33.5298707045496,NaN
5.08,4,43.1323192029232,18.0000971668641
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,5,NaN,62.9680089671561
5.08,5,8.20754289443144,123.999999217095
5.08,5,NaN,NaN
5.08,5,NaN,NaN
5.08,5,NaN,73.6744251853277
5.08,5,NaN,NaN
5.08,9,NaN,NaN
5.08,9,51.7818682084883,NaN
5.08,9,99.6304823055907,54.6166297665612
5.08,9,NaN,NaN
5.08,9,NaN,NaN
5.08,9,NaN,24.9964469069807
5.08,9,NaN,NaN
5.08,9,NaN,NaN
5.08,9,NaN,7.07606063635629
5.08,9,7.86164470640421,43.4999123504396
5.08,9,115.327673731176,NaN
5.08,9,NaN,NaN
5.08,10,NaN,NaN
5.08,10,20.0334605274708,52.9726720261637
5.08,10,NaN,78.0734237882697
5.08,10,7.16338086749369,60.75833305328
5.08,10,NaN,36.5819122087028
5.08,10,NaN,36.4889842404132
5.08,10,NaN,64.4530792442349
5.08,10,16.1763103566276,10.7559504320964
5.08,10,NaN,17.0000537174176
5.08,10,18.8934984346016,103.211315120867
5.08,10,44.5831166156666,31.7528524783121
5.08,10,NaN,NaN
5.08,11,NaN,NaN
5.08,11,NaN,16.3332218655873
5.08,11,21.2574877943121,103.551207000898
5.08,11,76.8864825468161,86.7341227237446
5.08,11,NaN,NaN
5.08,12,NaN,NaN
5.08,12,NaN,NaN
5.08,12,13.7499304491941,NaN
5.08,12,34.6991856914164,51.4121578816577
5.08,12,9.3121168317318,30.2061071063578
5.08,12,88.4159187770284,15.1145036249006
5.08,12,NaN,7.06159852159407
5.08,12,NaN,9.39393922075606
5.08,12,45.9748611192423,NaN
5.08,13,NaN,NaN
5.08,13,NaN,NaN
5.08,13,NaN,23.1282586260216
5.08,14,NaN,NaN
5.08,14,28.0071725450367,57.0110190339663
5.08,14,126.668975664751,30.9010045073194
5.08,14,NaN,NaN
5.08,14,145.247800884502,NaN
5.08,14,NaN,45.8170464627397
5.08,15,NaN,NaN
5.08,15,128.304897751188,22.7928847550546
5.08,15,NaN,NaN
5.08,15,NaN,NaN
5.08,15,NaN,33.2244889410407
5.08,15,NaN,NaN
5.08,15,NaN,NaN
5.08,15,NaN,NaN
5.08,15,33.2850984798149,NaN
5.08,17,NaN,NaN
5.08,17,NaN,NaN
5.08,17,NaN,NaN
5.08,17,27.3808992347858,24.5632771684262
5.08,17,11.5407882965212,75.3748873427877
5.08,17,NaN,20.6710092965755
5.08,19,NaN,NaN
5.08,21,NaN,NaN
5.08,21,105.349577362275,48.8742657132124
5.08,21,50.8811053020306,72.3401336215663
5.08,21,40.066729709126,52.4234515304054
5.08,21,96.9999842049165,105.999838451688
5.08,21,NaN,58.2497955150289
5.08,21,30.197799793746,21.7223935921328
5.08,21,NaN,NaN
5.08,21,77.2599570591716,NaN
5.08,21,57.4071216549045,61.300283254127
5.08,21,43.3181385304565,19.5674643845729
5.08,21,51.8062072694701,NaN
5.08,22,NaN,NaN
5.08,22,NaN,34.9688894185863
5.08,22,48.0007717038309,42.325601341949
5.08,22,22.221837909023,13.5347161475436
5.08,22,86.3685149418961,104.418161518007
5.08,22,21.9105195548142,NaN
5.08,22,NaN,149.984185599843
5.08,22,NaN,62.525431011721
5.08,22,11.6479998511422,NaN
5.08,22,NaN,90.5564453233846
5.08,22,70.0012980092933,15.5617360948537
5.08,22,35.8936434289323,NaN
5.08,24,NaN,34.7974078575375
5.08,24,NaN,NaN
5.08,24,NaN,NaN
5.08,24,NaN,19.4055635335446
5.08,24,NaN,58.9985029404797
5.08,24,NaN,24.8428539818894
5.08,24,NaN,NaN
5.08,25,NaN,NaN
5.08,25,NaN,NaN
5.08,25,NaN,NaN
5.08,25,42.5287435994843,52.4100015587471
5.08,26,NaN,NaN
5.08,26,NaN,36.2258296352262
5.08,26,11.6415021406977,30.1453196941245
5.08,26,78.6502212464246,149.991065512739
5.08,26,96.4007650620483,39.4413109433366
5.08,26,149.995742913394,10.3222833847122
5.08,26,NaN,36.0626397728112
5.08,26,NaN,12.5924214532598
5.08,26,26.4042827747185,149.998206652282
5.08,26,NaN,62.1367729734289
5.08,26,68.0054664040784,28.672311645446
5.08,26,NaN,NaN
5.08,26,NaN,NaN
5.08,26,31.6495046158005,NaN
5.08,26,NaN,NaN
5.08,27,NaN,NaN
5.08,27,81.9999990989264,50.5805833486716
5.08,27,72.0003644404797,27.4211251161799
5.08,27,NaN,NaN
5.08,27,NaN,35.5404031173187
5.08,27,NaN,14.8442633735768
5.08,27,NaN,41.7560538117825
5.08,27,19.0423384189173,36.0772896956673
5.08,27,80.9645191444377,40.0752685558457
5.08,28,NaN,NaN
5.08,28,20.7912709160105,57.0164249583642
5.08,28,55.3126480009743,69.0881242880577
5.08,28,NaN,54.5854443992589
5.08,28,20.9323269809538,126.404984928713
5.08,28,NaN,51.3992332775174
5.08,28,NaN,145.999915319638
5.08,28,NaN,37.7214579323437
5.08,28,NaN,116.995804491256
5.08,28,NaN,NaN
5.08,28,NaN,66.0715046991213
5.08,28,NaN,100.325692525997
5.08,29,NaN,NaN
5.08,29,NaN,74.4723338356962
5.08,29,24.6048637979634,20.756915267976
5.08,29,31.570779678305,149.999340762703
5.08,29,12.3772967986262,105.03100933058
5.08,29,41.909376803185,52.2767719389753
5.08,29,90.948666840904,58.3417261870179
5.08,29,57.4987794783362,NaN
5.08,29,10.5042984934472,14.6013014563362
5.08,30,NaN,NaN
5.08,30,NaN,82.8905530923907
5.08,30,NaN,41.9999727171536
5.08,30,NaN,74.7951102966445
5.08,30,69.4562111106303,39.5542348332269
5.08,30,NaN,140.517221520523
5.08,30,NaN,138.575818664323
5.08,30,28.0269938008356,39.0308132924942
5.08,30,NaN,76.0061726277989
5.08,31,NaN,NaN
5.08,31,149.998404004794,72.2800902317307
5.08,31,NaN,149.994380304454
5.08,31,NaN,18.7389790154173
5.08,31,55.9999986520911,9.24118453320236
5.08,31,96.2184801952446,64.8188796656051
5.08,31,149.981861176614,33.3043901003133
5.08,31,48.4259312491535,31.6480989737464
5.08,31,NaN,17.1360161646175
5.08,33,NaN,NaN
5.08,33,NaN,NaN
5.08,33,NaN,NaN
5.08,35,NaN,NaN
5.08,35,NaN,39.8696567793638
5.08,35,NaN,NaN
5.08,35,NaN,NaN
5.08,35,NaN,19.1228323166352
5.08,35,NaN,NaN
5.08,35,NaN,23.1114627645696
5.08,35,NaN,NaN
5.08,35,NaN,30.1309107304663
5.08,35,19.9999998928732,NaN
5.08,35,NaN,NaN
5.08,35,9.04539791594385,18.6864052724441
5.08,36,NaN,NaN
5.08,36,127.420807707867,35.4309117882579
5.08,36,91.4205610206745,57.6217533847188
5.08,36,NaN,14.6786284713542
5.08,36,NaN,NaN
5.08,36,NaN,NaN
5.08,36,39.3861104190793,113.999991882776
5.08,36,68.3597351623236,80.6906293463261
5.08,36,74.1433244991643,14.1622620071167
5.08,36,NaN,124.499175535613
5.08,36,149.998493275202,122.851445749286
5.08,37,NaN,NaN
5.08,37,NaN,NaN
5.08,37,NaN,NaN
5.08,37,NaN,NaN
5.08,37,NaN,NaN
5.08,37,52.6126311710047,35.8826868220008
5.08,37,NaN,NaN
5.08,37,NaN,32.0210188608206
5.08,37,NaN,38.6153831494124
5.08,38,NaN,NaN
5.08,38,NaN,NaN
5.08,38,17.7664683120833,NaN
5.08,38,NaN,NaN
5.08,38,NaN,NaN
5.08,38,NaN,36.4987573054991
5.08,38,NaN,NaN
5.08,38,96.5823367169508,31.732611976884
5.08,38,NaN,38.6861328979117
5.08,39,NaN,NaN
5.08,39,NaN,NaN
5.08,39,NaN,NaN
5.08,39,NaN,NaN
5.08,39,33.1911592313642,NaN
5.08,39,45.1897229077872,36.2988580405712
5.08,39,77.0000011053129,NaN
5.08,39,NaN,61.5016812067206
5.08,39,NaN,35.9999997323377
5.08,40,NaN,NaN
5.08,40,NaN,50.9999995818842
5.08,40,NaN,NaN
5.08,40,NaN,120.096562880472
5.08,40,NaN,NaN
5.08,40,NaN,NaN
5.08,41,NaN,NaN
5.08,41,16.4047909003431,54.7232642874095
5.08,41,NaN,NaN
5.08,41,85.5318617862146,80.0183443124476
5.08,42,NaN,NaN
5.08,42,NaN,51.0000004294455
5.08,42,NaN,7.95018256754519
5.08,42,88.5004860865171,119.384614280014
5.08,42,18.0806140407285,50.0124612496807
5.08,42,NaN,NaN
5.08,44,NaN,NaN
5.08,44,23.9999994427697,NaN
5.08,44,33.4230752540265,49.0727407002797
5.08,44,22.3764406259666,NaN
5.08,44,NaN,NaN
5.08,44,45.2485782860713,43.0740157814201
5.08,44,NaN,30.6487834265459
5.08,44,46.5619925146664,NaN
5.08,44,NaN,20.0002814778228
5.08,44,66.9999953830462,41.3454497895203
5.08,46,NaN,NaN
5.08,47,NaN,NaN
5.08,47,22.8815791233562,NaN
5.08,47,NaN,NaN
5.08,47,38.5435780007937,NaN
5.08,47,106.619222991093,NaN
5.08,47,NaN,68.999998971007
5.08,48,NaN,NaN
5.08,48,NaN,NaN
5.08,48,NaN,NaN
5.08,49,72.6802632095209,38.2629171966755
5.08,49,NaN,107.376182507383
5.08,49,27.2787219211067,87.4442890079712
5.08,49,52.9878342027095,76.1501203002085
5.08,49,NaN,116.703074815907
5.08,49,66.3311663127993,149.992179849597
5.08,49,65.6639892784947,90.9256459559948
5.08,50,NaN,NaN
5.08,50,73.0063795961211,107.464100418452
5.08,50,NaN,57.6757455379697
5.08,50,NaN,86.9428507183376
5.08,50,69.1313577376368,115.211132442191
5.08,50,52.2852234722189,144.54637702181
5.08,50,18.6842918781941,92.6350226484421
5.08,50,87.9721284001415,134.200162946906
5.08,50,64.6972164577767,117.245806630492
5.08,50,46.8573961874578,73.5990144605249
5.08,50,57.0974300451845,135.582431585391
5.08,50,29.7631407860394,119.749321380908
5.08,51,NaN,NaN
5.08,51,NaN,45.6579257728063
5.08,51,NaN,20.3927990158978
5.08,51,NaN,80.6768336202112
5.08,51,NaN,31.5905337523733
5.08,51,NaN,50.9999799069831
5.08,51,NaN,84.0581753283898
5.08,51,NaN,34.2018174330606
5.08,51,43.7837161660353,11.7455541944784
5.08,51,NaN,87.1474058744978
5.08,52,NaN,NaN
5.08,52,NaN,78.4865290554121
5.08,52,26.3925255481777,NaN
5.08,52,NaN,NaN
5.08,52,NaN,NaN
5.08,52,NaN,26.0600245929006
5.08,52,71.0000586676239,100.449353231075
5.08,52,54.3541009854713,149.955334197088
5.08,52,NaN,14.7065475581961
5.08,52,61.5356060672926,67.689339368193
5.08,53,NaN,NaN
5.08,53,77.8217211338985,52.8936508341235
5.08,53,NaN,71.984613954638
5.08,53,25.6982907340431,82.674236193402
5.08,53,48.427001201128,148.504915574155
5.08,54,NaN,NaN
5.08,54,NaN,9.36767595938685
5.08,54,42.555940928814,NaN
5.08,54,40.8490910447708,NaN
5.08,54,11.3681797370519,NaN
5.08,54,NaN,NaN
5.08,55,NaN,NaN
5.08,55,10.9265139060731,78.6310094223588
5.08,55,83.6584610640449,50.5662119039871
5.08,55,116.048239588591,75.8091919062241
5.08,55,NaN,NaN
5.08,55,NaN,72.3432711442949
5.08,55,NaN,87.9835414206765
5.08,55,NaN,83.3764462582175
5.08,55,42.0645175487059,149.774394674905
5.08,55,57.0990251066291,100.591998269769
5.08,55,13.0203852506246,117.141637453648
5.08,55,18.433185365484,134.186110482585
5.08,55,12.0633856842139,149.794208600339
5.08,56,NaN,NaN
5.08,56,NaN,26.2920437754426
5.08,56,NaN,120.732074324638
5.08,56,NaN,NaN
5.08,56,NaN,101.901533883068
5.08,56,76.0085003013915,58.730027109382
5.08,56,NaN,16.5060121837648
5.08,56,30.6812066947734,30.130457617622
5.08,56,NaN,NaN
5.08,56,27.1822316977856,NaN
5.08,57,NaN,NaN
5.08,57,53.5912176664507,87.3475033642003
5.08,57,NaN,55.9436957255477
5.08,57,125.000021135645,89.60886651384
5.08,57,28.0000762651449,107.681704423794
5.08,57,NaN,37.6231631985841
5.08,57,NaN,17.4294312878245
