depth,station,insitu,gldas
5.08,1,NaN,NaN
5.08,1,NaN,730787.999999943
5.08,1,NaN,NaN
5.08,2,731992.190543097,NaN
5.08,2,732157.982823566,732150.999999951
5.08,2,NaN,732521.962749635
5.08,2,732893.116839448,732891.999999718
5.08,2,NaN,NaN
5.08,2,NaN,NaN
5.08,2,733976.904314767,NaN
5.08,2,NaN,NaN
5.08,2,734745.999999982,734713.777252982
5.08,2,NaN,NaN
5.08,2,NaN,NaN
5.08,2,735795.999999918,NaN
5.08,2,NaN,NaN
5.08,2,NaN,NaN
5.08,2,NaN,NaN
5.08,2,737267.999999833,737269.999999695
5.08,3,736000.999999914,NaN
5.08,3,NaN,NaN
5.08,3,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,734189.740473594,734175.805380847
5.08,4,734457.999999933,NaN
5.08,4,734789.368080252,734821.99999988
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,5,NaN,730603.121276554
5.08,5,730788.107571324,730881.999999217
5.08,5,NaN,NaN
5.08,5,NaN,NaN
5.08,5,NaN,732028.206860881
5.08,5,NaN,NaN
5.08,9,NaN,NaN
5.08,9,733508.782749023,NaN
5.08,9,733807.623101949,733751.91178777
5.08,9,NaN,NaN
5.08,9,NaN,NaN
5.08,9,NaN,734836.994072758
5.08,9,NaN,NaN
5.08,9,NaN,NaN
5.08,9,NaN,735935.999999867
5.08,9,736353.383615471,736277.436547146
5.08,9,736713.76648133,NaN
5.08,9,NaN,NaN
5.08,10,NaN,NaN
5.08,10,733460.999999975,733421.638680719
5.08,10,NaN,733790.000009704
5.08,10,734026.865216367,734176.356801198
5.08,10,NaN,734493.178510924
5.08,10,NaN,734900.744284415
5.08,10,NaN,735216.453079243
5.08,10,735480.829456886,735569.424681167
5.08,10,NaN,735949.000056226
5.08,10,736257.999999888,736347.558432367
5.08,10,736663.747612546,736686.752863084
5.08,10,NaN,NaN
5.08,11,NaN,NaN
5.08,11,NaN,735936.999999792
5.08,11,736337.999999956,736327.699978291
5.08,11,736705.962111746,736715.027347352
5.08,11,NaN,NaN
5.08,12,NaN,NaN
5.08,12,NaN,NaN
5.08,12,733468.468513845,NaN
5.08,12,733865.000883943,733756.57201638
5.08,12,734292.312116834,734307.928895336
5.08,12,734596.999999424,734486.000000001
5.08,12,NaN,734864.460484855
5.08,12,NaN,735158.999999866
5.08,12,735688.974876331,NaN
5.08,13,NaN,NaN
5.08,13,NaN,NaN
5.08,13,NaN,736614.999999913
5.08,14,NaN,NaN
5.08,14,735664.999999345,735682.99999989
5.08,14,736101.026798012,736094.000000001
5.08,14,NaN,NaN
5.08,14,736825.99999995,NaN
5.08,14,NaN,737095.999999775
5.08,15,NaN,NaN
5.08,15,732690.312484487,732542.325142224
5.08,15,NaN,NaN
5.08,15,NaN,NaN
5.08,15,NaN,733602.999999931
5.08,15,NaN,NaN
5.08,15,NaN,NaN
5.08,15,NaN,NaN
5.08,15,735063.999999983,NaN
5.08,17,NaN,NaN
5.08,17,NaN,NaN
5.08,17,NaN,NaN
5.08,17,736367.000009716,736253.999999965
5.08,17,736705.017976106,736716.677082659
5.08,17,NaN,737085.234642058
5.08,19,NaN,NaN
5.08,21,NaN,NaN
5.08,21,733457.620434609,733414.873766356
5.08,21,733819.000023473,733776.999999307
5.08,21,734183.371551314,734157.999999753
5.08,21,734493.999998796,734518.999999978
5.08,21,NaN,734875.249788055
5.08,21,735083,735217.102394951
5.08,21,NaN,NaN
5.08,21,736044.259956948,NaN
5.08,21,736288,736340.000000001
5.08,21,736655.702687979,736693.566345599
5.08,21,737074.898700842,NaN
5.08,22,NaN,NaN
5.08,22,NaN,733404.59155743
5.08,22,733721.999999832,733776.757618207
5.08,22,734079.221837872,734129.191085204
5.08,22,734483.368461522,734524.233646141
5.08,22,734832.000008864,NaN
5.08,22,NaN,735273.999999992
5.08,22,NaN,735616.211748555
5.08,22,735842.204516363,NaN
5.08,22,NaN,736344.999998553
5.08,22,736740.999999969,736682.38584331
5.08,22,737094.999999888,NaN
5.08,24,NaN,734945.753952006
5.08,24,NaN,NaN
5.08,24,NaN,NaN
5.08,24,NaN,735938.001035656
5.08,24,NaN,736260.000000001
5.08,24,NaN,736548.995733381
5.08,24,NaN,NaN
5.08,25,NaN,NaN
5.08,25,NaN,NaN
5.08,25,NaN,NaN
5.08,25,731317.000028733,731265.123054023
5.08,26,NaN,NaN
5.08,26,NaN,732334.999999844
5.08,26,732753.99999998,732672.999999809
5.08,26,732998.650170894,733092.451964459
5.08,26,733523.400715657,733417.44130982
5.08,26,733862,733751.999826975
5.08,26,NaN,734150.997946055
5.08,26,NaN,734487.207346674
5.08,26,734957.000000001,734923.043567399
5.08,26,NaN,735197.673797138
5.08,26,735686.999999988,735589.642134727
5.08,26,NaN,NaN
5.08,26,NaN,NaN
5.08,26,736746.999999726,NaN
5.08,26,NaN,NaN
5.08,27,NaN,NaN
5.08,27,734478.999999988,734499.866767929
5.08,27,734931.000368932,734783.764469036
5.08,27,NaN,NaN
5.08,27,NaN,735592.540402184
5.08,27,NaN,735946.999999991
5.08,27,NaN,736295.999999276
5.08,27,736736.999089513,736689.221494007
5.08,27,737135.99999954,737091.727945842
5.08,28,NaN,NaN
5.08,28,733453.692935424,733418.999999882
5.08,28,733812.00075656,733778.999999954
5.08,28,NaN,734154.273862682
5.08,28,734419.000088994,734525.999999676
5.08,28,NaN,734790.678682139
5.08,28,NaN,735263.999926803
5.08,28,NaN,735503.721457861
5.08,28,NaN,735965.000081346
5.08,28,NaN,NaN
5.08,28,NaN,736709.000000002
5.08,28,NaN,737120.307646217
5.08,29,NaN,NaN
5.08,29,NaN,734498.825021197
5.08,29,734785.999999942,734897.756587082
5.08,29,735215.570779117,735284.975623523
5.08,29,735482.999999919,735638.728047522
5.08,29,735958.695619495,735966.254515529
5.08,29,736388.363918169,736321.836891253
5.08,29,736634.827063754,NaN
5.08,29,736960.787363646,737072.999999269
5.08,30,NaN,NaN
5.08,30,NaN,734511.890272719
5.08,30,NaN,734784.000000001
5.08,30,NaN,735217.209092982
5.08,30,735481.999999947,735587.554193127
5.08,30,NaN,735995.000131654
5.08,30,NaN,736374.999999987
5.08,30,736704.19908341,736705.779818532
5.08,30,NaN,737093.000712797
5.08,31,NaN,NaN
5.08,31,734566.626064755,734501.993280213
5.08,31,NaN,734881.133430598
5.08,31,NaN,735221.554452337
5.08,31,735569.999998453,735569.241184461
5.08,31,736045.971989134,735994.345148713
5.08,31,736382.649120099,736288.666954572
5.08,31,736691.535319286,736684.578233656
5.08,31,NaN,737075.999999979
5.08,33,NaN,NaN
5.08,33,NaN,NaN
5.08,33,NaN,NaN
5.08,35,NaN,NaN
5.08,35,NaN,733413.999999984
5.08,35,NaN,NaN
5.08,35,NaN,NaN
5.08,35,NaN,734489.99999987
5.08,35,NaN,NaN
5.08,35,NaN,735166.911313736
5.08,35,NaN,NaN
5.08,35,NaN,736140.308938704
5.08,35,736388.99999985,NaN
5.08,35,NaN,NaN
5.08,35,737144.999999899,737079.999999992
5.08,36,NaN,NaN
5.08,36,734162.051856461,734131.36946392
5.08,36,734523,734483.30904371
5.08,36,NaN,734773.491726521
5.08,36,NaN,NaN
5.08,36,NaN,NaN
5.08,36,735897.386108536,735970.999999498
5.08,36,736321,736328.407718049
5.08,36,736734.00057807,736676.826137661
5.08,36,NaN,737060.49911673
5.08,36,737482.31984178,737446.851393943
5.08,37,NaN,NaN
5.08,37,NaN,NaN
5.08,37,NaN,NaN
5.08,37,NaN,NaN
5.08,37,NaN,NaN
5.08,37,735813.999999682,735811
5.08,37,NaN,NaN
5.08,37,NaN,736490.021018763
5.08,37,NaN,736875.028556334
5.08,38,NaN,NaN
5.08,38,NaN,NaN
5.08,38,734696.611699949,NaN
5.08,38,NaN,NaN
5.08,38,NaN,NaN
5.08,38,NaN,735810.999999869
5.08,38,NaN,NaN
5.08,38,736548.58234375,736489.732611826
5.08,38,NaN,736874.686132889
5.08,39,NaN,NaN
5.08,39,NaN,NaN
5.08,39,NaN,NaN
5.08,39,NaN,NaN
5.08,39,735443.999999606,NaN
5.08,39,735813.999999965,735810.692361362
5.08,39,736296.000000001,NaN
5.08,39,NaN,736511.516584484
5.08,39,NaN,736873.999999838
5.08,40,NaN,NaN
5.08,40,NaN,735470.999999904
5.08,40,NaN,NaN
5.08,40,NaN,736343.999999838
5.08,40,NaN,NaN
5.08,40,NaN,NaN
5.08,41,NaN,NaN
5.08,41,733777.404790901,733755.883814012
5.08,41,NaN,NaN
5.08,41,734492.999999829,734489.337795181
5.08,42,NaN,NaN
5.08,42,NaN,735470.999999897
5.08,42,NaN,735936.944676533
5.08,42,736420.973323773,736343.999999799
5.08,42,736692.08046125,736715.999999931
5.08,42,NaN,NaN
5.08,44,NaN,NaN
5.08,44,733108.999999692,NaN
5.08,44,733478.99999998,733420.861307234
5.08,44,733849.999999994,NaN
5.08,44,NaN,NaN
5.08,44,734586.080650759,734512.461866349
5.08,44,NaN,734987.999999984
5.08,44,735325.999999861,NaN
5.08,44,NaN,735601.715799679
5.08,44,736036.999999931,735944.34544979
5.08,46,NaN,NaN
5.08,47,NaN,NaN
5.08,47,732461.999999983,NaN
5.08,47,NaN,NaN
5.08,47,733042.226081035,NaN
5.08,47,733608.619222989,NaN
5.08,47,NaN,733930.99999938
5.08,48,NaN,NaN
5.08,48,NaN,NaN
5.08,48,NaN,NaN
5.08,49,730588.680263199,730611.052911655
5.08,49,NaN,730861.86686411
5.08,49,731172.999999826,731200.469885652
5.08,49,731572.357857793,731584.000032179
5.08,49,NaN,731971.999999968
5.08,49,732279.663423001,732307.992179786
5.08,49,732632.009363542,732651.695888319
5.08,50,NaN,NaN
5.08,50,733384.006576038,733413.000000001
5.08,50,NaN,733760.999999712
5.08,50,NaN,734134.999999516
5.08,50,734451.145748691,734499.999999524
5.08,50,734913.285222367,734891.999999995
5.08,50,735172.732089119,735226.999999767
5.08,50,735669.949286546,735603.999999777
5.08,50,735982.761106111,735977
5.08,50,736321.09389947,736330
5.08,50,736788.517611601,736716
5.08,50,737020,737061.999999801
5.08,51,NaN,NaN
5.08,51,NaN,734498
5.08,51,NaN,734821.999999941
5.08,51,NaN,735208.456590055
5.08,51,NaN,735494.63218029
5.08,51,NaN,735838.999999842
5.08,51,NaN,736375.000213747
5.08,51,NaN,736607.000038979
5.08,51,736915.99999968,736894.873532551
5.08,51,NaN,737470.130576003
5.08,52,NaN,NaN
5.08,52,NaN,734547.459359085
5.08,52,734711.99999973,NaN
5.08,52,NaN,NaN
5.08,52,NaN,NaN
5.08,52,NaN,735797.060010876
5.08,52,736313.99999931,736345.000023979
5.08,52,736644.478199765,736699.707086796
5.08,52,NaN,736900.99999996
5.08,52,737366.000000008,737307.87991205
5.08,53,NaN,NaN
5.08,53,733776.950500384,733754.729080347
5.08,53,NaN,734157.838877202
5.08,53,734436.907475051,734488.999999422
5.08,53,734853.427000899,734897.504915553
5.08,54,NaN,NaN
5.08,54,NaN,735559.367616577
5.08,54,735980.416237531,NaN
5.08,54,736257.999999972,NaN
5.08,54,736698.222965827,NaN
5.08,54,NaN,NaN
5.08,55,NaN,NaN
5.08,55,733047.99999999,733045.999999999
5.08,55,733421.999999993,733416.000000002
5.08,55,733805.999999721,733775.999999995
5.08,55,NaN,NaN
5.08,55,NaN,734479.99999928
5.08,55,NaN,734829.768362688
5.08,55,NaN,735235.834674756
5.08,55,735643.999999965,735610.143884273
5.08,55,736004.438054005,735950.592006542
5.08,55,736273.000000001,736344.000000002
5.08,55,736633.086619951,736707.999999509
5.08,55,737076.72449289,737128.999999831
5.08,56,NaN,NaN
5.08,56,NaN,734142.987403244
5.08,56,NaN,734517.999999192
5.08,56,NaN,NaN
5.08,56,NaN,735231.786771297
5.08,56,735672.000029595,735594.999892724
5.08,56,NaN,735936.999999663
5.08,56,736244.999999847,736274.76673385
5.08,56,NaN,NaN
5.08,56,737166.572099668,NaN
5.08,57,NaN,NaN
5.08,57,733482.591217663,733445.625944236
5.08,57,NaN,733772.230134342
5.08,57,734184.999999992,734160.999999552
5.08,57,734418.000076259,734510.00004699
5.08,57,NaN,734766.623164828
5.08,57,NaN,735210.362279024
5.08,57,735473.99999983,735487.999999987
5.08,57,735872.999999979,735997.266278601
5.08,57,NaN,736341.000000138
5.08,57,736704.861384344,736699.221736655
5.08,57,NaN,736938.44911316
5.08,58,NaN,NaN
5.08,58,733466.999998719,NaN
5.08,58,NaN,733769.998336493
5.08,58,734199.35559999,734146.085874871
5.08,58,NaN,734493.360768089
5.08,58,734789.540962482,734782.999999998
5.08,58,735191.999999886,NaN
5.08,58,735655.907457986,735566.203040986
5.08,58,736028.999999453,NaN
5.08,58,736292.999999719,736337.059893929
5.08,58,NaN,736695.999999718
5.08,58,NaN,737087.999671786
5.08,59,NaN,NaN
5.08,59,733108.894672528,733091.697696539
5.08,59,733468.999999814,733420.473822861
5.08,59,NaN,733772.661048114
5.08,59,NaN,734142.634176206
5.08,59,NaN,734489
5.08,59,734971.999999308,NaN
5.08,59,NaN,735168.984796974
5.08,59,NaN,735594.202644415
5.08,59,736034.999999944,NaN
5.08,59,736303.999999995,NaN
5.08,59,NaN,736608.999999794
5.08,59,NaN,NaN
5.08,60,NaN,NaN
5.08,60,NaN,735936.999999944
5.08,60,NaN,736273.610440767
5.08,60,736668.914697799,736666.657398867
5.08,60,NaN,NaN
5.08,61,NaN,NaN
5.08,61,NaN,NaN
5.08,61,NaN,733777.10541469
5.08,61,NaN,734154
5.08,61,734497.000036635,734487.453704005
5.08,61,NaN,NaN
5.08,61,NaN,NaN
5.08,61,NaN,735619.999999737
5.08,61,NaN,NaN
5.08,61,NaN,736361.615094567
5.08,61,736740.999999989,736722.696170556
5.08,61,NaN,737142.99999939
5.08,62,NaN,NaN
5.08,62,NaN,NaN
5.08,62,733814.999999797,733952.50852118
5.08,62,734200.999999945,NaN
5.08,62,734594.754468958,NaN
5.08,62,NaN,NaN
5.08,62,NaN,NaN
5.08,62,735647.999999974,NaN
5.08,62,735994.823169623,NaN
5.08,62,NaN,NaN
5.08,62,736726.999999934,736691.999999774
5.08,62,737122.999999996,737098.024439382
5.08,63,NaN,NaN
5.08,63,NaN,NaN
5.08,63,730914.405845512,730829.951183932
5.08,63,NaN,NaN
5.08,63,NaN,NaN
5.08,63,NaN,NaN
5.08,63,NaN,NaN
5.08,65,NaN,NaN
5.08,65,734578.000000001,734522.803994559
