depth,station,insitu,gldas
5.08,1,730619.411390118,NaN
5.08,1,730966.798364245,730969.999999863
5.08,1,NaN,NaN
5.08,2,732086.634599214,732082.040857267
5.08,2,732413.537303525,732502.001144584
5.08,2,NaN,732656.722352013
5.08,2,733197.178948805,733100.725495804
5.08,2,NaN,733497.854154494
5.08,2,NaN,NaN
5.08,2,734267.421974644,734232.686245658
5.08,2,734587.385426529,734645.066135842
5.08,2,735030.627716218,734901.791585717
5.08,2,NaN,735327.44058889
5.08,2,735703.324290907,735619.681559027
5.08,2,736061.789249233,NaN
5.08,2,736419.647668081,736415.089735897
5.08,2,736768.581614689,NaN
5.08,2,NaN,737160.140397896
5.08,2,737596.000173894,737396
5.08,3,736136.563636602,736192.258616005
5.08,3,NaN,NaN
5.08,3,736882.370009147,736881.36795134
5.08,4,732511.609391061,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,734296.557092848,734233.052258837
5.08,4,734602.432167273,NaN
5.08,4,734980.78995136,735050.755704962
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,736499.317135579,736522.905108554
5.08,5,730598.332631991,730593.58206442
5.08,5,731006.291050378,730957.40112918
5.08,5,731309.543509531,NaN
5.08,5,731783.453652628,NaN
5.08,5,NaN,732071.583518622
5.08,5,732454.313380153,732385.776977957
5.08,9,NaN,NaN
5.08,9,733538.447664444,733514.633055781
5.08,9,733915.672292821,733858.693540532
5.08,9,NaN,NaN
5.08,9,NaN,NaN
5.08,9,NaN,735028.633894673
5.08,9,NaN,735392.747279067
5.08,9,NaN,NaN
5.08,9,NaN,NaN
5.08,9,736490.331206004,736503.999999945
5.08,9,736838.286217764,NaN
5.08,9,737207.332259039,NaN
5.08,10,NaN,NaN
5.08,10,733530.751110338,733521.57446224
5.08,10,733913.124545581,733862.907462786
5.08,10,734321.002684523,734270.59052417
5.08,10,NaN,734672.870229329
5.08,10,735018.770554069,735007.621895171
5.08,10,NaN,735403.000013301
5.08,10,735824.184047883,735684.247766538
5.08,10,736138.594670397,736065.542790788
5.08,10,736477.504189643,736410.337954081
5.08,10,736860.84459485,736800.695178712
5.08,10,NaN,737229.283597448
5.08,11,NaN,NaN
5.08,11,736052.972939252,736143.331746299
5.08,11,736488.620182201,736508.813567104
5.08,11,736802.72675772,736863.781465463
5.08,11,737203.677106619,737234.155716115
5.08,12,733010.654492219,733069.910982526
5.08,12,733180.40944353,733236.168961911
5.08,12,733598.950518129,733608.015002493
5.08,12,733949.005282061,733926.159824345
5.08,12,734353,734340.999999902
5.08,12,734713.441067884,734716.759194547
5.08,12,735059.997014089,735111.024818634
5.08,12,735417.429220241,NaN
5.08,12,NaN,735743.672281307
5.08,13,NaN,NaN
5.08,13,NaN,736486.192850788
