depth,station,insitu,gldas
5.08,1,NaN,NaN
5.08,1,NaN,730773.784919688
5.08,1,NaN,NaN
5.08,2,731957.145053908,NaN
5.08,2,732114,732114.368454025
5.08,2,NaN,732503.293315877
5.08,2,732789.087436965,732844.926099705
5.08,2,NaN,NaN
5.08,2,NaN,NaN
5.08,2,733946.000002923,NaN
5.08,2,NaN,NaN
5.08,2,734714.724347558,734694.999847568
5.08,2,NaN,NaN
5.08,2,NaN,NaN
5.08,2,735778.000160467,NaN
5.08,2,NaN,NaN
5.08,2,NaN,NaN
5.08,2,NaN,NaN
5.08,2,737249.237861413,737240.641521256
5.08,3,735989.999999745,NaN
5.08,3,NaN,NaN
5.08,3,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,734129.999999984,734132.793592546
5.08,4,734424.470129229,NaN
5.08,4,734746.235761049,734803.999902713
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,5,NaN,730540.153267587
5.08,5,730779.90002843,730758
5.08,5,NaN,NaN
5.08,5,NaN,NaN
5.08,5,NaN,731954.532435696
5.08,5,NaN,NaN
5.08,9,NaN,NaN
5.08,9,733457.000880814,NaN
5.08,9,733707.992619643,733697.295158003
5.08,9,NaN,NaN
5.08,9,NaN,NaN
5.08,9,NaN,734811.997625851
5.08,9,NaN,NaN
5.08,9,NaN,NaN
5.08,9,NaN,735928.92393923
5.08,9,736345.521970764,736233.936634796
5.08,9,736598.438807599,NaN
5.08,9,NaN,NaN
5.08,10,NaN,NaN
5.08,10,733440.966539447,733368.666008693
5.08,10,NaN,733711.926585916
5.08,10,734019.701835499,734115.598468144
5.08,10,NaN,734456.596598715
5.08,10,NaN,734864.255300174
5.08,10,NaN,735151.999999999
5.08,10,735464.653146529,735558.668730735
5.08,10,NaN,735932.000002509
5.08,10,736239.106501453,736244.347117247
5.08,10,736619.16449593,736655.000010605
5.08,10,NaN,NaN
5.08,11,NaN,NaN
5.08,11,NaN,735920.666777926
5.08,11,736316.742512162,736224.14877129
5.08,11,736629.075629199,736628.293224629
5.08,11,NaN,NaN
5.08,12,NaN,NaN
5.08,12,NaN,NaN
5.08,12,733454.718583396,NaN
5.08,12,733830.301698251,733705.159858498
5.08,12,734283.000000002,734277.72278823
5.08,12,734508.584080647,734470.885496376
5.08,12,NaN,734857.398886334
5.08,12,NaN,735149.606060645
5.08,12,735643.000015212,NaN
5.08,13,NaN,NaN
5.08,13,NaN,NaN
5.08,13,NaN,736591.871741287
5.08,14,NaN,NaN
5.08,14,735636.9928268,735625.988980855
5.08,14,735974.357822347,736063.098995493
5.08,14,NaN,NaN
5.08,14,736680.752199065,NaN
5.08,14,NaN,737050.182953312
5.08,15,NaN,NaN
5.08,15,732562.007586736,732519.532257469
5.08,15,NaN,NaN
5.08,15,NaN,NaN
5.08,15,NaN,733569.77551099
5.08,15,NaN,NaN
5.08,15,NaN,NaN
5.08,15,NaN,NaN
5.08,15,735030.714901503,NaN
5.08,17,NaN,NaN
5.08,17,NaN,NaN
5.08,17,NaN,NaN
5.08,17,736339.619110482,736229.436722796
5.08,17,736693.477187809,736641.302195316
5.08,17,NaN,737064.563632761
5.08,19,NaN,NaN
5.08,21,NaN,NaN
5.08,21,733352.270857246,733365.999500643
5.08,21,733768.118918171,733704.659865686
5.08,21,734143.304821605,734105.576548223
5.08,21,734397.000014591,734413.000161526
5.08,21,NaN,734816.99999254
5.08,21,735052.802200207,735195.380001359
5.08,21,NaN,NaN
5.08,21,735966.999999888,NaN
5.08,21,736230.592878345,736278.699716746
5.08,21,736612.384549448,736673.998881214
5.08,21,737023.092493573,NaN
5.08,22,NaN,NaN
5.08,22,NaN,733369.622668012
5.08,22,733673.999228128,733734.432016865
5.08,22,734056.999999963,734115.656369057
5.08,22,734396.99994658,734419.815484623
5.08,22,734810.089489309,NaN
5.08,22,NaN,735124.015814392
5.08,22,NaN,735553.686317543
5.08,22,735830.556516512,NaN
5.08,22,NaN,736254.44355323
5.08,22,736670.998701959,736666.824107215
5.08,22,737059.106356459,NaN
5.08,24,NaN,734910.956544148
5.08,24,NaN,NaN
5.08,24,NaN,NaN
5.08,24,NaN,735918.595472123
5.08,24,NaN,736201.00149706
5.08,24,NaN,736524.1528794
5.08,24,NaN,NaN
5.08,25,NaN,NaN
5.08,25,NaN,NaN
5.08,25,NaN,NaN
5.08,25,731274.471285133,731212.713052465
5.08,26,NaN,NaN
5.08,26,NaN,732298.774170209
5.08,26,732742.358497839,732642.854680114
5.08,26,732919.999949648,732942.460898947
5.08,26,733426.999950595,733377.999998877
5.08,26,733712.004257086,733741.677543591
5.08,26,NaN,734114.935306282
5.08,26,NaN,734474.61492522
5.08,26,734930.595717226,734773.045360747
5.08,26,NaN,735135.537024164
5.08,26,735618.994533584,735560.969823081
5.08,26,NaN,NaN
5.08,26,NaN,NaN
5.08,26,736715.35049511,NaN
5.08,26,NaN,NaN
5.08,27,NaN,NaN
5.08,27,734397.000000889,734449.28618458
5.08,27,734859.000004492,734756.34334392
5.08,27,NaN,NaN
5.08,27,NaN,735556.999999066
5.08,27,NaN,735932.155736617
5.08,27,NaN,736254.243945464
5.08,27,736717.956751094,736653.144204311
5.08,27,737055.035480396,737051.652677286
5.08,28,NaN,NaN
5.08,28,733432.901664508,733361.983574924
5.08,28,733756.688108559,733709.911875666
5.08,28,NaN,734099.688418282
5.08,28,734398.067762013,734399.595014747
5.08,28,NaN,734739.279448862
5.08,28,NaN,735118.000011483
5.08,28,NaN,735465.999999929
5.08,28,NaN,735848.004276855
5.08,28,NaN,NaN
5.08,28,NaN,736642.928495303
5.08,28,NaN,737019.981953691
5.08,29,NaN,NaN
5.08,29,NaN,734424.352687361
5.08,29,734761.395136144,734876.999671814
5.08,29,735183.999999439,735134.976282761
5.08,29,735470.622703121,735533.697038192
5.08,29,735916.786242692,735913.97774359
5.08,29,736297.415251328,736263.495165066
5.08,29,736577.328284275,NaN
5.08,29,736950.283065153,737058.398697812
5.08,30,NaN,NaN
5.08,30,NaN,734428.999719626
5.08,30,NaN,734742.000027284
5.08,30,NaN,735142.413982686
5.08,30,735412.543788836,735547.999958294
5.08,30,NaN,735854.482910133
5.08,30,NaN,736236.424181323
5.08,30,736676.172089609,736666.74900524
5.08,30,NaN,737016.994540169
5.08,31,NaN,NaN
5.08,31,734416.62766075,734429.713189981
5.08,31,NaN,734731.139050294
5.08,31,NaN,735202.815473321
5.08,31,735513.999999801,735559.999999928
5.08,31,735949.753508939,735929.526269048
5.08,31,736232.667258923,736255.362564471
5.08,31,736643.109388037,736652.930134682
5.08,31,NaN,737058.863983814
5.08,33,NaN,NaN
5.08,33,NaN,NaN
5.08,33,NaN,NaN
5.08,35,NaN,NaN
5.08,35,NaN,733374.130343205
5.08,35,NaN,NaN
5.08,35,NaN,NaN
5.08,35,NaN,734470.877167554
5.08,35,NaN,NaN
