depth,station,insitu,gldas
5.08,1,730603.60005785,NaN
5.08,1,730929.673221609,730893.999997654
5.08,1,NaN,NaN
5.08,2,732062.210362727,732062.447362243
5.08,2,732400.537166413,732371.545168447
5.08,2,NaN,732611.323219946
5.08,2,733186.903526407,733079.999999875
5.08,2,NaN,733486.680653332
5.08,2,NaN,NaN
5.08,2,734248.146586478,734222.00024684
5.08,2,734561.206959537,734495.071043261
5.08,2,734943.945927188,734867.64349451
5.08,2,NaN,735278.999999602
5.08,2,735667.191070106,735596.813267248
5.08,2,736049.420694567,NaN
5.08,2,736371.489061324,736346.999999973
5.08,2,736746.283683219,NaN
5.08,2,NaN,737139.304929634
5.08,2,737477.975353124,737369.203326025
5.08,3,736113.844154314,736042.32347428
5.08,3,NaN,NaN
5.08,3,736868.793885279,736862.979819169
5.08,4,732479.999999986,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,734250.999999536,734185.999999999
5.08,4,734577.540754252,NaN
5.08,4,734956.999999702,735039.000164309
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,NaN,NaN
5.08,4,736349.808391527,736495.999999624
5.08,5,730584.000015785,730580.999999841
5.08,5,730930.073260703,730920.999999939
5.08,5,731269.155714418,NaN
5.08,5,731758.36444841,NaN
5.08,5,NaN,732063.320476655
5.08,5,732393.138503681,732368.758884195
5.08,9,NaN,NaN
5.08,9,733496.365017759,733447.306474978
5.08,9,733830.999999997,733827.99999996
5.08,9,NaN,NaN
5.08,9,NaN,NaN
5.08,9,NaN,734949
5.08,9,NaN,735320.999994447
5.08,9,NaN,NaN
5.08,9,NaN,NaN
5.08,9,736463.569372264,736469.395339779
5.08,9,736740.95529653,NaN
5.08,9,737186.956683084,NaN
5.08,10,NaN,NaN
5.08,10,733506.753300487,733468.999893044
5.08,10,733900.561638704,733829.530141266
5.08,10,734291.000503766,734211.309208253
5.08,10,NaN,734559.054314688
5.08,10,734975.571710774,734931.830351603
5.08,10,NaN,735306.999999847
5.08,10,735817.035415431,735640.520228737
5.08,10,736115.999999991,736009
5.08,10,736458.791568829,736388.601130142
5.08,10,736747.541223837,736745.612495564
5.08,10,NaN,737111.001763023
5.08,11,NaN,NaN
5.08,11,735955.876975368,736000.999669055
5.08,11,736461.999999957,736462.70566472
5.08,11,736748.999999795,736747.639814233
5.08,11,737147.213452269,737148.877738938
5.08,12,732989.227746424,733038.229396499
5.08,12,733169.889599221,733205.692325607
5.08,12,733572.999999877,733571.999999981
