depth,station,sig_type,insitu,GLDAS,residual
5,1,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
5,1,seasontrans_duration_wet2dry_p,74.717851,36.991596,-37.726255
5,1,seasontrans_duration_wet2dry_p,105.174787,43.614251,-61.560536
5,1,seasontrans_duration_wet2dry_p,59.425633,NaN,NaN
5,1,seasontrans_duration_wet2dry_p,22.228932,14.813642,-7.41529
5,1,seasontrans_duration_wet2dry_p,20.860596,43.887669,23.027073
5,1,seasontrans_duration_wet2dry_p,55.554597,103.952991,48.398394
5,1,seasontrans_duration_wet2dry_p,18.31176,36.369598,18.057838
5,1,seasontrans_duration_wet2dry_p,29.24412,52.259758,23.015638
5,1,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
5,1,seasontrans_duration_wet2dry_l,88,37,-51
5,1,seasontrans_duration_wet2dry_l,138,102,-36
5,1,seasontrans_duration_wet2dry_l,154,NaN,NaN
5,1,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
5,1,seasontrans_duration_wet2dry_l,24,NaN,NaN
5,1,seasontrans_duration_wet2dry_l,129,92,-37
5,1,seasontrans_duration_wet2dry_l,14,161,147
5,1,seasontrans_duration_wet2dry_l,30,54,24
5,1,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5,1,seasontrans_duration_dry2wet_p,127.902751,100.573383,-27.329368
5,1,seasontrans_duration_dry2wet_p,182.660995,186.362913,3.70191799999998
5,1,seasontrans_duration_dry2wet_p,37.400124,NaN,NaN
5,1,seasontrans_duration_dry2wet_p,10.843004,NaN,NaN
5,1,seasontrans_duration_dry2wet_p,123.743606,78.890052,-44.853554
5,1,seasontrans_duration_dry2wet_p,64.558361,75.435253,10.876892
5,1,seasontrans_duration_dry2wet_p,9.398643,118.972721,109.574078
5,1,seasontrans_duration_dry2wet_p,66.649346,60.265147,-6.384199
5,1,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5,1,seasontrans_duration_dry2wet_l,33,NaN,NaN
5,1,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5,1,seasontrans_duration_dry2wet_l,41,NaN,NaN
5,1,seasontrans_duration_dry2wet_l,171,1,-170
5,1,seasontrans_duration_dry2wet_l,147,112,-35
5,1,seasontrans_duration_dry2wet_l,153,76,-77
5,1,seasontrans_duration_dry2wet_l,NaN,86,NaN
5,1,seasontrans_duration_dry2wet_l,212,21,-191
5,2,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
5,2,seasontrans_duration_wet2dry_p,132.397844,100.527862,-31.869982
5,2,seasontrans_duration_wet2dry_p,105.993091,152.688325,46.695234
5,2,seasontrans_duration_wet2dry_p,41.563758,70.999991,29.436233
5,2,seasontrans_duration_wet2dry_p,164.731387,20.385856,-144.345531
5,2,seasontrans_duration_wet2dry_p,161.999991,82.570277,-79.429714
5,2,seasontrans_duration_wet2dry_p,11.064027,136.479798,125.415771
5,2,seasontrans_duration_wet2dry_p,100.539891,113.165045,12.625154
5,2,seasontrans_duration_wet2dry_p,70.183219,166.215179,96.03196
5,2,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
5,2,seasontrans_duration_wet2dry_l,168,146,-22
5,2,seasontrans_duration_wet2dry_l,135,228,93
5,2,seasontrans_duration_wet2dry_l,186,78,-108
5,2,seasontrans_duration_wet2dry_l,NaN,17,NaN
5,2,seasontrans_duration_wet2dry_l,NaN,73,NaN
5,2,seasontrans_duration_wet2dry_l,58,162,104
5,2,seasontrans_duration_wet2dry_l,113,127,14
5,2,seasontrans_duration_wet2dry_l,155,217,62
5,2,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5,2,seasontrans_duration_dry2wet_p,80.844447,55.640057,-25.20439
5,2,seasontrans_duration_dry2wet_p,152.447012,128.981612,-23.4654
5,2,seasontrans_duration_dry2wet_p,72.601862,56.488145,-16.113717
5,2,seasontrans_duration_dry2wet_p,117.622188,6.283468,-111.33872
5,2,seasontrans_duration_dry2wet_p,144.754681,NaN,NaN
5,2,seasontrans_duration_dry2wet_p,193.814578,161.999999,-31.814579
5,2,seasontrans_duration_dry2wet_p,164.999998,41.512589,-123.487409
5,2,seasontrans_duration_dry2wet_p,140.8793,138.418701,-2.460599
5,2,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5,2,seasontrans_duration_dry2wet_l,78,58,-20
5,2,seasontrans_duration_dry2wet_l,189,159,-30
5,2,seasontrans_duration_dry2wet_l,93,131,38
5,2,seasontrans_duration_dry2wet_l,177,238,61
5,2,seasontrans_duration_dry2wet_l,156,NaN,NaN
5,2,seasontrans_duration_dry2wet_l,NaN,245,NaN
5,2,seasontrans_duration_dry2wet_l,NaN,150,NaN
5,2,seasontrans_duration_dry2wet_l,178,182,4
5,3,seasontrans_duration_wet2dry_p,NaN,NaN,NaN
5,3,seasontrans_duration_wet2dry_p,132.292305,112.178265,-20.11404
5,3,seasontrans_duration_wet2dry_p,160.458586,162.64472,2.18613400000001
5,3,seasontrans_duration_wet2dry_p,66.998258,99.218539,32.220281
5,3,seasontrans_duration_wet2dry_p,215.999836,24.733106,-191.26673
5,3,seasontrans_duration_wet2dry_p,69.634871,150.433501,80.79863
5,3,seasontrans_duration_wet2dry_p,41.106044,100.939084,59.83304
5,3,seasontrans_duration_wet2dry_p,43.759789,122.476463,78.716674
5,3,seasontrans_duration_wet2dry_p,31.149225,122.467489,91.318264
5,3,seasontrans_duration_wet2dry_l,NaN,NaN,NaN
5,3,seasontrans_duration_wet2dry_l,146,138,-8
5,3,seasontrans_duration_wet2dry_l,176,169,-7
5,3,seasontrans_duration_wet2dry_l,62,106,44
5,3,seasontrans_duration_wet2dry_l,NaN,25,NaN
5,3,seasontrans_duration_wet2dry_l,80,70,-10
5,3,seasontrans_duration_wet2dry_l,73,153,80
5,3,seasontrans_duration_wet2dry_l,101,157,56
5,3,seasontrans_duration_wet2dry_l,28,67,39
5,3,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5,3,seasontrans_duration_dry2wet_p,NaN,21.837534,NaN
5,3,seasontrans_duration_dry2wet_p,60.367751,65.088129,4.720378
5,3,seasontrans_duration_dry2wet_p,15.19779,118.478551,103.280761
5,3,seasontrans_duration_dry2wet_p,83.925506,9.397477,-74.528029
5,3,seasontrans_duration_dry2wet_p,85.887717,66.729302,-19.158415
5,3,seasontrans_duration_dry2wet_p,140.850859,78.636801,-62.214058
5,3,seasontrans_duration_dry2wet_p,96.579788,165.691472,69.111684
5,3,seasontrans_duration_dry2wet_p,15.067556,169.60686,154.539304
5,3,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5,3,seasontrans_duration_dry2wet_l,NaN,13,NaN
5,3,seasontrans_duration_dry2wet_l,78,88,10
5,3,seasontrans_duration_dry2wet_l,9,77,68
5,3,seasontrans_duration_dry2wet_l,82,9,-73
5,3,seasontrans_duration_dry2wet_l,100,84,-16
5,3,seasontrans_duration_dry2wet_l,197,93,-104
5,3,seasontrans_duration_dry2wet_l,82,NaN,NaN
5,3,seasontrans_duration_dry2wet_l,2,177,175
5,5,seasontrans_duration_wet2dry_p,NaN,15.997798,NaN
5,5,seasontrans_duration_wet2dry_p,26.538543,68.235344,41.696801
5,5,seasontrans_duration_wet2dry_p,101.314513,47.262708,-54.051805
5,5,seasontrans_duration_wet2dry_p,138.77863,57.557969,-81.220661
5,5,seasontrans_duration_wet2dry_p,53.344431,8.290836,-45.053595
5,5,seasontrans_duration_wet2dry_p,129.48428,21.754496,-107.729784
5,5,seasontrans_duration_wet2dry_p,49.598769,93.390097,43.791328
5,5,seasontrans_duration_wet2dry_p,85.913796,17.865997,-68.047799
5,5,seasontrans_duration_wet2dry_p,131.814576,95.196969,-36.617607
5,5,seasontrans_duration_wet2dry_l,NaN,18,NaN
5,5,seasontrans_duration_wet2dry_l,30,82,52
5,5,seasontrans_duration_wet2dry_l,139,51,-88
5,5,seasontrans_duration_wet2dry_l,194,79,-115
5,5,seasontrans_duration_wet2dry_l,220,8,-212
5,5,seasontrans_duration_wet2dry_l,188,24,-164
5,5,seasontrans_duration_wet2dry_l,102,144,42
5,5,seasontrans_duration_wet2dry_l,102,25,-77
5,5,seasontrans_duration_wet2dry_l,167,114,-53
5,5,seasontrans_duration_dry2wet_p,NaN,NaN,NaN
5,5,seasontrans_duration_dry2wet_p,60.249801,11.911387,-48.338414
5,5,seasontrans_duration_dry2wet_p,151.323135,102.628183,-48.694952
5,5,seasontrans_duration_dry2wet_p,219.000326,12.854991,-206.145335
5,5,seasontrans_duration_dry2wet_p,219.006052,204.374145,-14.631907
5,5,seasontrans_duration_dry2wet_p,134.332055,25.657065,-108.67499
5,5,seasontrans_duration_dry2wet_p,68.706748,139.260748,70.554
5,5,seasontrans_duration_dry2wet_p,111.151282,NaN,NaN
5,5,seasontrans_duration_dry2wet_p,163.005643,17.000059,-146.005584
5,5,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5,5,seasontrans_duration_dry2wet_l,78,3,-75
5,5,seasontrans_duration_dry2wet_l,NaN,77,NaN
5,5,seasontrans_duration_dry2wet_l,NaN,3,NaN
5,5,seasontrans_duration_dry2wet_l,NaN,NaN,NaN
5,5,seasontrans_duration_dry2wet_l,NaN,33,NaN
5,5,seasontrans_duration_dry2wet_l,215,173,-42
5,5,seasontrans_duration_dry2wet_l,93,NaN,NaN
5,5,seasontrans_duration_dry2wet_l,NaN,1,NaN
