depth,station,insitu,GLDAS,residual,WY
5,1,-127.09725,-116.869665,10.227585,2011
5,1,-165.999931,-196.000001,-30.00007,2012
5,1,-234.000003,-255.114368,-21.114365,2013
5,1,-209,-261.854558,-52.854558,2015
5,1,-215,-220.560433,-5.56043299999999,2016
5,1,-393,-157.027279,235.972721,2017
5,1,152.000167,161.000008,8.999841,2018
5,2,-226.544145,-218.000053,8.54409199999998,2011
5,2,-208.407517,-181.496294,26.911223,2012
5,2,-215.610638,-199.804851,15.805787,2013
5,2,-209.001242,-323,-113.998758,2014
5,2,-195.13005,-193,2.13005000000001,2016
5,2,-211,-260.166962,-49.166962,2017
5,2,173.377661,163.418587,-9.95907399999999,2018
5,3,-254.298938,-246.098907,8.200031,2012
5,3,-189.098664,-127.204117,61.894547,2013
5,3,-266.074624,-286.920308,-20.845684,2014
5,3,-251.427522,-239.740906,11.686616,2015
5,3,-207.773963,-186.039539,21.734424,2016
5,3,-241.52374,-150,91.52374,2017
5,3,106.197471,203.604543,97.407072,2018
5,4,-170.024768,-295.260742,-125.235974,2011
5,4,-173.612985,-169.939934,3.67305100000002,2012
5,4,-153.990276,-148.995806,4.99447000000001,2013
5,4,-239.281233,-321,-81.718767,2014
5,4,-184.62509,-273.756754,-89.131664,2015
5,4,-153.658623,-177.818212,-24.159589,2016
5,4,-159.132424,-200.42002,-41.287596,2017
5,5,-287.415369,-309.388559,-21.97319,2011
5,5,-165.993591,-132.672077,33.321514,2012
5,5,-198,-334.533041,-136.533041,2013
5,5,-200.000145,-195.625877,4.374268,2014
5,5,-179.130035,-280.468433,-101.338398,2015
5,5,-214.878138,-205,9.87813800000001,2016
5,5,199.005646,56,-143.005646,2018
5,6,-39,-38,1,2011
5,6,-38.653215,-41,-2.346785,2014
5,6,-50,35,85,2015
5,6,-7.74369,133.756927,141.500617,2016
5,6,-33,-36.69815,-3.69815,2017
5,6,-26.838894,139.508794,166.347688,2018
5,7,-232,-298.97915,-66.97915,2010
5,7,-275.493576,-284.403872,-8.91029599999996,2011
5,7,-232,-243.094493,-11.094493,2012
5,7,-277,-267,10,2013
5,7,-240,-254.348818,-14.348818,2014
5,7,-229.451907,-237,-7.54809299999999,2015
5,7,-207,-236.764427,-29.764427,2016
5,7,-36.680511,109.721879,146.40239,2018
5,8,-105.72656,-198.000831,-92.274271,2014
5,8,-141.172739,-209.085576,-67.912837,2016
5,9,-13,-167,-154,2012
5,9,-109.087819,-197.384448,-88.296629,2014
5,9,-141,-205.579396,-64.579396,2016
5,10,-252.867345,-167.37635,85.490995,2010
5,10,-143,-327,-184,2013
5,10,-291,-317,-26,2015
5,10,-208,-193,15,2016
