depth,station,insitu,GLDAS,residual,WY
5,1,-156,-151,5,2011
5,1,-182,-179,3,2012
5,1,-208,-153,55,2016
5,1,-68,-161,-93,2017
5,1,301,278,-23,2018
5,2,-212,-200,12,2011
5,2,-175,-175,0,2012
5,2,-202,-121,81,2013
5,2,-92,-192,-100,2016
5,2,-128,-136,-8,2017
5,2,247,182,-65,2018
5,3,-170,-128,42,2011
5,3,-170,-171,-1,2012
5,3,-119,-125,-6,2013
5,3,-89,-86,3,2015
5,3,-109,-171,-62,2016
5,3,-99,-164,-65,2017
5,3,309,289,-20,2018
5,4,-176,-164,12,2011
5,4,-172,-148,24,2012
5,4,-153,-160,-7,2013
5,4,-177,-52,125,2014
5,4,-179,-91,88,2015
5,4,-166,-169,-3,2016
5,4,-161,-170,-9,2017
5,5,-156,-158,-2,2011
5,5,-171,-100,71,2012
5,5,-198,-135,63,2013
5,5,-209,-43,166,2014
5,5,-191,-72,119,2015
5,5,-198,-203,-5,2016
5,5,-146,-91,55,2017
5,5,205,248,43,2018
5,6,142,177,35,2011
5,6,147,211,64,2012
5,6,226,229,3,2017
5,7,-132,-119,13,2009
5,7,-134,-148,-14,2010
5,7,-92,-108,-16,2011
5,7,-168,-218,-50,2012
5,7,-167,-126,41,2013
5,7,-136,-143,-7,2014
5,7,-218,-212,6,2015
5,7,-156,-220,-64,2016
5,7,-117,-118,-1,2017
5,8,76,-163,-239,2011
5,8,-4,-50,-46,2013
5,8,66,-78,-144,2016
5,9,76,-106,-182,2011
5,9,-4,9,13,2013
5,10,-15,-32,-17,2010
5,10,-48,-74,-26,2014
5,10,-76,-77,-1,2015
5,10,-64,-64,0,2016
5,10,-30,-94,-64,2017
5,11,-199,-204,-5,2012
5,11,-174,-157,17,2013
5,11,-123,-39,84,2017
5,12,-92,-108,-16,2011
5,12,59,-80,-139,2012
5,12,366,364,-2,2018
5,13,174,207,33,2011
5,13,167,184,17,2015
5,14,-119,-105,14,2011
5,14,-147,-177,-30,2013
5,14,-194,-53,141,2014
5,14,-172,-203,-31,2016
5,14,-154,-154,0,2017
5,15,-111,260,371,2011
5,15,-188,164,352,2012
5,15,-141,201,342,2013
5,15,-191,193,384,2014
5,15,-194,187,381,2015
5,15,-173,206,379,2016
5,15,-125,237,362,2017
5,15,180,167,-13,2018
5,16,296,-143,-439,2009
5,16,227,-101,-328,2011
5,16,251,-139,-390,2012
5,16,141,-142,-283,2014
5,16,194,-160,-354,2016
5,16,244,-144,-388,2017
5,16,180,215,35,2018
5,17,70,192,122,2012
5,17,141,145,4,2013
5,17,162,159,-3,2015
5,17,181,183,2,2016
5,17,93,169,76,2018
5,18,181,-70,-251,2010
5,18,218,-150,-368,2011
5,18,262,-111,-373,2012
5,18,156,-157,-313,2016
5,18,273,-109,-382,2017
5,18,293,230,-63,2018
5,19,129,50,-79,2010
5,19,168,177,9,2011
5,19,77,229,152,2012
5,19,172,148,-24,2015
5,19,73,75,2,2017
5,19,80,52,-28,2018
5,20,-218,-139,79,2011
5,20,-172,-164,8,2012
5,20,-200,-193,7,2013
5,20,-181,-205,-24,2016
5,21,-71,-147,-76,2013
5,21,-64,-144,-80,2014
5,21,-74,-204,-130,2015
5,21,-69,-62,7,2016
5,21,7,-83,-90,2017
5,21,391,298,-93,2018
5,22,-91,-110,-19,2011
5,22,-96,-57,39,2014
5,23,-184,-177,7,2012
5,23,-137,-122,15,2013
5,23,190,300,110,2018
5,24,206,254,48,2011
5,24,152,179,27,2013
5,24,219,301,82,2014
5,24,176,178,2,2015
5,24,182,190,8,2016
5,24,150,267,117,2018
5,25,-56,-92,-36,2011
5,25,-50,-54,-4,2012
5,25,-32,-137,-105,2013
5,25,-95,-85,10,2015
5,25,-170,-92,78,2016
5,25,-26,-103,-77,2017
5,26,164,171,7,2010
5,26,186,136,-50,2011
5,26,182,205,23,2012
5,26,227,152,-75,2014
5,26,177,183,6,2015
5,26,173,183,10,2016
5,26,226,220,-6,2017
5,26,217,227,10,2018
5,27,-167,-50,117,2010
5,27,-128,-110,18,2014
5,27,-155,-181,-26,2015
5,27,-173,-154,19,2016
5,27,-159,-143,16,2017
5,28,-124,-45,79,2010
5,28,-37,-11,26,2012
5,28,-84,-152,-68,2013
5,28,-128,-126,2,2014
5,28,-150,-151,-1,2015
5,28,-169,-145,24,2016
5,28,-159,-130,29,2017
5,29,209,133,-76,2011
5,29,227,222,-5,2014
5,29,192,177,-15,2015
5,29,213,218,5,2016
5,29,230,221,-9,2018
10,1,-152,-130,22,2009
10,1,-153,-117,36,2010
10,1,-143,-152,-9,2011
10,1,-112,-106,6,2012
10,1,-122,-101,21,2013
10,1,-162,-100,62,2016
10,1,-136,-105,31,2017
10,1,231,282,51,2018
