depth,station,insitu,gldas
5,1,NaN,NaN
5,1,734923.000963324,NaN
5,1,735261.741825193,735291.524291612
5,1,NaN,735595.994680475
5,1,735811.462857533,735981.000099059
5,1,736298.657287141,736353.333480249
5,1,736699.567569006,736703.196541604
5,1,NaN,736953.000000916
5,2,NaN,NaN
5,2,734892.541282439,734878.873557175
5,2,735262.333142666,735239.720870262
5,2,735625.625269743,735609.318763556
5,2,NaN,735971.38511274
5,2,736363.721451366,736353.999654251
5,2,736718.974106308,736696.547154195
5,2,737020.289345905,737078.842778811
5,3,NaN,NaN
5,3,NaN,NaN
5,3,NaN,NaN
5,3,NaN,735636.484067623
5,3,735907.708307024,735928.482121108
5,3,736317.584194193,736307
5,3,736728.819127504,736720.858514716
5,3,737015.311763821,737023.048305391
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,735939.611036311
5,4,736285.836485618,736351.860626909
5,4,736715.997541483,736735.502458882
5,4,NaN,NaN
5,5,NaN,NaN
5,5,NaN,734808.256489213
5,5,735297.60198602,735281.000001216
5,5,NaN,735614.977981562
5,5,735975.976898414,735957.402255954
5,5,736373.346779509,736355.150526584
5,5,736712.999999498,736691.999902441
5,5,737138.848996896,737085.999985412
5,6,NaN,NaN
5,6,NaN,NaN
5,6,734695.999999983,734695.722259491
5,6,NaN,735051.27673022
5,6,735427.999999903,NaN
5,6,NaN,NaN
5,6,736359.231040867,NaN
5,6,NaN,NaN
5,6,NaN,736887.999999965
5,7,NaN,NaN
5,7,734435.99999981,734502.999999968
5,7,NaN,NaN
5,7,735220.999999797,735231.000000003
5,7,NaN,NaN
5,7,NaN,735954.796746859
5,7,736322,736322.600584628
5,7,736687.168799944,736716.999999997
5,7,737160.135221268,737124.999999991
5,8,NaN,NaN
5,8,734068.99999998,734177.999999974
5,8,734549.999999923,NaN
5,8,NaN,734786.677167452
5,8,NaN,NaN
5,8,NaN,NaN
5,8,736047.966998773,NaN
5,8,736268.114635804,NaN
5,8,736712,NaN
5,8,NaN,NaN
5,9,NaN,NaN
5,9,734869.999999994,NaN
5,9,735292.685303529,NaN
5,9,NaN,NaN
5,9,NaN,NaN
5,9,736263.912522953,NaN
5,9,NaN,NaN
5,9,NaN,NaN
5,10,NaN,NaN
5,10,734644.194114172,734477.065171498
5,10,NaN,735040.668571958
5,10,NaN,NaN
5,10,NaN,735686.000000002
5,10,736104.000313423,NaN
5,10,NaN,736268.726880922
5,10,736731.999999798,736715.999999696
5,10,737068.816368971,737076.847076225
5,11,NaN,NaN
5,11,734892.358445999,734889.999999966
5,11,735234.000008326,735236.847847628
5,11,735509.739996303,735604.125105498
5,11,735932.891279317,735940.000000001
5,11,736309.395411845,736304.916936088
5,11,736705.999999742,736691.792443316
5,11,NaN,737059.999999865
5,12,734201.330554401,NaN
5,12,734558.122561191,734464.492550105
5,12,734818.792309486,NaN
5,12,735309.999996161,NaN
5,12,NaN,NaN
5,12,735970.746158204,735970.000065315
5,12,736261.999999947,NaN
5,12,736701.521368144,NaN
5,12,NaN,NaN
5,12,NaN,NaN
5,13,NaN,NaN
5,13,NaN,NaN
5,13,NaN,NaN
5,13,NaN,NaN
5,13,NaN,NaN
5,13,NaN,735810.560087876
5,13,736265.493123296,NaN
5,13,736557.591164559,736488.999999984
5,13,736896.99999983,736873.999932578
5,14,NaN,NaN
5,14,734967.000025045,734922.410039393
5,14,735191.509222985,735213.403454655
5,14,735632.979642956,735674.691751244
5,14,735974.99215354,735958.99985962
5,14,736329.004580028,736344.712232721
5,14,736698.428648986,NaN
5,14,737099.904333045,737132.077318768
5,15,NaN,NaN
5,15,NaN,NaN
5,15,735206.999999967,735219.924094405
5,15,NaN,735608.841127283
5,15,735936.999999604,735949.999999292
5,15,736274.321132959,736324.911233759
5,15,736709.191652638,736707.131270849
5,15,NaN,737071.999999993
5,16,NaN,NaN
5,16,734491.215304701,NaN
5,16,NaN,734836.999651844
5,16,735264.308003669,NaN
5,16,NaN,735569.062888493
5,16,NaN,735935.626303409
5,16,NaN,NaN
5,16,NaN,736691.818331473
5,16,NaN,NaN
5,17,NaN,NaN
5,17,NaN,NaN
5,17,NaN,734885.228963924
5,17,NaN,NaN
5,17,735534.941888209,NaN
5,17,NaN,NaN
5,17,736246.999999742,736245.999999899
5,17,736568.553524996,NaN
5,17,NaN,NaN
5,18,NaN,NaN
5,18,NaN,734494.670603725
5,18,NaN,NaN
5,18,NaN,735249.126114354
5,18,NaN,735620.245544539
5,18,736010.46659056,735969.880770386
5,18,736392.976847863,736294.134850159
5,18,736684.496840732,736684.999999604
5,18,NaN,NaN
5,19,NaN,NaN
5,19,NaN,734494.347054892
5,19,NaN,NaN
5,19,NaN,NaN
5,19,NaN,NaN
5,19,NaN,NaN
5,19,736233.999999972,NaN
5,19,736620.612117309,NaN
5,19,NaN,736925.983448104
5,20,NaN,NaN
5,20,734880.869000717,734900.000001469
5,20,735221.026254873,735289.837577034
5,20,735604.300968099,735621.000000001
5,20,735924.721372941,735969.000005284
5,20,736317.196301839,736319.378680648
5,20,736695.903841152,736677.173462317
5,20,737037.781863722,737061.999999672
5,21,NaN,NaN
5,21,NaN,NaN
5,21,NaN,NaN
