depth,station,insitu,gldas
5,1,NaN,NaN
5,1,734969.85623103,735028.830554693
5,1,735368.544656903,735396.459163564
5,1,NaN,735685.532508309
5,1,736054.508171918,736168.997962578
5,1,736412.589999945,736392.323625217
5,1,736841.124977955,736850.564530057
5,1,737177.945799117,737222.894960531
5,2,NaN,NaN
5,2,735043.659064905,735043.839226686
5,2,735329.499864266,735349.625800462
5,2,735770.040419159,735653.409369892
5,2,736138.094843781,736136.096253865
5,2,736538.517681109,736390.268931367
5,2,736767.554464362,736755.123489481
5,2,737144.66485439,737248.036709703
5,3,NaN,NaN
5,3,735083.447680771,735048.933690957
5,3,NaN,NaN
5,3,735767.814646817,735763.068561563
5,3,736143.749549984,736137.837505853
5,3,736529.332113046,736529.558946943
5,3,NaN,736857.191075644
5,3,737156.967502878,737249.216560858
5,4,NaN,NaN
5,4,735143.791786185,735050.342837419
5,4,735331.358323583,735318.237170639
5,4,735695.31997377,735747.67864273
5,4,736153.453283526,736061.665862239
5,4,736495.510069504,736503.723823298
5,4,736786.328902642,736894.441401134
5,4,737149.290220308,737269.000043286
5,5,734734.646835081,734730.546113634
5,5,735004.064120827,734961.449283036
5,5,735408.024653904,735317.349120418
5,5,735685.452550823,735654.096761027
5,5,736144.253508941,736055.522242735
5,5,736496.161552348,736402.85212322
5,5,736780.459325667,736785.834685876
5,5,737205.346697771,737226.18355535
5,6,734286.530641696,734275.894586389
5,6,734628.661115439,734638.44892186
5,6,734942.882798948,734972.567661914
5,6,735336.541881582,735367.761644944
5,6,735706.364042291,735702.634035609
5,6,736088.077327055,736061.353888956
5,6,736472.99999654,736414.063345256
5,6,NaN,NaN
5,6,NaN,737169.613803644
5,7,734285.628540557,734309.552258855
5,7,734635.348114979,734653.550760015
5,7,735023.571737329,735025.7820113
5,7,735349.22154566,735382.401370415
5,7,735738.056892366,735752.582468354
5,7,736059.5956409,736059.198541673
5,7,736446.72681428,736495.238797378
5,7,736793.513862111,736817.922670429
5,7,NaN,NaN
5,8,734019.185643877,734043.548436364
5,8,734266.559629057,NaN
5,8,734592.303152372,NaN
5,8,734984.000006806,NaN
5,8,NaN,NaN
5,8,NaN,NaN
5,8,736141.99981478,NaN
5,8,736478.214475581,NaN
5,8,736859.161640879,NaN
5,8,NaN,NaN
5,9,NaN,NaN
5,9,735026.579285629,NaN
5,9,NaN,NaN
5,9,NaN,NaN
5,9,NaN,NaN
5,9,736488.659953239,736524.480372594
5,9,NaN,NaN
5,9,NaN,NaN
5,10,734371.41414485,734415.251720711
5,10,734709.906916968,734715.272119787
5,10,734968.380744791,735118.240164986
5,10,NaN,NaN
5,10,NaN,735839.956570042
5,10,736225.999994509,NaN
5,10,736483.350881831,736486.828069325
5,10,736856.563742316,736875.999999983
5,10,NaN,737309.000194339
5,11,NaN,NaN
5,11,735008.999999998,735082.741053268
5,11,735329.349535897,735398.952709254
5,11,735756.857950418,735792.114914265
5,11,736088.094566639,736140.9634766
5,11,736454.352294003,736514.535444215
5,11,736891.206541207,736903.954199945
5,11,737187.822112024,737281.764688415
5,12,734298.546196652,734315.929799306
5,12,734749.288349982,734669.621309052
5,12,735053.496531031,735051.513830385
5,12,735399.869283539,NaN
5,12,NaN,735826.977137848
5,12,736146.242217052,NaN
5,12,736537.117549773,736532.104782782
5,12,736862.313818558,NaN
5,12,737309.250197809,NaN
5,12,737666.621060214,737692.998843826
5,13,734304.448345864,NaN
5,13,734463.649714531,734598.299128447
5,13,NaN,734939.518569715
5,13,735328.879643238,735356.417348217
5,13,735533.928833884,735684.621438046
5,13,736067.562777688,736050.908229176
5,13,736413.379761213,NaN
5,13,736789.432484979,736765.021939232
5,13,737176.87567616,737034.46523742
5,14,NaN,NaN
5,14,735065.730582485,735087.994170257
5,14,735421.286257178,735450.024182981
5,14,735672.227410963,735761.775980177
5,14,736142.135766706,736059.590870054
5,14,736491.711191052,NaN
5,14,736749.413980316,736907.100727487
5,14,737143.667850621,737184.028758737
5,15,NaN,NaN
5,15,734995.635626538,735025.309028447
5,15,735297.877046534,735398.257157357
5,15,735704.195755254,735760.098937105
5,15,736029.483402235,736137.683856542
5,15,736496.966616105,736492.543367889
5,15,736837.433035777,736841.941535746
5,15,737108.504107818,737190.846610764
5,16,734272.952426827,734319.336016971
5,16,734739.220749228,734680.501422516
5,16,NaN,735032.471730138
5,16,735327.181304312,735358.388695783
5,16,NaN,735760.999999924
5,16,736059.675599568,736034.903450325
5,16,736417.882858744,736485.551489426
5,16,736814.34662065,736815.421452257
5,16,737212.914005659,737204.826944964
5,17,NaN,NaN
5,17,734621.329111131,734485.627165923
5,17,NaN,NaN
5,17,NaN,NaN
5,17,735666.814743541,NaN
5,17,NaN,NaN
5,17,736396.99999899,736373.999902546
5,17,736791.329963323,736758.000009214
5,17,NaN,NaN
5,18,NaN,NaN
5,18,734666.624781026,734678.148600896
5,18,734973.890300659,735032.182840854
5,18,735379.552836733,735397.124063217
5,18,735762.27440615,NaN
5,18,NaN,736012.426556217
5,18,736489.187832671,736495.422717671
5,18,736801.709472899,736867.851123684
5,18,737216.364814951,737197.455252084
5,19,NaN,NaN
5,19,734510.721186596,734608.508620159
5,19,NaN,734902.538284688
5,19,735186.452431313,735169.434405195
5,19,NaN,NaN
5,19,NaN,NaN
5,19,736419.192239835,736374.209860404
5,19,736850.714119871,NaN
5,19,737044.514584118,737014.550568576
5,20,NaN,NaN
5,20,735058.800576418,735066.600193326
5,20,735345.629452342,735368.801773898
5,20,NaN,735755.774011218
5,20,736131.705941296,736019.337120001
5,20,736456.572169502,736522.622494627
5,20,736776.741202965,736891.786368443
5,20,737167.53526441,737284.00217075
5,21,734726.780039537,734728.999999641
5,21,734963.843451665,734948.444278479
5,21,735397.781454588,NaN
5,21,735697.921628242,735769.135880873
5,21,736056.999430375,736189.265709353
5,21,736376.525081111,736375.534808383
5,21,736858.349563431,736887.000022234
5,21,737220.504682415,737249.418994178
5,22,NaN,734047.999999987
5,22,734410.57547674,734328.203005936
5,22,NaN,NaN
5,22,734984.837505123,735003.011734239
5,22,NaN,735466.846525906
5,22,NaN,NaN
5,22,736147.109416056,736146.89093036
5,22,736489.25004459,736529.999983424
5,22,NaN,736860.999999998
5,22,737298.999999689,NaN
5,23,NaN,NaN
5,23,734342.135706753,734330.996793479
5,23,734702.622858725,734718.90775974
5,23,735091.599704912,735095.481939831
5,23,735313.785103118,735305.356536336
5,23,735760.687865225,735764.831383199
5,23,736138.375820548,736141.001503127
5,23,736536.651877675,736507.704361619
5,23,736884.973388247,736895.999929757
5,23,737259.639718888,737255.218313895
5,24,NaN,NaN
5,24,NaN,734681.608077639
5,24,735031.184891321,734983.198435704
5,24,NaN,NaN
5,24,NaN,735703.836077319
5,24,NaN,736052.320652788
5,24,736403.999999698,736405.451409884
5,24,736810.155485975,736774.228037045
5,24,NaN,737169.708063513
5,25,NaN,NaN
5,25,735039.324243482,735051.638161632
5,25,735418.870916045,735433.999999773
5,25,735725.292246715,735747.173345957
5,25,736046.280720942,736178.999999812
5,25,736490.206695008,736493.999999969
5,25,736884.822542366,736889.938312406
5,25,737312.683972989,737283.347087827
5,26,734285.000000193,734278.296414261
5,26,734545.661873227,734666.662759486
5,26,NaN,735019.754554426
5,26,735321.731961668,735380.534178138
5,26,735655.409985197,735742.602575122
5,26,736066.999889995,736057.888303787
5,26,736383.28708873,736400.87275019
5,26,736768.786572196,736808.353870529
5,26,NaN,737163.421730216
5,27,734418.751718693,NaN
5,27,734728.540933342,734609.287088321
5,27,735114.649734027,735064.378710332
5,27,735336.322400147,735440.999999949
5,27,NaN,735739.408038543
5,27,NaN,736067.456190115
5,27,NaN,736589.719718716
5,27,736832.587770098,736799.062671965
5,27,737228.999999966,737198.453518239
5,28,734413.106116089,NaN
5,28,734713.765503385,734609.284694029
5,28,735121.865984252,735064.374612475
5,28,735515.923688933,735440.999999987
5,28,735795.401871803,735739.569708182
5,28,736192.240558226,736067.456782815
5,28,736545.14509855,736589.781955061
5,28,736835.05913812,736798.69326356
5,28,737241.969709316,737198.439290506
5,29,NaN,NaN
5,29,734991.581437315,735017.767943563
5,29,NaN,735365.291459846
5,29,735718.779019471,735742.622663983
5,29,NaN,736068.583581817
5,29,NaN,736392.76354884
5,29,NaN,NaN
5,29,NaN,NaN
10,1,734066.792694867,734095.819720004
10,1,734264.53390579,734271.077483909
10,1,734686.000014964,734625.670644255
10,1,735046.553757042,735050.744291851
10,1,735401.094535743,735355.498070449
10,1,NaN,735756.999987277
10,1,736143.036641028,736065.660630028
10,1,736507.159566149,736505.89259751
10,1,736870.937663412,736872.49928486
10,1,737305.515362451,737191.222274378
10,2,734066.792694867,734095.819720004
10,2,734264.53390579,734271.077483909
10,2,734686.000014964,734625.670644255
10,2,735046.553757042,735050.744291851
10,2,735401.094535743,735355.498070449
10,2,NaN,735756.999987277
10,2,736143.036641028,736065.660630028
10,2,736507.159566149,736505.89259751
10,2,736870.937663412,736872.49928486
10,2,737305.515362451,737191.222274378
10,3,734066.792694867,734095.819720004
10,3,734264.53390579,734271.077483909
10,3,734686.000014964,734625.670644255
10,3,735046.553757042,735050.744291851
10,3,735401.094535743,735355.498070449
10,3,NaN,735756.999987277
10,3,736143.036641028,736065.660630028
10,3,736507.159566149,736505.89259751
10,3,736870.937663412,736872.49928486
10,3,737305.515362451,737191.222274378
10,4,734066.792694867,734095.819720004
10,4,734264.53390579,734271.077483909
10,4,734686.000014964,734625.670644255
10,4,735046.553757042,735050.744291851
10,4,735401.094535743,735355.498070449
10,4,NaN,735756.999987277
10,4,736143.036641028,736065.660630028
10,4,736507.159566149,736505.89259751
10,4,736870.937663412,736872.49928486
10,4,737305.515362451,737191.222274378
10,5,734066.792694867,734095.819720004
10,5,734264.53390579,734271.077483909
10,5,734686.000014964,734625.670644255
10,5,735046.553757042,735050.744291851
10,5,735401.094535743,735355.498070449
10,5,NaN,735756.999987277
10,5,736143.036641028,736065.660630028
10,5,736507.159566149,736505.89259751
10,5,736870.937663412,736872.49928486
10,5,737305.515362451,737191.222274378
10,6,734066.792694867,734095.819720004
10,6,734264.53390579,734271.077483909
10,6,734686.000014964,734625.670644255
10,6,735046.553757042,735050.744291851
10,6,735401.094535743,735355.498070449
10,6,NaN,735756.999987277
10,6,736143.036641028,736065.660630028
10,6,736507.159566149,736505.89259751
10,6,736870.937663412,736872.49928486
10,6,737305.515362451,737191.222274378
10,7,734066.792694867,734095.819720004
10,7,734264.53390579,734271.077483909
10,7,734686.000014964,734625.670644255
10,7,735046.553757042,735050.744291851
10,7,735401.094535743,735355.498070449
10,7,NaN,735756.999987277
10,7,736143.036641028,736065.660630028
10,7,736507.159566149,736505.89259751
10,7,736870.937663412,736872.49928486
10,7,737305.515362451,737191.222274378
10,8,734066.792694867,734095.819720004
10,8,734264.53390579,734271.077483909
10,8,734686.000014964,734625.670644255
10,8,735046.553757042,735050.744291851
10,8,735401.094535743,735355.498070449
10,8,NaN,735756.999987277
10,8,736143.036641028,736065.660630028
10,8,736507.159566149,736505.89259751
10,8,736870.937663412,736872.49928486
10,8,737305.515362451,737191.222274378
10,9,734066.792694867,734095.819720004
10,9,734264.53390579,734271.077483909
10,9,734686.000014964,734625.670644255
10,9,735046.553757042,735050.744291851
10,9,735401.094535743,735355.498070449
10,9,NaN,735756.999987277
