depth,station,insitu,gldas
5,1,NaN,NaN
5,1,734881.256538091,NaN
5,1,735111.74194878,735192.23248133
5,1,NaN,735558.243563169
5,1,735774.162968991,735863.999411513
5,1,736218.999999877,736231.02239246
5,1,736629.633675105,736661.93066329
5,1,NaN,736945.999999959
5,2,NaN,NaN
5,2,734841.466315535,734806.519872004
5,2,735159.666720873,735128.633595945
5,2,735571.417616753,735538.500445763
5,2,NaN,735917.164536711
5,2,736315.391716104,736217.000049735
5,2,736568.999931759,736546.659162443
5,2,737005.347060563,736928.851808926
5,3,NaN,NaN
5,3,NaN,NaN
5,3,NaN,NaN
5,3,NaN,735626.977635663
5,3,735898.568774022,735844.999901849
5,3,736253.208834034,736222.275692711
5,3,736660.200877307,736574.914759556
5,3,737001.884454602,736981.542453543
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,NaN
5,4,NaN,735898.144592222
5,4,736254.999999996,736251.356622181
5,4,736565.999999937,736585.530710742
5,4,NaN,NaN
5,5,NaN,NaN
5,5,NaN,734753.841307366
5,5,735229.261314703,735131.024752582
5,5,NaN,735465.000128075
5,5,735952.300116779,735924.692623465
5,5,736240.99999521,736300.730049342
5,5,736568.000059416,736648.948139495
5,5,737064.999999969,737069.94736736
5,6,NaN,NaN
5,6,NaN,NaN
5,6,734682.001015539,734687.722183121
5,6,NaN,735043.910575739
5,6,735395.711529576,NaN
5,6,NaN,NaN
5,6,736291.999999988,NaN
5,6,NaN,NaN
5,6,NaN,736878.124728163
5,7,NaN,NaN
5,7,734415.09889353,734401.719870277
5,7,NaN,NaN
5,7,735200.243175908,735134.85726153
5,7,NaN,NaN
5,7,NaN,735835.457888348
5,7,736309.299428706,736255.000007964
5,7,736644.050013922,736618.298106778
5,7,737115.626726958,737040.45974249
5,8,NaN,NaN
5,8,734053.902877667,734134.999998726
5,8,734513.278231717,NaN
5,8,NaN,734752.99999997
5,8,NaN,NaN
5,8,NaN,NaN
5,8,735925.814801728,NaN
5,8,736239.558906253,NaN
5,8,736703.517626779,NaN
5,8,NaN,NaN
5,9,NaN,NaN
5,9,734857.170915344,NaN
5,9,735280.600119735,NaN
5,9,NaN,NaN
5,9,NaN,NaN
5,9,736232.556403197,NaN
5,9,NaN,NaN
5,9,NaN,NaN
5,10,NaN,NaN
5,10,734528.999999067,734454.668177581
5,10,NaN,735008.385983919
5,10,NaN,NaN
5,10,NaN,735667.691153316
5,10,736004.999968418,NaN
5,10,NaN,736240.487489086
5,10,736711.803156822,736634.221946552
5,10,737051.187718775,737052.95583644
5,11,NaN,NaN
5,11,734867.835269504,734855.365826843
5,11,735143.576885599,735139.278274776
5,11,735492.08514396,735454.125297229
5,11,735884.103192422,735857.0001085
5,11,736246.63959325,736253.461187551
5,11,736580.000029907,736576.613007736
5,11,NaN,736939.508260834
5,12,734168.999999859,NaN
5,12,734536.754078193,734423.999921356
5,12,734809.746752766,NaN
5,12,735293.74622294,NaN
5,12,NaN,NaN
5,12,735917.000008991,735927.999202836
5,12,736218.985874872,NaN
5,12,736640.101990308,NaN
5,12,NaN,NaN
5,12,NaN,NaN
5,13,NaN,NaN
5,13,NaN,NaN
5,13,NaN,NaN
5,13,NaN,NaN
5,13,NaN,NaN
5,13,NaN,735774.391463254
5,13,736241.080810312,NaN
5,13,736544.000114079,736456.000000052
5,13,736863.000011038,736835.978588742
5,14,NaN,NaN
5,14,734817.012816507,734772.425283981
5,14,735161.20557548,735142.404229324
5,14,735482.999999648,735553.191326981
5,14,735825.000068233,735903.764819069
5,14,736264.679459943,736256.18625099
5,14,736664.709019318,NaN
5,14,737039.871667823,737044.259516586
5,15,NaN,NaN
5,15,NaN,NaN
5,15,735189.949383409,735146.073037443
5,15,NaN,735511.618706509
5,15,735885.351438299,735868.216993778
5,15,736265.043727108,736214.437117879
5,15,736675.045476605,736601.920852939
5,15,NaN,736991.216751659
5,16,NaN,NaN
5,16,734473.999999412,NaN
5,16,NaN,734813.302048316
5,16,735137.000531755,NaN
5,16,NaN,735422.724811447
5,16,NaN,735926.569454974
5,16,NaN,NaN
5,16,NaN,736679.707908413
5,16,NaN,NaN
5,17,NaN,NaN
5,17,NaN,NaN
5,17,NaN,734832.320124472
5,17,NaN,NaN
5,17,735385.188596483,NaN
5,17,NaN,NaN
5,17,736184.999971058,736215.999989893
5,17,736533.187009534,NaN
5,17,NaN,NaN
5,18,NaN,NaN
5,18,NaN,734447.436080056
5,18,NaN,NaN
5,18,NaN,735120.098306364
5,18,NaN,735552.103098075
5,18,735860.479377489,735912.345432048
5,18,736243.000000068,736253.650554241
5,18,736643.238539438,736655.105538636
5,18,NaN,NaN
5,19,NaN,NaN
5,19,NaN,734463.990761179
5,19,NaN,NaN
5,19,NaN,NaN
5,19,NaN,NaN
5,19,NaN,NaN
5,19,736217.594965321,NaN
5,19,736561.714913103,NaN
5,19,NaN,736775.999999999
5,20,NaN,NaN
5,20,734866.879922918,734757.788191102
5,20,735185.658311137,735140.28379707
5,20,735454.798098077,735471.026674536
5,20,735903.410694135,735859.999439628
5,20,736221.271218673,736249.639350419
5,20,736661.208768153,736664.722416546
5,20,736992.575963395,736979.513737858
5,21,NaN,NaN
5,21,NaN,NaN
5,21,NaN,NaN
5,21,735476.538557536,NaN
5,21,735858.000012588,NaN
5,21,736228.111938137,NaN
5,21,736697.191797854,736673.988508266
5,21,NaN,737053.998901742
5,22,NaN,NaN
5,22,NaN,734044.64004087
5,22,NaN,NaN
5,22,NaN,NaN
5,22,NaN,735231.620333016
5,22,NaN,NaN
5,22,735970.336507792,NaN
5,22,NaN,NaN
5,22,NaN,NaN
5,22,NaN,NaN
5,23,NaN,NaN
5,23,NaN,NaN
5,23,734392.9606091,734375.964646248
5,23,734863.83318204,734738.999995276
5,23,735150.999997395,735138.894690917
5,23,735611.780547256,735443.523487564
5,23,735895.423779216,735857.320895978
5,23,736298.029339974,736250.642700504
5,23,736673.569325431,736579.999995265
5,23,736974.943225882,736946.371050223
5,24,NaN,NaN
5,24,NaN,734463.947730795
5,24,734672.518367148,NaN
5,24,NaN,NaN
5,24,NaN,NaN
5,24,NaN,735772.648010266
5,24,736217.937697082,736138.999999979
5,24,736680.17460739,736530.99703726
5,24,NaN,736895.260611416
5,25,NaN,NaN
5,25,NaN,NaN
5,25,NaN,735151.640508657
5,25,NaN,NaN
5,25,735908.339353161,NaN
5,25,736230.539558734,736235.0000096
5,25,736644.753731767,736701.435433412
5,25,736986.520525328,737046.531022935
5,26,NaN,NaN
5,26,NaN,NaN
5,26,NaN,NaN
5,26,NaN,735044.655827808
5,26,735416.428613339,735418.148991996
5,26,NaN,NaN
5,26,736136.924998139,NaN
5,26,NaN,736536.110696642
5,26,NaN,NaN
5,27,NaN,NaN
5,27,734578.841467786,734464.772186633
5,27,NaN,734960.000000974
5,27,NaN,NaN
5,27,NaN,735577.41254136
5,27,NaN,NaN
5,27,NaN,NaN
5,27,736579.999993571,736666.481004597
5,27,NaN,NaN
5,28,NaN,NaN
5,28,NaN,734463.132337057
5,28,734810.104662465,734960.987551543
5,28,NaN,NaN
5,28,NaN,735572.146477006
5,28,NaN,NaN
5,28,736224.999971061,NaN
5,28,736671.232528345,736674.059149261
5,28,737057.823835247,NaN
5,29,NaN,NaN
5,29,NaN,NaN
5,29,NaN,735055.401832367
5,29,NaN,NaN
5,29,NaN,NaN
5,29,NaN,736205.931513303
5,29,NaN,NaN
5,29,NaN,NaN
10,1,NaN,NaN
10,1,734148.66294168,734050.999999424
10,1,734532.434708575,734454.553892362
10,1,734840.000126017,734754.097035514
10,1,735155.777101884,735117.999947512
10,1,NaN,735535.999999959
10,1,735916.789671474,735928.434836762
10,1,736237.356174049,736233.671549485
10,1,736676.000173079,736629.501967027
10,1,737102.169832576,NaN
10,2,NaN,NaN
10,2,734148.66294168,734050.999999424
10,2,734532.434708575,734454.553892362
10,2,734840.000126017,734754.097035514
10,2,735155.777101884,735117.999947512
10,2,NaN,735535.999999959
10,2,735916.789671474,735928.434836762
10,2,736237.356174049,736233.671549485
10,2,736676.000173079,736629.501967027
10,2,737102.169832576,NaN
10,3,NaN,NaN
10,3,734148.66294168,734050.999999424
10,3,734532.434708575,734454.553892362
10,3,734840.000126017,734754.097035514
10,3,735155.777101884,735117.999947512
10,3,NaN,735535.999999959
10,3,735916.789671474,735928.434836762
10,3,736237.356174049,736233.671549485
10,3,736676.000173079,736629.501967027
10,3,737102.169832576,NaN
10,4,NaN,NaN
10,4,734148.66294168,734050.999999424
10,4,734532.434708575,734454.553892362
10,4,734840.000126017,734754.097035514
10,4,735155.777101884,735117.999947512
10,4,NaN,735535.999999959
10,4,735916.789671474,735928.434836762
10,4,736237.356174049,736233.671549485
10,4,736676.000173079,736629.501967027
10,4,737102.169832576,NaN
10,5,NaN,NaN
10,5,734148.66294168,734050.999999424
10,5,734532.434708575,734454.553892362
10,5,734840.000126017,734754.097035514
10,5,735155.777101884,735117.999947512
10,5,NaN,735535.999999959
10,5,735916.789671474,735928.434836762
10,5,736237.356174049,736233.671549485
10,5,736676.000173079,736629.501967027
10,5,737102.169832576,NaN
10,6,NaN,NaN
10,6,734148.66294168,734050.999999424
10,6,734532.434708575,734454.553892362
10,6,734840.000126017,734754.097035514
10,6,735155.777101884,735117.999947512
10,6,NaN,735535.999999959
10,6,735916.789671474,735928.434836762
10,6,736237.356174049,736233.671549485
10,6,736676.000173079,736629.501967027
10,6,737102.169832576,NaN
10,7,NaN,NaN
10,7,734148.66294168,734050.999999424
10,7,734532.434708575,734454.553892362
10,7,734840.000126017,734754.097035514
10,7,735155.777101884,735117.999947512
10,7,NaN,735535.999999959
10,7,735916.789671474,735928.434836762
10,7,736237.356174049,736233.671549485
10,7,736676.000173079,736629.501967027
10,7,737102.169832576,NaN
10,8,NaN,NaN
10,8,734148.66294168,734050.999999424
10,8,734532.434708575,734454.553892362
10,8,734840.000126017,734754.097035514
10,8,735155.777101884,735117.999947512
10,8,NaN,735535.999999959
10,8,735916.789671474,735928.434836762
10,8,736237.356174049,736233.671549485
10,8,736676.000173079,736629.501967027
10,8,737102.169832576,NaN
10,9,NaN,NaN
10,9,734148.66294168,734050.999999424
10,9,734532.434708575,734454.553892362
10,9,734840.000126017,734754.097035514
10,9,735155.777101884,735117.999947512
10,9,NaN,735535.999999959
10,9,735916.789671474,735928.434836762
10,9,736237.356174049,736233.671549485
10,9,736676.000173079,736629.501967027
10,9,737102.169832576,NaN
10,10,NaN,NaN
10,10,734148.66294168,734050.999999424
10,10,734532.434708575,734454.553892362
10,10,734840.000126017,734754.097035514
10,10,735155.777101884,735117.999947512
10,10,NaN,735535.999999959
10,10,735916.789671474,735928.434836762
10,10,736237.356174049,736233.671549485
10,10,736676.000173079,736629.501967027
10,10,737102.169832576,NaN
10,11,NaN,NaN
10,11,734148.66294168,734050.999999424
10,11,734532.434708575,734454.553892362
10,11,734840.000126017,734754.097035514
10,11,735155.777101884,735117.999947512
10,11,NaN,735535.999999959
10,11,735916.789671474,735928.434836762
10,11,736237.356174049,736233.671549485
10,11,736676.000173079,736629.501967027
10,11,737102.169832576,NaN
10,12,NaN,NaN
10,12,734148.66294168,734050.999999424
10,12,734532.434708575,734454.553892362
10,12,734840.000126017,734754.097035514
10,12,735155.777101884,735117.999947512
10,12,NaN,735535.999999959
10,12,735916.789671474,735928.434836762
10,12,736237.356174049,736233.671549485
10,12,736676.000173079,736629.501967027
10,12,737102.169832576,NaN
10,13,NaN,NaN
10,13,734148.66294168,734050.999999424
10,13,734532.434708575,734454.553892362
10,13,734840.000126017,734754.097035514
10,13,735155.777101884,735117.999947512
10,13,NaN,735535.999999959
10,13,735916.789671474,735928.434836762
10,13,736237.356174049,736233.671549485
10,13,736676.000173079,736629.501967027
10,13,737102.169832576,NaN
10,14,NaN,NaN
10,14,734148.66294168,734050.999999424
10,14,734532.434708575,734454.553892362
10,14,734840.000126017,734754.097035514
10,14,735155.777101884,735117.999947512
10,14,NaN,735535.999999959
10,14,735916.789671474,735928.434836762
10,14,736237.356174049,736233.671549485
10,14,736676.000173079,736629.501967027
10,14,737102.169832576,NaN
10,15,NaN,NaN
10,15,734148.66294168,734050.999999424
10,15,734532.434708575,734454.553892362
10,15,734840.000126017,734754.097035514
10,15,735155.777101884,735117.999947512
10,15,NaN,735535.999999959
10,15,735916.789671474,735928.434836762
10,15,736237.356174049,736233.671549485
10,15,736676.000173079,736629.501967027
10,15,737102.169832576,NaN
10,16,NaN,NaN
10,16,734148.66294168,734050.999999424
10,16,734532.434708575,734454.553892362
10,16,734840.000126017,734754.097035514
10,16,735155.777101884,735117.999947512
10,16,NaN,735535.999999959
10,16,735916.789671474,735928.434836762
10,16,736237.356174049,736233.671549485
10,16,736676.000173079,736629.501967027
10,16,737102.169832576,NaN
10,17,NaN,NaN
10,17,734148.66294168,734050.999999424
10,17,734532.434708575,734454.553892362
10,17,734840.000126017,734754.097035514
10,17,735155.777101884,735117.999947512
10,17,NaN,735535.999999959
10,17,735916.789671474,735928.434836762
10,17,736237.356174049,736233.671549485
10,17,736676.000173079,736629.501967027
10,17,737102.169832576,NaN
10,18,NaN,NaN
10,18,734148.66294168,734050.999999424
10,18,734532.434708575,734454.553892362
10,18,734840.000126017,734754.097035514
10,18,735155.777101884,735117.999947512
10,18,NaN,735535.999999959
10,18,735916.789671474,735928.434836762
10,18,736237.356174049,736233.671549485
10,18,736676.000173079,736629.501967027
10,18,737102.169832576,NaN
10,19,NaN,NaN
10,19,734148.66294168,734050.999999424
10,19,734532.434708575,734454.553892362
10,19,734840.000126017,734754.097035514
10,19,735155.777101884,735117.999947512
10,19,NaN,735535.999999959
10,19,735916.789671474,735928.434836762
10,19,736237.356174049,736233.671549485
10,19,736676.000173079,736629.501967027
10,19,737102.169832576,NaN
10,20,NaN,NaN
10,20,734148.66294168,734050.999999424
10,20,734532.434708575,734454.553892362
10,20,734840.000126017,734754.097035514
10,20,735155.777101884,735117.999947512
10,20,NaN,735535.999999959
10,20,735916.789671474,735928.434836762
10,20,736237.356174049,736233.671549485
10,20,736676.000173079,736629.501967027
10,20,737102.169832576,NaN
10,21,NaN,NaN
10,21,734148.66294168,734050.999999424
10,21,734532.434708575,734454.553892362
10,21,734840.000126017,734754.097035514
10,21,735155.777101884,735117.999947512
10,21,NaN,735535.999999959
10,21,735916.789671474,735928.434836762
10,21,736237.356174049,736233.671549485
10,21,736676.000173079,736629.501967027
10,21,737102.169832576,NaN
10,22,NaN,NaN
10,22,734148.66294168,734050.999999424
10,22,734532.434708575,734454.553892362
10,22,734840.000126017,734754.097035514
10,22,735155.777101884,735117.999947512
10,22,NaN,735535.999999959
10,22,735916.789671474,735928.434836762
10,22,736237.356174049,736233.671549485
10,22,736676.000173079,736629.501967027
10,22,737102.169832576,NaN
10,23,NaN,NaN
10,23,734148.66294168,734050.999999424
10,23,734532.434708575,734454.553892362
10,23,734840.000126017,734754.097035514
10,23,735155.777101884,735117.999947512
10,23,NaN,735535.999999959
10,23,735916.789671474,735928.434836762
10,23,736237.356174049,736233.671549485
10,23,736676.000173079,736629.501967027
10,23,737102.169832576,NaN
10,24,NaN,NaN
10,24,734148.66294168,734050.999999424
10,24,734532.434708575,734454.553892362
10,24,734840.000126017,734754.097035514
10,24,735155.777101884,735117.999947512
10,24,NaN,735535.999999959
10,24,735916.789671474,735928.434836762
10,24,736237.356174049,736233.671549485
10,24,736676.000173079,736629.501967027
10,24,737102.169832576,NaN
10,25,NaN,NaN
10,25,734148.66294168,734050.999999424
10,25,734532.434708575,734454.553892362
10,25,734840.000126017,734754.097035514
10,25,735155.777101884,735117.999947512
10,25,NaN,735535.999999959
10,25,735916.789671474,735928.434836762
10,25,736237.356174049,736233.671549485
10,25,736676.000173079,736629.501967027
10,25,737102.169832576,NaN
10,26,NaN,NaN
10,26,734148.66294168,734050.999999424
10,26,734532.434708575,734454.553892362
10,26,734840.000126017,734754.097035514
