depth,station,insitu,gldas
5,1,NaN,NaN
5,1,734933.612679552,734932.560383765
5,1,735280.999999852,735288.999999904
5,1,NaN,735628.512904264
5,1,736040.433591272,736111.999999999
5,1,736369.717837264,736372.999999993
5,1,736786.185602268,736711.999991838
5,1,737143,737203.8506291
5,2,NaN,NaN
5,2,734911,734910.999999973
5,2,735274.999999749,735274.999999991
5,2,735630.999995058,735634.000001333
5,2,736118.097457171,736113.441477481
5,2,736438.999860923,736368.774672366
5,2,736741.457265188,736729.54338494
5,2,737115.999999943,737142.999881555
5,3,NaN,NaN
5,3,734967.999999558,734899.514206533
5,3,NaN,NaN
5,3,735734.348116976,735690.99999975
5,3,736118.70366568,736110.000285108
5,3,736379.339712279,736459.060303097
5,3,NaN,736799.194109901
5,3,737123.549902499,737206.999999113
5,4,NaN,NaN
5,4,735028.000065915,734927.291760605
5,4,735289.999999955,735299.474454718
5,4,735677.92369066,735668.622498114
5,4,736124.2337013,736008.036473313
5,4,736379.999999997,736365.999999651
5,4,736764.739149,736744.451314098
5,4,737130.843862198,737147.123189903
5,5,734709.257412287,734699.848773155
5,5,734938.000028391,734927.241099352
5,5,735328.283878538,735298.999999882
5,5,735620.261179117,735640.172164202
5,5,736135.999999575,736001.999999857
5,5,736472.647488198,736365.999999995
5,5,736728.999999969,736731.348751054
5,5,737186.279193638,737143.999999852
5,6,734256.999999848,734254.353368368
5,6,734526.999987579,734564.524504117
5,6,734899.504060589,734861.466351651
5,6,735294.931432278,735263.327630409
5,6,735676.999999941,735668.000004709
5,6,736044.999999767,736028.000102734
5,6,736382.859685852,736311.437898797
5,6,NaN,NaN
5,6,NaN,737137.037714828
5,7,734253.999999988,734251.52289294
5,7,734594.989128163,734588.999989136
5,7,734975.854730697,734992.068885561
5,7,735289.000003499,735272.199491032
5,7,735693.999794247,735663.999999952
5,7,736032.999999929,736042.999991679
5,7,736402.999999628,736345.25698864
5,7,736754.99999973,736759.390408757
5,7,NaN,NaN
5,8,733985.999984288,734031.555261357
5,8,734219.956821385,NaN
5,8,734575.700553074,NaN
5,8,734955.999999663,NaN
5,8,NaN,NaN
5,8,NaN,NaN
5,8,736109,NaN
5,8,736454,NaN
5,8,736828.999999496,NaN
5,8,NaN,NaN
5,9,NaN,NaN
5,9,734981.202295274,NaN
