Network,Depth,"Start of wetting (GLDAS-insitu, days)","End of wetting (GLDAS-insitu, days)","Start of drying (GLDAS-insitu, days)","End of drying (GLDAS-insitu, days)"
Oznet,2.50 cm,-18 36,-0 28,14 31,30 46
Oznet,4.00 cm,NaN NaN,NaN NaN,NaN NaN,NaN NaN
Oznet,Basin average,-25 51,-35 59,11 28,14 59
USCRN,5.00 cm,-11 55,-4 59,-9 41,6 49
USCRN,Basin average,-9 52,12 89,-48 29,-26 51
SCAN,5.08 cm,-15 63,10 73,-38 43,-4 49
SCAN,Basin average,5 48,7 63,-45 31,-29 49
U.S. watersheds,U.S. watersheds,-14 61,6 70,-29 45,-1 49
All watersheds,All watersheds,-15 59,6 67,-24 45,2 50
