network,year,transition,stdiv
Oznet,2006,Start of wetting,7.10787782720821
Oznet,2007,Start of wetting,12.9392150799079
Oznet,2008,Start of wetting,36.790103153119
Oznet,2009,Start of wetting,47.5896429581767
Oznet,2010,Start of wetting,60.732397631062
Oznet,2011,Start of wetting,26.2182070590744
Oznet,2012,Start of wetting,36.9155007964
Oznet,2013,Start of wetting,45.7239459439747
Oznet,2014,Start of wetting,45.9856480878489
Oznet,2016,Start of wetting,25.025019691341
Oznet,2017,Start of wetting,33.3784995605309
Oznet,2018,Start of wetting,27.4760736255694
USCRN,2009,Start of wetting,0
USCRN,2010,Start of wetting,56.2930642345751
USCRN,2011,Start of wetting,57.9382557353005
USCRN,2012,Start of wetting,41.7314185925511
USCRN,2013,Start of wetting,58.6385815669786
USCRN,2014,Start of wetting,49.9365977603609
USCRN,2015,Start of wetting,48.907075968184
USCRN,2016,Start of wetting,66.8029412615466
USCRN,2017,Start of wetting,61.239493546654
USCRN,2018,Start of wetting,34.3513512085814
SCAN,2000,Start of wetting,89.7833041387094
SCAN,2001,Start of wetting,53.1940527056071
SCAN,2002,Start of wetting,62.0811142714337
SCAN,2003,Start of wetting,32.9491328178235
SCAN,2004,Start of wetting,20.7788886504571
SCAN,2005,Start of wetting,48.4331418295381
SCAN,2006,Start of wetting,43.8243666294258
SCAN,2007,Start of wetting,48.9146794027743
SCAN,2008,Start of wetting,44.9621212528654
SCAN,2009,Start of wetting,52.6553509481475
SCAN,2010,Start of wetting,55.3853210568171
SCAN,2011,Start of wetting,80.0117388707608
SCAN,2012,Start of wetting,63.5207769597441
SCAN,2013,Start of wetting,66.9464490547628
SCAN,2014,Start of wetting,59.2773374275373
SCAN,2015,Start of wetting,62.8188459434064
SCAN,2016,Start of wetting,66.6550919057659
SCAN,2017,Start of wetting,53.7389705369224
SCAN,2018,Start of wetting,40.4482992133345
SCAN,2019,Start of wetting,35.2023821152114
Oznet,2006,End of wetting,7.10787782720821
Oznet,2007,End of wetting,12.9392150799079
Oznet,2008,End of wetting,36.790103153119
Oznet,2009,End of wetting,47.5896429581767
Oznet,2010,End of wetting,60.732397631062
Oznet,2011,End of wetting,26.2182070590744
Oznet,2012,End of wetting,36.9155007964
Oznet,2013,End of wetting,45.7239459439747
Oznet,2014,End of wetting,45.9856480878489
Oznet,2016,End of wetting,25.025019691341
Oznet,2017,End of wetting,33.3784995605309
Oznet,2018,End of wetting,27.4760736255694
USCRN,2009,End of wetting,0
USCRN,2010,End of wetting,56.2930642345751
USCRN,2011,End of wetting,57.9382557353005
USCRN,2012,End of wetting,41.7314185925511
USCRN,2013,End of wetting,58.6385815669786
USCRN,2014,End of wetting,49.9365977603609
USCRN,2015,End of wetting,48.907075968184
USCRN,2016,End of wetting,66.8029412615466
USCRN,2017,End of wetting,61.239493546654
USCRN,2018,End of wetting,34.3513512085814
SCAN,2000,End of wetting,89.7833041387094
SCAN,2001,End of wetting,53.1940527056071
SCAN,2002,End of wetting,62.0811142714337
SCAN,2003,End of wetting,32.9491328178235
SCAN,2004,End of wetting,20.7788886504571
SCAN,2005,End of wetting,48.4331418295381
SCAN,2006,End of wetting,43.8243666294258
SCAN,2007,End of wetting,48.9146794027743
