network,station,transition,stdiv
Oznet,27,Start of wetting,31.3518609258643
Oznet,28,Start of wetting,39.3784963779474
Oznet,30,Start of wetting,37.878110212774
Oznet,32,Start of wetting,29.3801771305067
Oznet,35,Start of wetting,47.1966321961259
USCRN,1,Start of wetting,75.0699501255286
USCRN,2,Start of wetting,42.5011675353077
USCRN,3,Start of wetting,40.3259319830272
USCRN,4,Start of wetting,46.6434579207214
USCRN,5,Start of wetting,67.0263049734419
USCRN,7,Start of wetting,35.6919534261167
USCRN,11,Start of wetting,40.8668275331516
USCRN,14,Start of wetting,48.1500095051786
USCRN,15,Start of wetting,41.6185886099985
USCRN,17,Start of wetting,46.424321346303
USCRN,18,Start of wetting,38.7080744449878
USCRN,20,Start of wetting,37.7716556066828
USCRN,21,Start of wetting,66.9317321002854
USCRN,22,Start of wetting,55.5749443651792
USCRN,23,Start of wetting,40.2066349340799
USCRN,27,Start of wetting,47.8841014680204
USCRN,28,Start of wetting,70.1760258487986
SCAN,11,Start of wetting,60.0576484007064
SCAN,12,Start of wetting,64.1086209771125
SCAN,19,Start of wetting,NaN
SCAN,22,Start of wetting,58.3965728274187
SCAN,25,Start of wetting,61.9667722633989
SCAN,26,Start of wetting,69.2908951810544
SCAN,27,Start of wetting,74.1434361361261
SCAN,28,Start of wetting,64.4059101533586
SCAN,29,Start of wetting,60.8239683606725
SCAN,31,Start of wetting,49.6659216682008
SCAN,33,Start of wetting,50.1409356248318
SCAN,35,Start of wetting,52.2291214623083
SCAN,36,Start of wetting,38.4940570109487
SCAN,41,Start of wetting,27.1215528285405
SCAN,44,Start of wetting,60.6472392329831
SCAN,46,Start of wetting,NaN
SCAN,49,Start of wetting,34.2183480642982
SCAN,50,Start of wetting,44.4954942392349
SCAN,53,Start of wetting,22.8117709395242
SCAN,54,Start of wetting,43.8871635627611
SCAN,55,Start of wetting,46.4767460069722
SCAN,57,Start of wetting,46.35766947761
SCAN,58,Start of wetting,68.0582127389879
SCAN,60,Start of wetting,33.8772500484066
SCAN,66,Start of wetting,57.4815013420474
SCAN,68,Start of wetting,53.2905305578119
SCAN,71,Start of wetting,51.7062034954536
SCAN,72,Start of wetting,52.4278488735699
SCAN,82,Start of wetting,85.4826383817904
SCAN,84,Start of wetting,48.1996213387762
SCAN,85,Start of wetting,44.0933409872987
SCAN,86,Start of wetting,53.7713816037009
SCAN,87,Start of wetting,71.9298626499219
Oznet,27,End of wetting,31.3518609258643
Oznet,28,End of wetting,39.3784963779474
Oznet,30,End of wetting,37.878110212774
Oznet,32,End of wetting,29.3801771305067
Oznet,35,End of wetting,47.1966321961259
USCRN,1,End of wetting,75.0699501255286
USCRN,2,End of wetting,42.5011675353077
USCRN,3,End of wetting,40.3259319830272
USCRN,4,End of wetting,46.6434579207214
USCRN,5,End of wetting,67.0263049734419
USCRN,7,End of wetting,35.6919534261167
USCRN,11,End of wetting,40.8668275331516
USCRN,14,End of wetting,48.1500095051786
USCRN,15,End of wetting,41.6185886099985
USCRN,17,End of wetting,46.424321346303
USCRN,18,End of wetting,38.7080744449878
USCRN,20,End of wetting,37.7716556066828
USCRN,21,End of wetting,66.9317321002854
USCRN,22,End of wetting,55.5749443651792
USCRN,23,End of wetting,40.2066349340799
USCRN,27,End of wetting,47.8841014680204
USCRN,28,End of wetting,70.1760258487986
SCAN,11,End of wetting,60.0576484007064
SCAN,12,End of wetting,64.1086209771125
SCAN,19,End of wetting,NaN
SCAN,22,End of wetting,58.3965728274187
