network,station,transition,stdiv
Oznet,27,Start of wetting,31.3518609258643
Oznet,28,Start of wetting,39.3784963779474
Oznet,30,Start of wetting,37.878110212774
Oznet,32,Start of wetting,37.4930901260471
Oznet,35,Start of wetting,47.1966321961259
USCRN,1,Start of wetting,74.8158026236721
USCRN,2,Start of wetting,42.5009806685757
USCRN,3,Start of wetting,40.3261662627058
USCRN,4,Start of wetting,46.7513393873515
USCRN,5,Start of wetting,67.025203709672
USCRN,7,Start of wetting,35.7412880427805
USCRN,11,Start of wetting,40.8746284796238
USCRN,14,Start of wetting,48.1538751242924
USCRN,15,Start of wetting,41.6202160752588
USCRN,17,Start of wetting,46.4274830627414
USCRN,18,Start of wetting,38.7081759911167
USCRN,20,Start of wetting,37.7706944629509
USCRN,21,Start of wetting,66.9335261375874
USCRN,22,Start of wetting,55.5782989339455
USCRN,23,Start of wetting,40.2367310127614
USCRN,27,Start of wetting,45.5149689225982
SCAN,11,Start of wetting,60.0144687986495
SCAN,12,Start of wetting,64.1009557116668
SCAN,19,Start of wetting,NaN
SCAN,22,Start of wetting,58.4049411224139
SCAN,25,Start of wetting,62.0162184955523
SCAN,26,Start of wetting,69.3151704477576
SCAN,27,Start of wetting,74.1511603134666
SCAN,28,Start of wetting,64.4513792251082
SCAN,29,Start of wetting,60.7911339145409
SCAN,31,Start of wetting,49.6630198439043
SCAN,33,Start of wetting,50.1349503533022
SCAN,35,Start of wetting,52.2339380219917
SCAN,36,Start of wetting,36.2223599732257
SCAN,41,Start of wetting,27.2861634779927
SCAN,44,Start of wetting,60.6616819329953
SCAN,46,Start of wetting,NaN
SCAN,49,Start of wetting,34.1871849557504
SCAN,50,Start of wetting,44.4954796243757
SCAN,53,Start of wetting,22.832103231838
SCAN,54,Start of wetting,43.7633996209076
SCAN,55,Start of wetting,46.4843932561685
SCAN,57,Start of wetting,46.3602118756892
SCAN,58,Start of wetting,70.6764354691445
SCAN,60,Start of wetting,33.8730403720548
SCAN,66,Start of wetting,57.6874521550773
SCAN,68,Start of wetting,53.3053872272923
SCAN,71,Start of wetting,48.150442981462
SCAN,82,Start of wetting,85.4025557538409
SCAN,84,Start of wetting,48.1996195153892
SCAN,87,Start of wetting,71.9694617606506
Oznet,27,End of wetting,31.3518609258643
Oznet,28,End of wetting,39.3784963779474
Oznet,30,End of wetting,37.878110212774
Oznet,32,End of wetting,37.4930901260471
Oznet,35,End of wetting,47.1966321961259
USCRN,1,End of wetting,74.8158026236721
USCRN,2,End of wetting,42.5009806685757
USCRN,3,End of wetting,40.3261662627058
USCRN,4,End of wetting,46.7513393873515
USCRN,5,End of wetting,67.025203709672
USCRN,7,End of wetting,35.7412880427805
USCRN,11,End of wetting,40.8746284796238
USCRN,14,End of wetting,48.1538751242924
USCRN,15,End of wetting,41.6202160752588
USCRN,17,End of wetting,46.4274830627414
USCRN,18,End of wetting,38.7081759911167
USCRN,20,End of wetting,37.7706944629509
USCRN,21,End of wetting,66.9335261375874
USCRN,22,End of wetting,55.5782989339455
USCRN,23,End of wetting,40.2367310127614
USCRN,27,End of wetting,45.5149689225982
SCAN,11,End of wetting,60.0144687986495
SCAN,12,End of wetting,64.1009557116668
SCAN,19,End of wetting,NaN
SCAN,22,End of wetting,58.4049411224139
SCAN,25,End of wetting,62.0162184955523
SCAN,26,End of wetting,69.3151704477576
SCAN,27,End of wetting,74.1511603134666
SCAN,28,End of wetting,64.4513792251082
SCAN,29,End of wetting,60.7911339145409
